ILILCE_ENG,NO_DP,MIN_MMI,MAX_MMI,AV_MMI,DISTANCE,CALC_MMI
AYDIN_DIDIM,1,2,2,2,182.542710435401,1
AYDIN_KUSADASI,7,1,4,2.14,150.331661175519,1
IZMIR_SEFERIHISAR,1,2,2,2,89.4335358526969,2
IZMIR_KARABAGLAR,1,2,2,2,88.4457930187977,2
IZMIR_BUCA,2,2,2,2,105.274783627288,2
IZMIR_CESME,2,2,2,2,62.2131119645138,3
IZMIR_URLA,1,2,2,2,64.9869535236533,3
IZMIR_KONAK,4,2,4,2.75,91.9141997882857,2
IZMIR_CIGLI,1,2,2,2,72.6029454838732,4
IZMIR_KARSIYAKA,5,2,3,2.4,84.9527503625981,3
IZMIR_BORNOVA,5,2,2,2,99.885562286357,2
IZMIR_KARABURUN,1,5,5,5,33.6717461747797,4
IZMIR_DIKILI,2,2,2,2,58.6548516332775,3
BALIKESIR_AYVALIK,2,2,2,2,59.9576671121145,3
BALIKESIR_EDREMIT,2,1,2,1.5,102.453319730031,2
BURSA_OSMANGAZI,1,1,1,1,326.881982262492,1
TEKIRDAG_SARKOY,1,1,1,1,220.73386568669,1
ISTANBUL_BAKIRKOY,1,1,1,1,355.683178886048,1
ISTANBUL_BEYLIKDUZU,2,1,1,1,340.698927761256,1
ISTANBUL_KUCUKCEKMECE,1,1,1,1,354.90535339951,1
ISTANBUL_BASAKSEHIR,2,1,1,1,358.576955795959,1
ISTANBUL_SARIYER,1,1,1,1,386.091112684497,1
