ILILCE_ENG,NO_DP,MIN_MMI,MAX_MMI,AV_MMI,DISTANCE,CALC_MMI
CANAKKALE_AYVACIK,1,2,2,2.0,415.77875096081726,1
BURSA_NILUFER,1,4,4,4.0,135.0601559420284,1
BURSA_MUDANYA,1,4,4,4.0,137.33094281699974,1
BURSA_ORHANGAZI,1,3,3,3.0,68.63626975799228,1
KOCAELI_CAYIROVA,1,2,2,2.0,69.42160321760049,1
KOCAELI_DILOVASI,1,2,2,2.0,49.102911986426854,2
ISTANBUL_KARTAL,2,2,2,2.0,91.48641505469202,1
ISTANBUL_TUZLA,3,2,2,2.0,74.22474164008247,1
ISTANBUL_MALTEPE,3,2,3,2.33,97.69809490845705,1
ISTANBUL_BAKIRKOY,2,2,2,2.0,132.96153175196773,1
ISTANBUL_ATASEHIR,3,2,3,2.33,102.67200596721197,1
ISTANBUL_KADIKOY,3,2,2,2.0,109.27002955456119,1
ISTANBUL_BEYLIKDUZU,1,2,2,2.0,153.21056097226855,1
ISTANBUL_BAHCELIEVLER,3,1,3,2.0,133.24484726697168,1
ISTANBUL_GUNGOREN,1,2,2,2.0,129.6858237701287,1
ISTANBUL_FATIH,1,2,2,2.0,122.29788005675017,1
KOCAELI_GEBZE,5,1,3,2.0,58.24730132577642,2
ISTANBUL_PENDIK,3,2,3,2.67,79.3257840775517,1
ISTANBUL_KUCUKCEKMECE,4,2,2,2.0,140.27303401821348,1
ISTANBUL_UMRANIYE,3,1,2,1.67,104.17843749191415,1
ISTANBUL_USKUDAR,2,2,2,2.0,112.21491641746974,1
ISTANBUL_BESIKTAS,2,1,2,1.5,117.4923048274447,1
ISTANBUL_ESENLER,2,2,3,2.5,132.74817300416413,1
ISTANBUL_KAGITHANE,1,2,2,2.0,122.57425481661606,1
ISTANBUL_BASAKSEHIR,1,3,3,3.0,145.2763900969505,1
ISTANBUL_BEYKOZ,1,2,2,2.0,104.99342918967218,1
ISTANBUL_SILIVRI,1,2,2,2.0,208.4458514883766,1
