Entry,User,EntryDates,EntryLinks,e_feel,e_city,e_town,e_neighborhood,e_intensity,e_guess
"on bilgi: evet sallanirken yazdim. balikesir dolaylarinda saat: 21:14'te baslayip sabaha kadar devam eden depremler serisidir. ilk deprem istanbul, bursa, izmir, manisa, canakkale ve tekirdag gibi genis bir alanda hissedilmistir. arka arkaya 4 kere hissedilir buyuklukle sallamis olup 11 aralik sabah saat 06:30'a kadar yine balikesir merkezli 1.0 ile 3.0 buyukluk arasinda 60 deprem daha olmustur. neyse ki can kaybi yok. gecmis olsun. 1. saat: 23:14 merkez ussu: balikesir - akcakoy derinlik: 7.7 km buyukluk: 5.0 2. saat: 23:24 merkez ussu: balikesir - bayat derinlik: 9.8 km buyukluk: 4.5 3. saat: 23:27 merkez ussu: balikesir - kuskaya derinlik: 5.0 buyukluk: 3.1 4. saat: 23:46 merkez ussu: balikesir - bayat derinlik: 7.8 buyukluk: 4.3 kaynak",aynen aynen bence de,10.12.2019 23:15 ~ 11.12.2019 07:27,https://eksisozluk.com/entry/98942165,,,,,,
hala sallaniyoruz,acimadiki,10.12.2019 23:15,https://eksisozluk.com/entry/98942174,,,,,,
izmir'de fena sallayan deprem. umuyorum can ve mal kaybi yoktur. edit : burada sismik olmakla ilgili bir takim espriler yapmistim ama depremde ciddi travmalar yasayan bir yazar arkadastan hakli bir elestiri aldim bu konuda bu yuzden kaldirdim bunlari.,dahili meddah,10.12.2019 23:15 ~ 11.12.2019 08:54,https://eksisozluk.com/entry/98942185,1,izmir,,,2,
bucada fena sallamistir edit: ustteki yazar arkadasin notunu okuyunca yazdigim entrye yeniden baktim. art niyetle yazmamis da olsam bu konuda espri yapmanin herhangi bir hos tarafi yok maalesef. depremden etkilenenlerden ozur diliyor ve gecmis olsun diyorum.,doktor moreau,10.12.2019 23:15 ~ 11.12.2019 17:15,https://eksisozluk.com/entry/98942186,1,izmir,buca,,2,
"@1 sallanirken yazmis. izmir icin citir bir sallanti yaratan deprem. 2,8 diyelim.",ferrari terbiyecisi,10.12.2019 23:15 ~ 23:16,https://eksisozluk.com/entry/98942188,1,izmir,,,2,2.8
"oldu be! ust edit; - kandilli rasathanesi depremin 23:14 'de balikesir merkezli gelistigini aciklamis, derinligini 5 km, ml buyuklugunu de 4,9 olarak olcmustur. - depremin buyuklugu 4,5 olarak guncellenmistir. kaynak . - kandilli durmuyor, bu sefer 10 dk arayla 2 deprem kaydini paylasiyor, ilki 5, ikincisi 4,5. * issizlikte zirveyi paylasmak da varmis nasipte. * umarim kimsenin cani yanmamistir.",kor zabit,10.12.2019 23:15 ~ 23:36,https://eksisozluk.com/entry/98942192,,,,,,
an itibari ile sallamistir. edit: olum olmadan once hissettim ne ara actiniz basligi? tek medyum ben saniyordum kendimi aq. sizin sismit gotleriniz yuzunden medyumluk meslegi tarih oldu ulan! *,excelsior was here,10.12.2019 23:15 ~ 23:17,https://eksisozluk.com/entry/98942194,,,,,,
baya uzun surdu. bornova. edit: merkez balikesirmis. 4.9 buyukluk.,lemmy killmaster,10.12.2019 23:15 ~ 23:22,https://eksisozluk.com/entry/98942203,1,izmir,bornova,,2,
"az once 2 saniye sallayandir, kandilli rasathanesine gore ege denizi aciklarinda 3.5 siddetinde meydana gelmistir. edit: black mirror dizisi kesinlikle gercek olacak abi. baksana daha deprem olmadan deprem basligi aciyoruz, pc basindaydim benden bile hizli davranmis arkadas. edit2: baslik basa. edit3: baslik duzeltildi ve duzeltildikten sonra benim uzerimden gitmis oldu. allah sonumuzu hayreylesin.",yuri kasparov,10.12.2019 23:15 ~ 23:38,https://eksisozluk.com/entry/98942206,,,,,,
su an oldu. edit: basligi acayim derken acilmis bile. sallarken yazdim halbuki.,bazooka,10.12.2019 23:15 ~ 23:20,https://eksisozluk.com/entry/98942218,,,,,,
<bkz: 10 aralik 2019 bursa depremi > basligina tasinabilir,acimadiki,10.12.2019 23:15,https://eksisozluk.com/entry/98942221,,,,,,
bursa'da hissedilmistir.,ayfonunusatanbilge,10.12.2019 23:15,https://eksisozluk.com/entry/98942228,1,bursa,,,2,
cok ciddi salladi. duzenleme: anin heyecaniyla yazmisim. ciddiden ziyade uzun surdu. hafif hafif gitgeller yapti.,henrymorgan92,10.12.2019 23:15 ~ 23:17,https://eksisozluk.com/entry/98942229,,,,,,
oldu bitti bile.,supertrump,10.12.2019 23:15,https://eksisozluk.com/entry/98942230,,,,,,
sismik gotlulerden merhaba,melancohly,10.12.2019 23:15,https://eksisozluk.com/entry/98942235,,,,,,
tuvalette klozete git gel yaptim aq,ne nick i ak,10.12.2019 23:15,https://eksisozluk.com/entry/98942238,,,,,,
istanbuldan hissedilmistir.,neverlose,10.12.2019 23:15,https://eksisozluk.com/entry/98942246,1,istanbul,,,2,
ah be gene ilk baslik acan olamadim.,merhabahocam,10.12.2019 23:15,https://eksisozluk.com/entry/98942247,,,,,,
bunu hissetmis olmamam gerekirdi. <bkz: istanbul >,angelozi,10.12.2019 23:15 ~ 23:36,https://eksisozluk.com/entry/98942252,1,istanbul,,,2,
canakkale merkezde guzel salladi.,siyah pardesulu adam,10.12.2019 23:15,https://eksisozluk.com/entry/98942253,1,canakkale,merkez,,2,
tertemiz sallamistir,hacker amca,10.12.2019 23:16,https://eksisozluk.com/entry/98942258,,,,,,
"yuh. ben acayim demistim. bu ne hiz. efsane salladi. 5.3 diyorum. edito: 4.9’mus, yaklasmisim. bildim sayilir. buduto: birak ilk entryi yazma basarisini, uc ayri birincinin ikisini koltugundan eden,uc ayri basligi birlestirtip, beni iki sayfa ileriye atan depremdir. saygilar selale!",tsayir,10.12.2019 23:16 ~ 23:29,https://eksisozluk.com/entry/98942259,,,,,,5.3
oldu ve bitti.,beter mi,10.12.2019 23:16,https://eksisozluk.com/entry/98942261,,,,,,
tabu oynarken meydana gelen kucuk bir deprem,tukenmez kalemi tuketen adam,10.12.2019 23:16,https://eksisozluk.com/entry/98942262,,,,,,
selam cakip gitmistir.,selamerhaba,10.12.2019 23:16,https://eksisozluk.com/entry/98942263,,,,,,
aliaga iyi sallandi. insallah kimseye bir sey olmamistir.,motorsuzmotorcu,10.12.2019 23:16 ~ 23:17,https://eksisozluk.com/entry/98942264,1,izmir,aliaga,,2,
yuh sallanirken girdim yine yetisemedim,riskhayattir,10.12.2019 23:16 ~ 23:19,https://eksisozluk.com/entry/98942265,,,,,,
yine hatirlatti bazi seyleri,maraba kuyumcu,10.12.2019 23:16,https://eksisozluk.com/entry/98942267,,,,,,
4sn tekirdag'da hafif hissedildi. balikesir merkezde 4.9 olmus.,seksensakiz,10.12.2019 23:16 ~ 23:24,https://eksisozluk.com/entry/98942268,1,tekirdag,,,2,
"sallandik. yavas yavas basladi, hafifce artti, biraz tirstirdi. sismograf gotler bildirdi.",the pretty reckless,10.12.2019 23:16,https://eksisozluk.com/entry/98942269,,,,,,
"2,5 yil sonra ilk defa deprem hissettim. gercekleseli henuz 1 dakika bile olmamis deprem. edit: 35140'dan hissedilmis deprem.",yfc,10.12.2019 23:16 ~ 23:24,https://eksisozluk.com/entry/98942273,,,,,,
fena korkutmustur. 15-20 saniye surdu. haber sitelerine henuz girmemis depremdir. gundemi eksiden takip eden sitelere yine haberi sunmus olmanin hakli gururuyla sallandik. yine salladi. bu gece uyuyabilirsek iyi. balikesir’de olmus. lokasyon bildirelim <bkz: bornova >,maylo napiyor acaba,10.12.2019 23:16 ~ 23:30,https://eksisozluk.com/entry/98942274,1,izmir,bornova,,2,
hafif salladi. lokasyon bursa,h mlet,10.12.2019 23:16 ~ 23:23,https://eksisozluk.com/entry/98942275,1,bursa,,,2,
<bkz: 10.12.2019 bursa depremi > arkadas basligimi dakikada nasil kaptiniz. valla hayret. . tek sismik g.t bende saniyordum.,acimadiki,10.12.2019 23:16 ~ 23:18,https://eksisozluk.com/entry/98942276,,,,,,
yazamadan yazmissiniz ipneler. *,mystyc,10.12.2019 23:16,https://eksisozluk.com/entry/98942279,,,,,,
"masallah bu ne hiz,deprem bitmeden baslik acilmis. ama hafif salladi cok cok 3,5 civari. lokasyon:malum vukuatli yer:> edit:balikesir 5,0 bize olan uzakligina bakilirsa az sallanmak normal.",dokuzuncukoydensonkovulanadam,10.12.2019 23:16 ~ 23:22,https://eksisozluk.com/entry/98942281,1,balikesir,,,2,3.5
bornova'da fena hissettirdi.,bundan adam olmaz,10.12.2019 23:16,https://eksisozluk.com/entry/98942284,1,izmir,bornova,,2,
hic hissetmedim ama olmus galiba,inci sozluk ajani,10.12.2019 23:16,https://eksisozluk.com/entry/98942285,,,,,,
hala sallaniyoruz. sonunda ben de bir sismik got oldum,sex lahmacun rockn roll,10.12.2019 23:16 ~ 23:16,https://eksisozluk.com/entry/98942286,,,,,,
ayni anda istanbul'u da sallamistir,paleoantropolog,10.12.2019 23:16,https://eksisozluk.com/entry/98942289,1,istanbul,,,2,
"titretti, tirstirdi!",yarasa talag,10.12.2019 23:16,https://eksisozluk.com/entry/98942293,,,,,,
bu nasil hiz minakoyum.,kraliniz,10.12.2019 23:16,https://eksisozluk.com/entry/98942294,,,,,,
manisa'dan hissedilen,bastirganx,10.12.2019 23:16,https://eksisozluk.com/entry/98942296,1,manisa,,,2,
yine ilk yazamadim lanet olsun aq,bagyansut,10.12.2019 23:16,https://eksisozluk.com/entry/98942298,,,,,,
yerimden ziplatti. yusuf yusuf attirdi.,trafik kazasinda olen kopekbaligi,10.12.2019 23:16,https://eksisozluk.com/entry/98942305,,,,,,
mavisehir 3.9,duzensiz siki bag dokusu,10.12.2019 23:16,https://eksisozluk.com/entry/98942306,,,,,,
iyi salldi,sbtx,10.12.2019 23:16,https://eksisozluk.com/entry/98942307,,,,,,
yatakta ileri geri gittim. iyi sallayan depremdir.,siyayey,10.12.2019 23:16,https://eksisozluk.com/entry/98942313,,,,,,
"tahminim 4.2, cerkezkoy den duyuldu..",eve gec gelen adam,10.12.2019 23:16,https://eksisozluk.com/entry/98942316,1,tekirdag,cerkezkoy,,2,
aynen cok hizli oldu bakalim hissetiniz mi diye geldim. hissetmissiniz :>,sairadam,10.12.2019 23:16,https://eksisozluk.com/entry/98942319,,,,,,
bandirma'da fena salladi.,edwardmaya,10.12.2019 23:16,https://eksisozluk.com/entry/98942323,1,balikesir,bandirma,,2,
alsancakta iceri dogru sicirmistir.,cok gezen adam,10.12.2019 23:16,https://eksisozluk.com/entry/98942326,1,izmir,konak,alsancak,2,
tekirdagdan hissedildi.,shadowless,10.12.2019 23:16,https://eksisozluk.com/entry/98942328,1,tekirdag,,,2,
bursa'da hissedilen.,tentemuhendisi,10.12.2019 23:16,https://eksisozluk.com/entry/98942331,1,bursa,,,2,
yavas ulan hala sallaniyorum ne ara baslik actiniz dedirten baslik edit:izmir gaziemir'den 3.2 diyor sismik got reseptorlerim edit 2: ayni siddette ama daha kisa bi tane daha geldi,entel pastrma,10.12.2019 23:16 ~ 23:36,https://eksisozluk.com/entry/98942332,1,izmir,gaziemir,,2,3.2
baslik acayim diye geldim ama bazilarinin gotunde sismograf var saniyorum.,examplee16,10.12.2019 23:16,https://eksisozluk.com/entry/98942336,,,,,,
izmir’den hissettim,hea,10.12.2019 23:16,https://eksisozluk.com/entry/98942337,1,izmir,,,2,
bursa'dan hissettim. 3 kere vurdu.,massax,10.12.2019 23:16,https://eksisozluk.com/entry/98942343,1,bursa,,,2,
"karsiyaka, sallandik. orta olcekli deprem. merkez ussu izmir degil galiba.",ay dios mio,10.12.2019 23:16,https://eksisozluk.com/entry/98942346,1,izmir,karsiyaka,,2,
izmir gaziemir'de hissettirmistir...,iste bunu bilmiyorum,10.12.2019 23:16,https://eksisozluk.com/entry/98942350,1,izmir,gaziemir,,2,
uyku yok yine bize bu gece,sona2kala,10.12.2019 23:16,https://eksisozluk.com/entry/98942360,,,,,,
amk basligi aramaya gelmiyor,karincayiyenzombie,10.12.2019 23:16,https://eksisozluk.com/entry/98942362,,,,,,
"yanimdaki arkadas hissetmistir, ama twitter a gore izmir de daha fazla hissedilmistir. 10 aralik 2019 izmir depremi",edebiyat surgunu,10.12.2019 23:16,https://eksisozluk.com/entry/98942363,,,,,,
ulan hazirda mi bekliyordunuz aq. lamba hala sallaniyor.,murco3434,10.12.2019 23:16,https://eksisozluk.com/entry/98942364,,,,,,
yatakta yatarken ileri geri besik gibi sallamistir.,ethill alcoll,10.12.2019 23:16,https://eksisozluk.com/entry/98942369,,,,,,
arkadaslar neresi sallandi,oygur,10.12.2019 23:16,https://eksisozluk.com/entry/98942370,,,,,,
cok kotu salladi izmirde bayrakli,karbonluicecekikfiltre,10.12.2019 23:16,https://eksisozluk.com/entry/98942372,1,izmir,bayrakli,,2,
istanbul arnavutkoyden bile hissedilendir.,tetsujin,10.12.2019 23:16,https://eksisozluk.com/entry/98942373,1,istanbul,arnavutkoy,,2,
bursa da fena sallandik,radiqal,10.12.2019 23:16 ~ 23:17,https://eksisozluk.com/entry/98942375,1,bursa,,,2,
