Entry,User,EntryDates,EntryLinks,e_feel,e_city,e_town,e_neighborhood,e_intensity,e_guess
yuh amk bu ne hiz arnavutkoy 'de hissedilen ve devam eden,tum haklari saklidir,12.06.2017 15:31 ~ 15:33,https://eksisozluk.com/entry/68786811,1,istanbul,arnavutkoy,,2,
"hadimkoyde hissettim, patrona deprem oldu galiba dedim dalga gecti. vinclerdendir filan diye.",warmonger,12.06.2017 15:34,https://eksisozluk.com/entry/68786997,1,istanbul,arnavutkoy,hadimkoy,2,
az once atasehir'den hissedilmistir.,voltranin sag kolu,12.06.2017 15:31,https://eksisozluk.com/entry/68786786,1,istanbul,atasehir,,2,
oha atasehir zangir zangir sallandi,minesota,12.06.2017 15:31,https://eksisozluk.com/entry/68786865,1,istanbul,atasehir,,2,
istanbul atasehirde gokdelende tatli tatli hissedildi.,geceninsesi,12.06.2017 15:33,https://eksisozluk.com/entry/68786941,1,istanbul,atasehir,,2,
atasehir'de hissedilmis depremdir. turk telekom'un ne kadar boktan bir altyapiya sahip oldugunu ogrenmeme sebep olmustur. yarim saattir izmir'deki kimseyi arayamiyorum.,sweetmember,12.06.2017 16:20,https://eksisozluk.com/entry/68788238,1,istanbul,atasehir,,2,
"mutfakta kendime kahvalti hazirlarken ara ara yasadigim basimin donmesi olayini yasiyorum sanmam ile tezgahtan tutunmamla tezgahin elimde gidip gelmesini hissetmem ve hassiktir diye tepki vermeme sebep olan, istanbul avcilar'dan hissedilen depremdir.",ay valla bilemedim,12.06.2017 16:09 ~ 16:21,https://eksisozluk.com/entry/68787995,1,istanbul,avcilar,,3,
ayvalik'i besik gibi sallamistir.,neyse ya bosver,12.06.2017 15:36,https://eksisozluk.com/entry/68787029,1,balikesir,ayvalik,,2,
"bagcilar gunesli civari. bildigin cok saglam gittik geldik. 4,5 - 5,5 arasi tahminim.",koluncumuofele,12.06.2017 15:31,https://eksisozluk.com/entry/68786869,1,istanbul,bagcilar,gunesli,2,5
bagcilar'da 5 saniye kadar hissedildi. cok sallamadi.,nandino,12.06.2017 15:43,https://eksisozluk.com/entry/68787170,1,istanbul,bagcilar,,1,
gunesli istanbul cok fena sallandi. nasil bir deprem bu.,smax03,12.06.2017 15:33,https://eksisozluk.com/entry/68786937,1,istanbul,bagcilar,gunesli,2,
bahcelievlerde hissediliyor. edit: istanbul - bahcelievler.,ozimus,12.06.2017 15:30 ~ 16:05,https://eksisozluk.com/entry/68786751,1,istanbul,bahcelievler,,2,
"starcity avm < istanbul/ yenibosna > terasta otururken bas donmesi zannettigim ama bir muddet sonra insanlarin panikle deprem oluyor demelerinden sonra farkina vardigim deprem. hafif ama uzun sure sallandik. sanirim binanin yapisiyla alakali olsa gerek < ya da acik hava, etrafta asiri gurulutu vb. > fazla siddetli hissedilmedi.",fishkiyeyi vurmasinlar,12.06.2017 16:00,https://eksisozluk.com/entry/68787719,1,istanbul,bahcelievler,yenibosna,1,
istanbul dunya ticaret merkezi besik gibi sallandi su an.,yoroshiku,12.06.2017 15:31,https://eksisozluk.com/entry/68786843,1,istanbul,bakirkoy,,2,
"ataturk havalimani'nda siddetli hissedilmistir. eksi sozlukte de hissedilmis edit: ben 12 haziran 2017 istanbul depremi basligina yazmistim, baslik tasinmis.",siempreha,12.06.2017 15:41 ~ 16:04,https://eksisozluk.com/entry/68787132,1,istanbul,bakirkoy,,2,
bakirkoy ebuziya'da 7-8 saniye besik gibi salladi.,etomcuk,12.06.2017 15:42,https://eksisozluk.com/entry/68787140,1,istanbul,bakirkoy,ebuziya,2,
"bakirkoyde oldukca saglam hissettirdi kendini. ya o degilde tam deprem aninda yazan arkadaslar; sizin nasil bi hayatiniz var? bu ne sakinlik manyak misiniz? belki ben 17 agustosu yasadigim icin her sarsinti tedirgin ediyo beni, ama siz cidden tuhafsiniz. deprem olurken buraya yazmak aklima gelecek son sey amk.",adam olan cocuk,12.06.2017 15:52,https://eksisozluk.com/entry/68787457,1,istanbul,bakirkoy,,2,
"ohaaaaaa.. 100 kiloyum, tutunacak yer aradim lan.. uzun da surdu oglum.. izmir balcova.",80 li yillari cok ozluyorum lan,12.06.2017 15:33,https://eksisozluk.com/entry/68786954,1,izmir,balcova,,3,
"hayatimda ilk defa bir depremde boylesine hissizlestim. izmir ekonomi universitesi guzel sanatlar ve tasarim fakultesi binasindayim. studyodaydik, deprem baslayinca kafami studyo camlarina dogru cevirdim ve kilitlendim boyle 30 sn kadar depremi izledim. aklima o 30 sn'de binayi yapan mimarlik hocalarim geldi. onlara guvendim ve kaldim yerimde.",findelcamino,12.06.2017 16:13,https://eksisozluk.com/entry/68788094,1,izmir,balcova,fevzicakmak,2,
bahcesehir'den hissedilmistir,burada duran orali,12.06.2017 15:31 ~ 15:34,https://eksisozluk.com/entry/68786824,1,istanbul,basaksehir,bahcesehir,2,
