Entry,User,EntryDates,EntryLinks,e_feel,e_city,e_town,e_neighborhood,e_intensity,e_guess
adapazari'nda da hissedilmistir.,the future is right now,15.10.2016 11:25 ~ 11:26,https://eksisozluk.com/entry/63499669,1,sakarya,adapazari,,2,
"istanbul / atasehir'den hissedilmistir. oldukca uzun surdu. depremler neden hep cumartesi oluyor diye dusundurmedi degil. duzen: espri yapmayani dovuyorlar galiba, herkeste bir komiklik, bir saka... db'ye girme umudu nelere kadir.",fakyoras,15.10.2016 11:21 ~ 11:28,https://eksisozluk.com/entry/63499555,1,istanbul,atasehir,,2,
kayisdagi'ndan hissettigim tiriviri siddetinde depremdir.,samuel joao,15.10.2016 11:22,https://eksisozluk.com/entry/63499603,1,istanbul,atasehir,kayisdagi,2,
kayisdagi'nda koltuktan ziplatmistir.,orta buyuklukte bir ulkenin krali,15.10.2016 11:34,https://eksisozluk.com/entry/63499790,1,istanbul,atasehir,kayisdagi,3,
"avcilar'da vurdu kacti, kisa ama etkiliydi. *",coxcomb,15.10.2016 11:33,https://eksisozluk.com/entry/63499777,1,istanbul,avcilar,,2,
avcilarda yatarken hissettim ama bir kac saniye surdu ve az salladi,dunyadakiseytan,15.10.2016 12:26,https://eksisozluk.com/entry/63500502,1,istanbul,avcilar,,2,
yenibosnada hissettim. sonra kuruntu yaptim zannettim.,bugundeboylegecti,15.10.2016 14:29,https://eksisozluk.com/entry/63502273,1,istanbul,bahcelievler,yenibosna,1,
bakirkoy'de hissettim. bayagi salladi.,for whom the bell tolls,15.10.2016 11:20,https://eksisozluk.com/entry/63499542,1,istanbul,bakirkoy,,2,
florya semtini iyi sallamis deprem.,optimist vs pesimist,15.10.2016 11:21,https://eksisozluk.com/entry/63499585,1,istanbul,bakirkoy,florya,2,
besiktas'i da salladi,kavimler gocunde evi yagmalanan adam,15.10.2016 11:21,https://eksisozluk.com/entry/63499566,1,istanbul,besiktas,,2,
neydi lan o odum bokuma karisti. edit: beylikduzunden hissedilen depremdir.,pinositoz cebi,15.10.2016 11:20 ~ 11:23,https://eksisozluk.com/entry/63499544,1,istanbul,beylikduzu,,3,
beylikduzu'nde hissedilen depremdir,new orleans muhaciri,15.10.2016 11:21,https://eksisozluk.com/entry/63499579,1,istanbul,beylikduzu,,2,
normalde istanbul bile sayilmayacak olan beylikduzu'nde de yogun bir sekilde hissedilmistir.,housemdninbastonu,15.10.2016 11:22,https://eksisozluk.com/entry/63499592,1,istanbul,beylikduzu,,3,
buyukcekmece'de beni yatagin ustunde sallayan deprem. ayrica ne ara baslik actiniz amk?,profesyonel ms paint kullanicisi,15.10.2016 11:23,https://eksisozluk.com/entry/63499616,1,istanbul,buyukcekmece,,2,
esenyurtdan hissettigim deprem. koltuk fena sallandi.,birazdankudururdeniz,15.10.2016 11:26,https://eksisozluk.com/entry/63499674,1,istanbul,esenyurt,,3,
gokturk'te de hissedilmistir... ama tatli tatli salladi...,zamazingonun tam ortasi amazing,15.10.2016 11:21,https://eksisozluk.com/entry/63499560,1,istanbul,eyup,gokturk,2,
gokturk'ten hissedilmistir. tahminim 4.5 ve yaklasik 6 saniye surdu.,everyyhing ends,15.10.2016 11:26,https://eksisozluk.com/entry/63499678,1,istanbul,eyup,gokturk,2,4.5
kastamonu inebolu'dan bile hissedilmistir. umarim ciddi bir durum yoktur.,karincayiyen,15.10.2016 11:21,https://eksisozluk.com/entry/63499576,1,kastamonu,inebolu,,2,
7-8 dakika onceydi. kadikoyden de hissedildi. tam bitti derken tekrar sallandi gibi oldu sanki.,batlegolas,15.10.2016 11:27,https://eksisozluk.com/entry/63499691,1,istanbul,kadikoy,,2,
kadikoy'den hissettigim deprem.,harisinlistesi,15.10.2016 12:01,https://eksisozluk.com/entry/63500150,1,istanbul,kadikoy,,2,
kandira' da hissedilmistir.,nickola tezla,15.10.2016 11:27,https://eksisozluk.com/entry/63499705,1,kocaeli,kandira,,2,
istanbul sisli/esentepe'de hissedilmistir.,sehvani,15.10.2016 11:23,https://eksisozluk.com/entry/63499617,1,istanbul,sisli,,2,
mecidiyekoyde kisa sureli hissettim fakat titretti...,ceeg,15.10.2016 11:24,https://eksisozluk.com/entry/63499638,1,istanbul,sisli,mecidiyekoy,2,
