Entry,User,EntryDates,EntryLinks,e_feel,e_city,e_town,e_neighborhood,e_intensity,e_guess
heybeliada'da hissedilmis depremdir.,gaiptengelensesekulakver,16.11.2015 17:59,https://eksisozluk.com/entry/56291810,1,istanbul,adalar,heybeliada,2,
atasehir'i de saglam salladi,genuine,16.11.2015 17:47,https://eksisozluk.com/entry/56291342,1,istanbul,atasehir,,3,
atasehir check,wormjam,16.11.2015 17:48,https://eksisozluk.com/entry/56291353,1,istanbul,atasehir,,2,
"is yerinin hamam bocegi olarak bu depremi de sadece ben hissettim. once koltugumun altindan hafif bir tepikleme, sonra da karsimda bulunan dolaptan hafif citirdi geldi. baktim hic kimse de tik yok, adim bocuge cikmasin diye ses etmedim. dip not: yer atasehir.",cadinin onde gideni,16.11.2015 18:40 ~ 18:42,https://eksisozluk.com/entry/56292783,1,istanbul,atasehir,,2,
"avcilar ve esenyurt ta alttan vurarak, kendini siddetle hissetirmis depremdir.",2 kahve icmeden ayilamayan insan,16.11.2015 18:08,https://eksisozluk.com/entry/56292042,1,istanbul,avcilar,,3,
"bagcilar gunesli'de de hissedilmistir. tek seferlik vur-gec stilinde, tahmini 5,2 siddetinde depremdir. plaza yusuf yusufff! not: salladim, tutsun lan.",koluncumuofele,16.11.2015 17:48,https://eksisozluk.com/entry/56291387,1,istanbul,bagcilar,gunesli,3,5.2
"bagcilarda hissedildi. deprem oldu galiba dedim ama masa sallanmasi dediler, sallamadilar.",evy mudamo,16.11.2015 18:05,https://eksisozluk.com/entry/56291978,1,istanbul,bagcilar,,2,
gunesli'den hissedilmistir. kisa surmustur. umarim bitmistir.,pan from sirius,16.11.2015 17:46,https://eksisozluk.com/entry/56291292,1,istanbul,bagcilar,gunesli,2,
"alttan durttu, zipladim yerimden. osculus, bahcelievler'den bildirdi.",osculus,16.11.2015 17:51 ~ 17:51,https://eksisozluk.com/entry/56291533,1,istanbul,bahcelievler,,3,
resmen oncesinde tekme atmis ve pesi sirada sallamis depremdir. yenibosna'da gayet iyi hissettik.,sabun,16.11.2015 18:11,https://eksisozluk.com/entry/56292121,1,istanbul,bahcelievler,yenibosna,4,
bakirkoyden fena hissedilmistir,elma sekeri,16.11.2015 17:47,https://eksisozluk.com/entry/56291347,1,istanbul,bakirkoy,,3,
yesilkoy'de hafif salladi.,kendicoplugundeotenhoroz,16.11.2015 17:48,https://eksisozluk.com/entry/56291373,1,istanbul,bakirkoy,yesilkoy,2,
yesilkoy'de baya sallandik. japon calisma arkadasim ciglik atti. biraz ironic oldu ama.,yoroshiku,16.11.2015 17:48,https://eksisozluk.com/entry/56291393,1,istanbul,bakirkoy,yesilkoy,5,
an itibari ile yesilkoy de hissedildi. 5-6 saniye surdu. gecmis olsun herkese,laturchiapiubella,16.11.2015 17:48,https://eksisozluk.com/entry/56291408,1,istanbul,bakirkoy,yesilkoy,2,
