Entry,User,EntryDates,EntryLinks,e_feel,e_city,e_town,e_neighborhood,e_intensity,e_guess
manisa alasehirde su an hala salliyor.,fotarkh,19.05.2011 23:16,https://eksisozluk.com/entry/23590104,1,manisa,alasehir,,2,
"yoldan gecen kamyonun tum binayi salladigini dusundum, ""yuh mnakoim"" derken sozluk sayesinde deprem oldugunu anladigim atasehir'de <neyse ki> az hissedilen genis alanli deprem",shiba,19.05.2011 23:17 ~ 23:19,https://eksisozluk.com/entry/23590193,1,istanbul,atasehir,,4,
"1 dakika boyunca tum aileyi avizeye kilit etmis, avize durunca klasik telefon gorusmelerini baslatmis olan deprem. avcilar'da da soyle bir salladi.",schhh1903,19.05.2011 23:24,https://eksisozluk.com/entry/23590400,1,istanbul,avcilar,,2,
"beni tam tuvalette yakalayan deprem oldu. ""odun boka karismasi"" duruma canli tanik oldum. bahcelievler'de 10 saniye falan surdu.",one helsing,19.05.2011 23:44,https://eksisozluk.com/entry/23590945,1,istanbul,bahcelievler,,2,
bakirkoyden hissedilmistir.,deady,19.05.2011 23:16,https://eksisozluk.com/entry/23590088,1,istanbul,bakirkoy,,2,
"bakirkoy'u son yillarin en saglam sallayan depremi olmustur. arabalarin alarmlari bile caldi, o derece.",tendra van case,19.05.2011 23:22,https://eksisozluk.com/entry/23590367,1,istanbul,bakirkoy,,3,
"deprem oldu ahanda ayvayi yedik dedim. bakirkoy, atakoy taraflarindan hissettik. nete baktim haberlere can, mal kaybi yok gozukuyor. aman daha olmaz insallah askerden doneli de 1 gun oldu, biraz hayatimin tadini cikarayim lann...",for whom the bell tolls,19.05.2011 23:45,https://eksisozluk.com/entry/23590983,1,istanbul,bakirkoy,atakoy,2,
bahcesehir'de cok fena sallamistir. burada bir cok depreme yakalandim ama en siddetlisi buydu tartismasiz.,mcryan,19.05.2011 23:18,https://eksisozluk.com/entry/23590201,1,istanbul,basaksehir,bahcesehir,3,
bahcesehir besik gibi oynadi desem abartmis olmam.,hevipeyra,19.05.2011 23:20,https://eksisozluk.com/entry/23590298,1,istanbul,basaksehir,bahcesehir,2,
4.levent civarinda 5sn. kadar suren deprem,vincenzo,19.05.2011 23:17,https://eksisozluk.com/entry/23590131,1,istanbul,besiktas,levent,2,
"akatlar'da 3-4 saniye kadar besik gibi salladi. kisa ama etkili oldu. ayrica kopeklerin depremi hissettigiyle ilgili butun soylemler bi anda yikildi nazarimda. hayvan kemige gomulmus takiliyodu zerre heyecan yapmadi. asagiya indirdim, laylay kosturdu saga sola.",djnr,19.05.2011 23:33,https://eksisozluk.com/entry/23590686,1,istanbul,besiktas,akatlar,2,
gayrettepe'den baya bi hissedilmistir. uzun da surdu yaw,venus,19.05.2011 23:16,https://eksisozluk.com/entry/23590116,1,istanbul,besiktas,gayrettepe,3,
beykoz da sallandi.,cakalyesunanani,19.05.2011 23:19,https://eksisozluk.com/entry/23590286,1,istanbul,beykoz,,2,
kavacigin besik gibi sallandigi depremdir. bana gore derecesi; laptop kucagimdan dusuyodu o derece ..,lucidrea,19.05.2011 23:31,https://eksisozluk.com/entry/23590627,1,istanbul,beykoz,kavacik,2,
beylikduzu'nde de gayet hissedilmistir. ancak merkez ussu ve siddeti merak uyandiriyor zira izmir manisa kutahya falan hep sallanmis diyolla. umariz hasar kaza bela yoktur.,awlmi,19.05.2011 23:28,https://eksisozluk.com/entry/23590500,1,istanbul,beylikduzu,,2,
