Entry,User,EntryDates,EntryLinks,e_feel,e_city,e_town,e_neighborhood,e_intensity,e_guess
an itibari ile olan. altindag tarafinda cok rahat 5-6 saniye salladi tahmini 5 siddetinde olabilir. eksisozluk sismik got agi sundu. edit:mamak merkezli 3.4 buyuklugunde bir depremmis. edit 2: saat 22.11 de kazan merkezli 3.5 buyuklugunde bir deprem daha olmus.,atina karsi gelen kovboy,20.08.2019 05:08 ~ 22:42,https://eksisozluk.com/entry/94179451,1,ankara,altindag,,2,5
gazi mahallesinde uykudan uyandiran depremdir.,fraustranger,20.08.2019 05:09,https://eksisozluk.com/entry/94179472,1,ankara,altindag,gazi,4,
altindag'da beni uykudan uyandirmistir. sanirim 2 saniyelikti.,limitsizadam,20.08.2019 05:14,https://eksisozluk.com/entry/94179565,1,ankara,altindag,,4,
ilginctir bende hissettim. baslik var diye yaziyorum. cayyolu’nda da hissedilmistir.,yuksekpromil,20.08.2019 05:10,https://eksisozluk.com/entry/94179475,1,ankara,cankaya,cayyolu,1,
"5.06'da cankaya'da hissedildi. 5 saniye surdu. gradrop, lambader falan sallandi, gacir gucur sesler cikti. 1999 duzce depreminden sonra ankara'da ilk defa boyle bir sey hissettim. 17 agustos depremi de boyle gece yarisi olmustu ama uyandirdigi sirada deprem bitmisti, depremi pek hissedemistik ayilincaya kadar. tahminim cok siddetli olmamakla <4 civari> beraber ankaraya yakin bir noktada oldugu.. edit: direkt ankaranin ortasinda mamak'ta yerin 7.4 km altinda, 3.4 siddetinde olmus http://www.koeri.boun.edu.tr/scripts/lst0.asp 2019.08.20 05:07:34 39.9077 33.0472 7.4 -.- 3.4 3.1 mamak <ankara> ilksel",poturgilinpotur,20.08.2019 05:11 ~ 05:25,https://eksisozluk.com/entry/94179494,1,ankara,cankaya,,4,
cebeci'de hissettigim deprem. biri yataga tekme atmis gibi sicratti beni uykudan.,kenwakashimazu,20.08.2019 05:11,https://eksisozluk.com/entry/94179512,1,ankara,cankaya,cebeci,3,
cankaya fena sallanmistir,registaa,20.08.2019 05:11,https://eksisozluk.com/entry/94179516,1,ankara,cankaya,,2,
"kandilli'nin sitesine girdim, bilgi yoktu. sonra buraya baktim, basligi acilmis bile. cebeci'den de hissedilmis olan kisa sarsinti. edit: kandilli'ye gore ankara-mamak merkezli, 05:07'de gerceklesmis deprem.",jderuan,20.08.2019 05:12 ~ 05:20,https://eksisozluk.com/entry/94179524,1,ankara,cankaya,cebeci,2,
"film izlerken soka girdim. tekrarlamaz umarim. ne ara baslik actiniz, nasil manyaklarsiniz? saniyenin onda biriydi ve cok sertti. cankayadan bildiriyorum.",birbenexiktim,20.08.2019 05:12 ~ 21:25,https://eksisozluk.com/entry/94179525,1,ankara,cankaya,,2,
iyi salladi uyandim yer esat,emicidivokke,20.08.2019 05:14,https://eksisozluk.com/entry/94179570,1,ankara,cankaya,yuzuncuyil,4,
yuzeye yakin ve kucucuk bir depremdi bence. tahminim 3.4. hareketi kisa ve keskindi. uyumadigimdan dolayi oncesinde gelen garip sesi de duydum. yillar once ankara bala depreminde de benzer bir ses duymustum. lokasyon atakule civarlari.,ses muhendisi,20.08.2019 05:14,https://eksisozluk.com/entry/94179571,1,ankara,cankaya,aziziye,2,3.4
"daha once olan cogu kucuk depremi hissetmedigimiz ankara ayrancidaki evi iyi sallamistir. ayakucumda uyuyan kedi hic huzursuz olmadi yok bisey diye diye kendimi avutarak uykuma geri dondugum depremdir, hakkini helal et sozluk",ikiekmekaldimevegidiyorum,20.08.2019 05:16,https://eksisozluk.com/entry/94179586,1,ankara,cankaya,ayranci,2,
emek'te catirtilar duydugum siddetli ama kisa suren deprem.,sh0cklett,20.08.2019 05:16,https://eksisozluk.com/entry/94179588,1,ankara,cankaya,emek,2,
