Entry,User,EntryDates,EntryLinks,e_feel,e_city,e_town,e_neighborhood,e_intensity,e_guess
saglam vurdu prefabrik duvarlari titredi atasehir'den bildiriyorum.,byzantium,20.12.2018 09:35 ~ 09:37,https://eksisozluk.com/entry/84575584,1,istanbul,atasehir,,3,
atasehiri iyi sallamis depremdir.,sam stranger,20.12.2018 09:41,https://eksisozluk.com/entry/84575938,1,istanbul,atasehir,,2,
40 katli plazada 2 gundur ruzgar dolayisiyla hafif hafif sallaniyorduk. bugun de ustune deprem eklenince cok siddetli sallandik. altima sictim resmen. konum: atasehir,yok be kankatua,20.12.2018 09:48,https://eksisozluk.com/entry/84576200,1,istanbul,atasehir,,2,
adatepe’den fena hissedildi. uyaniktim ama yatiyordum bir de. uzun sure salladi. bir de ugultusu cok ilgincti.,asyamaris,20.12.2018 09:40,https://eksisozluk.com/entry/84575890,1,canakkale,ayvacik,adatepe,2,
"bahcelievler’de ofiste bizi biraz sallamistir. 7-8 saniye surdu. ucuncu kattayiz ve isin garip yani hemen yanimizda bulunan diger ekipler farketmezken karsimda oturan arkadasimla sadece biz hissettik ve akabinde 4.8 siddetinde salladiysa biz nasil duymadik tarzi homurdanmalar basladi. neyse ki siddet acisindan tahribat yaratacak bir sey olmadi, gecmis olsun.",pachelor reloaded,20.12.2018 09:45 ~ 09:46,https://eksisozluk.com/entry/84576112,1,istanbul,bahcelievler,,1,
bahcelievler'de beni tuvalette yakalayan depremdir,mamut bonfilesi,20.12.2018 11:13,https://eksisozluk.com/entry/84578413,1,istanbul,bahcelievler,,2,
lokasyon: basin ekspres 212 avm civari plazadaki calisanlar koltuklarina s.cti. not: depremin saniyesinde 10 entry. bravo eksi! bravo korkaklar! *,koluncumuofele,20.12.2018 09:38,https://eksisozluk.com/entry/84575766,1,istanbul,bahcelievler,halkali,3,
az once salladi. lokasyon bakirkoy. merkez ussu yalova buyuklugu 4.5 link edit: arkadaslar mesaj yagmuruna tutmayin artik. evet itiraf ediyorum gotumde sismograf var.,calgonun duzeltemedigi camasir makinasi,20.12.2018 09:35 ~ 11:07,https://eksisozluk.com/entry/84575569,1,istanbul,bakirkoy,,2,
an itibariyle korkuttu. yer: hava meydan komutanligi edit: nobetimde vukuat yoktur komutanim :>,caya seker atanin amk,20.12.2018 09:35 ~ 09:42,https://eksisozluk.com/entry/84575597,1,istanbul,bakirkoy,,2,
basaksehir de cok saglam hissedilen deprem. uyumaya calisirken yakaladi.,ruoja,20.12.2018 09:39,https://eksisozluk.com/entry/84575850,1,istanbul,basaksehir,,3,
"yuh. 3 saniye oldu, baslik acilmis. evet olmus. kan sekerim dusmemis. zincirlikuyuda hissedilendir.",iriminage,20.12.2018 09:36,https://eksisozluk.com/entry/84575650,1,istanbul,besiktas,zincirlikuyu,1,
7-8 saniye boyunca levent'te hafif hafif sallamis deprem. 4 siddetinde. kaynak: gotum,sanquis,20.12.2018 09:39 ~ 10:02,https://eksisozluk.com/entry/84575862,1,istanbul,besiktas,levent,2,
yuh lan beykozda da iyi sallladi gene.,hayarkoezatak,20.12.2018 09:41,https://eksisozluk.com/entry/84575932,1,istanbul,beykoz,,2,
"beylikduzu haramidere'de santiyenin disinda arabada oturuyorken duran araba 3 4 saniye boyunca saga sola sallandi biri saka yapiyor sandim baktim kimse yok. deprem olabilecegi aklima geldi ama suresi kisa olunca emin olamadim. su siralar bayagi artan depremlerden bir tanesi daha. insallah hayirlisi olur. edit: bu tip depremlerin beklenen istanbul depremine etkilerini, celal sengor'un gecende iran'da olan depremi yorumlarkenki cizerek anlattigi ""limon cekirdegi"" orneginden anlayabilirsiniz. buna gore kuzey anadolu fayi ve istanbul'un icinde oldugu bolge alttan yani guneyden gelen arap blogu ile ustten yani kuzeyden gelen avrasya blogu arasinda batiya dogru gitgide sikistiriliyor ve tipki sikistirilan bir limonun cekirdegi gibi batiya dogru atiliyor. kuzey anadolu fayi uzerinde gecmisten bugune, dogudan batiya tarih sirali olarak gecmis depremler yazildiginda kirilma sirasi istanbul blogunda, marmara denizinin altindaki kisimda gorunuyor bilginize.",dusunceliemperyal,20.12.2018 11:28 ~ 12:04,https://eksisozluk.com/entry/84578785,1,istanbul,beylikduzu,haramidere,2,
sekerpinar ok,isimgucumgoygoy,20.12.2018 09:47,https://eksisozluk.com/entry/84576187,1,kocaeli,cayirova,sekerpinar,2,
dilovasinda masabasinda bir asena edasiyla vucudumu titretmis bir depremdir. tabiki bu artcilardan da bir ders bir uyari cikarmayacagiz ulke olarak.hakkimizda hayirlisi bakalim.,meymankutik,20.12.2018 09:56,https://eksisozluk.com/entry/84576427,1,kocaeli,dilovasi,,2,
ofiste masayi sert sallamis depremdir. yer: davutpasa,ilgisiz mahlukat,20.12.2018 09:37,https://eksisozluk.com/entry/84575747,1,istanbul,esenler,davutpasa,3,
tekstilkentte salincak etkisi yapti,cibuk,20.12.2018 09:44,https://eksisozluk.com/entry/84576095,1,istanbul,esenler,orucreis,2,
fatih’te de hissedildi. oturdugum yerde dogrulduktan sonra sandalye titriyor sanmistim. meger depremmis.,trapem,20.12.2018 09:42,https://eksisozluk.com/entry/84576001,1,istanbul,fatih,,2,
gebze'de hissedilendir.,umur samazdi,20.12.2018 09:36,https://eksisozluk.com/entry/84575626,1,kocaeli,gebze,,2,
