Entry,User,EntryDates,EntryLinks,e_feel,e_city,e_town,e_neighborhood,e_intensity,e_guess
"aliaga'dan 3,5 gibi hissedildi. yine de gecmis olsun herkese.",lightningwar,20.02.2019 23:34,https://eksisozluk.com/entry/86924301,1,izmir,aliaga,,2,3.5
"canakkale de 5 siddetinde gerceklesen deprem istanbul avcilardan hissedilebiliniyorsa, marmarada ki 7 uzeri depremde ki sallanmayi dusunemiyorum. belki sekizinci kattayim diye bilmiyorum ama yinede hissedilen ve insani iyi geren bir deprem oldu gecmis olsun",dopaminn,21.02.2019 00:59,https://eksisozluk.com/entry/86927992,1,istanbul,avcilar,,2,
"uykusuzluktan ne sallandim ayakta derken acaba deprem miydi dedim, yok be olsa sosyal medya cosardi dedim cosmus, istanbul bahcelievlerde de hissedildi",maggy45,20.02.2019 21:44,https://eksisozluk.com/entry/86919782,1,istanbul,bahcelievler,,2,
"istanbul bakirkoy'de de epey kuvvetli hissedilen deprem. kapida durup bahceye inip inmeme kararsizligi yasarken, ust katlardan inen cok korkmus ve evde yalniz olan komsuyu eve davet ettim. 5 yildir ilk kez gordum. deprem zamanlari apartmandakileri goruyorum.",cahilukala,20.02.2019 22:57,https://eksisozluk.com/entry/86922784,1,istanbul,bakirkoy,,2,
uzun surdu lan..fena oldu.. izmir balcova..,80 li yillari cok ozluyorum lan,20.02.2019 21:26,https://eksisozluk.com/entry/86919281,1,izmir,balcova,,2,
bandirmada askerlik yapiyorum ve depremi hafif derecede hissettim. bulundugum yerde yalnizdim ve dolaplarin gicirtisini rahatlikla duyabiliyordum. okudugum kitabi yarim birakip korkuyla etrafa baktim.,hacimikey,20.02.2019 23:22,https://eksisozluk.com/entry/86923860,1,balikesir,bandirma,,1,
bandirmada da ciddi hissedilmis depremdir. aksam cay ictigim sirada yaklasik 15 saniye boyunca masadaki cay bardaginin icinde kendi capinda dalga olusturdu. deprem bu ulkenin bir gercegi ve her zaman karsi karsiya kalabilecegimiz bir felakete donusebilir. kendi capinizda onleminizi alin. oncelikle kendinizi sonra da evdeki bireyleri deprem sirasinda yapilmasi gerekenler konusunda egitin ve bir acil eylem plani hazirlayin.,kompela teorisyeni,21.02.2019 09:39,https://eksisozluk.com/entry/86934707,1,balikesir,bandirma,,2,
bahcesehirde de hoplatmistir,sararmen,20.02.2019 21:26,https://eksisozluk.com/entry/86919220,1,istanbul,basaksehir,bahcesehir,2,
istanbul/bahcesehir'i 1 saniye sallayan deprem.,diablogs,20.02.2019 21:41,https://eksisozluk.com/entry/86919677,1,istanbul,basaksehir,bahcesehir,1,
istanbul bahcesehirde residancemda 12.katta saglam salladi,istanbulprensi,20.02.2019 23:06,https://eksisozluk.com/entry/86923169,1,istanbul,basaksehir,bahcesehir,2,
an itibariyle besiktas'ta cok hafif hissedildi.,mexus,20.02.2019 21:26,https://eksisozluk.com/entry/86919214,1,istanbul,besiktas,,1,
beyoglu'nda iyi sallamistir. koltuga kucak dansi yaptim resmen aq. bu arada sallanir sallanmaz yaziyim dedim 5 sf yazmissiniz daha gondermeden amk.,draculaya inanmayan sivrisinek,20.02.2019 21:33,https://eksisozluk.com/entry/86919403,1,istanbul,beyoglu,,2,
canakkakle biga'da odamda otururken ileri geri sallandigim deprem. ben yalniz yasiyorum yapmayin boyle seyler..,fatandfurious,20.02.2019 21:47,https://eksisozluk.com/entry/86919862,1,canakkale,biga,,3,
cok pis salladi. 4.4 veriyorum.lokasyon bornova. ekleme: yine kostum yetisemedim gordun mu <bkz: swh >,maylo napiyor acaba,20.02.2019 21:25 ~ 21:27,https://eksisozluk.com/entry/86919114,1,izmir,bornova,,2,4.4
off lan bornova feci hissedildi. ocak ayindaki gibiydi,rampapa,20.02.2019 21:25,https://eksisozluk.com/entry/86919178,1,izmir,bornova,,2,
"yer buca; bina eski, pusku. iyi sallandik. kopek; kanepede uyuyor. <bir kerede hisset be kardesim.>",fakiremekli,20.02.2019 21:28,https://eksisozluk.com/entry/86919327,1,izmir,buca,,,
buca'dan fena hissedilmistir.,numerey12,20.02.2019 21:29,https://eksisozluk.com/entry/86919336,1,izmir,buca,,2,
"altima sictim. burhaniye, artur.",art bastard,20.02.2019 21:25,https://eksisozluk.com/entry/86919149,1,balikesir,burhaniye,artur,2,
"burhaniye'den kuvvetli hissedilmistir, sallanma degilde; tek ve guclu vurus olmustur.",balacay,20.02.2019 21:32,https://eksisozluk.com/entry/86919376,1,balikesir,burhaniye,,2,
balikesir burhaniye'de yan flut calarken hissettigim depremdir. flut calmaya devam ettim deprem sirasinda. oysa sokaga firlayanlar olmus. caldigim parcayi merak edenlere: gonul penceresinden ansizin bakip gectin. bayagi uzun surdu bu arada.,maviufuklar,20.02.2019 21:44 ~ 23:59,https://eksisozluk.com/entry/86919778,1,balikesir,burhaniye,,3,
burhaniye'den cok iyi hissedilen deprem. guzel salladi kitapsiz.,akbilibili,20.02.2019 21:50,https://eksisozluk.com/entry/86919983,1,balikesir,burhaniye,,2,
