Entry,User,EntryDates,EntryLinks,e_feel,e_city,e_town,e_neighborhood,e_intensity,e_guess
marmara denizinde de uykudan uyandirmistir. -heybeliada'dan bildirdi. edit: niye kotuluyorsunuz olum suc mu burada yasamak?,atrofi,25.06.2016 10:23 ~ 13:15,https://eksisozluk.com/entry/61359799,1,istanbul,adalar,heybeliada,4,
adapazari'ni da sallamistir.,utility,25.06.2016 08:44,https://eksisozluk.com/entry/61358885,1,sakarya,adapazari,,2,
atasehir de hafiften hoplatmistir,uc bucuktan dort,25.06.2016 08:41,https://eksisozluk.com/entry/61358790,1,istanbul,atasehir,,2,
atasehir'i iyi salladi. uykudan uyandirdi.,fakyoras,25.06.2016 08:42,https://eksisozluk.com/entry/61358804,1,istanbul,atasehir,,4,
"sozluk kandilliyi gecti, bunu da gorduk. atasehirde cok hafif hissedildi. takribi 1.5-2 saniye kadar surdu.",cinnet mustatili,25.06.2016 08:44,https://eksisozluk.com/entry/61358883,1,istanbul,atasehir,,1,
arabada durur vaziyette iken hissettigim deprem oldu. siddetli gibi geldi cunku araba bayagi sallandi. bu gereksiz bilgi ile sozlugu kirlettigim icin kusura bakmayin. not : atasehir.,mesene,25.06.2016 08:45 ~ 08:46,https://eksisozluk.com/entry/61358899,1,istanbul,atasehir,,2,
kayisdagi'nda feci hissettirdi kendisini.,orta buyuklukte bir ulkenin krali,25.06.2016 09:12,https://eksisozluk.com/entry/61359196,1,istanbul,atasehir,kayisdagi,3,
kayisdaginda baya siddetli hissdeilmis depremdir. 4.4 bu siddet ise daha ustu umarim ugramaz ulkeye.,scarface89,25.06.2016 09:17,https://eksisozluk.com/entry/61359247,1,istanbul,atasehir,kayisdagi,2,
benim de yatakta gidip gelmeme sebep olan depremdir. icerenkoyden de hissedildi yani. ne oldu ya deyip hemen tavan lambasina baktim ama o sallamiyordu.,buiret,25.06.2016 17:25,https://eksisozluk.com/entry/61365157,1,istanbul,atasehir,icerenkoy,3,
bahcelievler'i de baya sallamistir.,klisedenolenvar,25.06.2016 08:43,https://eksisozluk.com/entry/61358848,1,istanbul,bahcelievler,,2,
"bahcelievler'de icinde bulundugum park halindeki arabayi sallamis, ""vay be ne ruzgar var bugun"" dedirtmistir. meger depremmis hiammina",goril bas,25.06.2016 08:52,https://eksisozluk.com/entry/61359042,1,istanbul,bahcelievler,,3,
bir kere sallamis kisacik depremdir. ben atakoy'de oyle hissettim ama galiba su an ayaklarim tutmuyor.,gri balikcil,25.06.2016 08:41 ~ 08:43,https://eksisozluk.com/entry/61358799,1,istanbul,bakirkoy,atakoy,2,
bakirkoyde ciddi salladi.,tor,25.06.2016 08:43,https://eksisozluk.com/entry/61358852,1,istanbul,bakirkoy,,2,
bakirkoy'u salladi.,for whom the bell tolls,25.06.2016 08:46,https://eksisozluk.com/entry/61358916,1,istanbul,bakirkoy,,2,
besiktas i da bi sallamistir.,crazy player,25.06.2016 08:43,https://eksisozluk.com/entry/61358839,1,istanbul,besiktas,,2,
ulus'ta saglam sallamistir. yatak iki kere gidip geldi sanki.,argento,25.06.2016 08:43,https://eksisozluk.com/entry/61358851,1,istanbul,besiktas,ulus,3,
aktlar'da ilginc salladi. yattigim kanepeye sanki biri alttan 2 saniye vurdu. avizede hareket yok. bana oyle geldi dedim ama depremmis vallahi,applefanboy,25.06.2016 08:51,https://eksisozluk.com/entry/61359018,1,istanbul,besiktas,akatlar,2,
ortakoyde uykudan uyandirandir.,one two three four,25.06.2016 08:52,https://eksisozluk.com/entry/61359044,1,istanbul,besiktas,ortakoy,4,
gayrettepe'de beni uyandiran deprem. sozluge bakana dek ruya ile uyandim sandim.,dreamer,25.06.2016 09:11 ~ 09:11,https://eksisozluk.com/entry/61359189,1,istanbul,besiktas,gayrettepe,4,
