Entry,User,EntryDates,EntryLinks,e_feel,e_city,e_town,e_neighborhood,e_intensity,e_guess
"aliagada da hissedilmis ve 3,5 attirmis deprem. basligi ne cabuk actin allahsiz...",frapan geyik,25.01.2019 23:22,https://eksisozluk.com/entry/85937258,1,izmir,aliaga,,2,
aliaga da binanin besinci katinda baya saglam hissettigim deprem.,lightningwar,26.01.2019 00:43,https://eksisozluk.com/entry/85941017,1,izmir,aliaga,,3,
balcova'da dolaplari konusturmustur.,kolombre,25.01.2019 23:22,https://eksisozluk.com/entry/85937222,1,izmir,balcova,,4,
balcovada da guzel bi sallamis depremdir. arada boyle ufak depremlerin olmasi hosuma gidiyor. hasar olmadigi ve herhangi bir kisi zarar gormedigi surece ufak depremlerde insan yasadigini hissediyor,nundu,25.01.2019 23:25,https://eksisozluk.com/entry/85937563,1,izmir,balcova,,2,
bayrakli'da saglam hissedilmistir. devami gelecek gibi duruyor 15-20 saniye salladi.,kskzeynep,25.01.2019 23:24,https://eksisozluk.com/entry/85937546,1,izmir,bayrakli,,2,
alttan ilk vurdugunda aha dedim deprem oluyor sakince masamda durayim dedim. sonrasinda ise azaldi ama bitmek bilmez bir turlu. lokasyon bayrakli turan,yusufizm81,25.01.2019 23:46,https://eksisozluk.com/entry/85938492,1,izmir,bayrakli,turan,2,
alttan vurdu bornova,mllm,25.01.2019 23:21,https://eksisozluk.com/entry/85937186,1,izmir,bornova,,2,
"bornova'da birkac saniye sallamistir. tahmini 3.9 gibi. edit: gok gurlemesi, yildirim, deprem, siddetli yagmur nerde yasiyoruz mordor'da mi?",sg510x,25.01.2019 23:21 ~ 23:24,https://eksisozluk.com/entry/85937206,1,izmir,bornova,,2,3.9
bornova’da da bir miktar sallandik.,gokten dusen elmanin icindeki kurt,25.01.2019 23:22,https://eksisozluk.com/entry/85937247,1,izmir,bornova,,2,
"oha be kardesim, ilk sallantida mi actiniz basligi. bornova’yi cok fena sallamistir.saglam korkuttu. ekleme: depremin buyuklugu kandilli tarafindan 4.3 olarak belirlenmis.",maylo napiyor acaba,25.01.2019 23:22 ~ 23:44,https://eksisozluk.com/entry/85937294,1,izmir,bornova,,3,
