Entry,User,EntryDates,EntryLinks,e_feel,e_city,e_town,e_neighborhood,e_intensity,e_guess
adapazarinda fena hissettik aglayan komsumuz oldu hatta annemin terlikleriyle zor asagi kostum. azmayin din kardeslerim hic iyi bir zamana gitmiyoruz hic,everything is gonna be great,26.09.2019 14:51 ~ 14:54,https://eksisozluk.com/entry/95827937,1,sakarya,adapazari,,4,
"balikesir merkezde 5.katta hissettim. asagi indim dukkanlarda kimse hissetmemis. uzak olsun, ben buradan bile bir kac gunlugune bodrum'a kacmayi dusunuyorum. istanbul'daki insanlari dusunemiyorum bile.",ayyasdusenvodka,26.09.2019 15:07,https://eksisozluk.com/entry/95828656,1,balikesir,altieylul,,1,
arnavutkoy ilcesini iyi sallamistir. yavastan baslayip artarak devam edince korkutmustur.,mesih olamadik,26.09.2019 14:14,https://eksisozluk.com/entry/95825859,1,istanbul,arnavutkoy,,2,
"dogu atasehir 'de fena sallayan, en az 4-5 saniye surdugunu dusundugum deprem.",loveandpoison,26.09.2019 14:10,https://eksisozluk.com/entry/95825417,1,istanbul,atasehir,,2,
atasehirde got ucuklatmistir.,camiden adidas caldim bol geldi,26.09.2019 14:12,https://eksisozluk.com/entry/95825602,1,istanbul,atasehir,,2,
atasehir'de hissettigim depremdir.,krimsonist,26.09.2019 14:12 ~ 14:12,https://eksisozluk.com/entry/95825628,1,istanbul,atasehir,,2,
istanbul atasehir 5 saniye besik gibi salladi,acilbaris,26.09.2019 14:12,https://eksisozluk.com/entry/95825662,1,istanbul,atasehir,,2,
atasehir'de iliklerime kadar hissettim,kimyasal boru,26.09.2019 14:14,https://eksisozluk.com/entry/95825838,1,istanbul,atasehir,,2,
atasehir fena sallandi 14. katta oldugumuzdan olabilir.,bisevac,26.09.2019 14:17,https://eksisozluk.com/entry/95826116,1,istanbul,atasehir,,2,
"buyuk depremlerde yakinlarda bulunmayan biri olarak, hayatimda yasamadigim bir korku yasatti. atasehir'de ilk deprem 20 saniye kadar hissedildi, once hafif sarsinti seklindeyken devaminda gurultulu darbelere donustu ve binayi tahliye ettik. bir deprem gercegi oldugunu ve alinmayan onlemleri tokat gibi yuzumuze carpti yine. ne yapacagiz? su an oldugu gibi donup hicbir sey olmamis gibi hayatimiza devam edecegiz.",drelusion,26.09.2019 14:42,https://eksisozluk.com/entry/95827511,1,istanbul,atasehir,,3,
korkutmustur! avrupa akdeniz sismoloji verilerine gore silivri 5.9 olarak aciklanmistir avcilarda bir cami minaresi yikilmis yine gelen ilk kaynaklara gore. kandilli ise ayni bolgede 12:00 <3.1> ve 13:59 <5.7> olmak uzere iki ayri veri gecmistir. iki darbe ile yaklasik 10 saniye surmustur. tam yatip uyumak uzereydim nasil sallandim anlayamadim yattigim yerden dusecegim sandim. 99 depreminden yaralidir 5 katli binamiz bunu da bilerekten ciddi ciddi urktum! lokasyon atasehir.,iboli,26.09.2019 14:46,https://eksisozluk.com/entry/95827697,1,istanbul,atasehir,,3,
atasehir cok guzel sallandi. iletisim icin whatsapp viber vs kullanin,carveola,26.09.2019 14:50,https://eksisozluk.com/entry/95827894,1,istanbul,atasehir,,2,
"atasehir’de 4.katta masalar zangir zangir sallandi, resmen bina yikiliyor dedim. insani soka sokabilecek bir sallantiydi.",interesting65,26.09.2019 15:16,https://eksisozluk.com/entry/95829041,1,istanbul,atasehir,,4,
avcilarda hastanedeydim yere dusuyordum az daha fena salladi.,el pacho,26.09.2019 14:14,https://eksisozluk.com/entry/95825816,1,istanbul,avcilar,,4,
avcilardan hissedilmistir. altima sictim. ev yikiliyo zannetim. titriyorum korkudan,kizilvega,26.09.2019 14:14,https://eksisozluk.com/entry/95825890,1,istanbul,avcilar,,3,
"avcilarda gondol gibi salladi. istanbul universitesi gozumun onunde kaydi resmen. 5.8 buyuklukte, marmara denizinde",astorshia,26.09.2019 14:15 ~ 14:22,https://eksisozluk.com/entry/95825937,1,istanbul,avcilar,,4,
"avcilardan bildiriyorum 99 depremini yeniden yasadigimizi sanacak kadar korktuk. kisa sureli de olsa, uzun yillardan sonra ilk kez bu kadar siddetli bir deprem yasadik. hepimize gecmis olsun. ek: sukurler olsun ki caminin minaresi disinda yikilan bir yer olmamis ama laf aramizda topun agzindayiz. beklenen buyuk istanbul depremi cok yakin ve bilinclenmemiz sart.",clostridium botulinum,26.09.2019 14:24 ~ 16:07,https://eksisozluk.com/entry/95826598,1,istanbul,avcilar,,2,
"avcilar tarafindaydim , binalardan parcalarin koptugunu gordum , lutfen acil degilse telefon kullanmayin . gumuspala cevresinde 4 blok gezdim coken bina yok . sakin kalmaya calisalim hepimize gecmis olsun",hosturamabenena,26.09.2019 14:58,https://eksisozluk.com/entry/95828262,1,istanbul,avcilar,,6,
"sirketin 3. katindan asagi kosarken milletin birbirini ezdigi deprem oldu. kiza sakin sakin diye bagirmama ragmen cantasini kafama firlatti. lan ben boyle bir panik gormedim . aileme ulastiktan sonra etrafa bakindim. aglayanlar , bayilanlar, cocuguna ulasamayan arkadaslar, ambulanslar gercekten mahser yeri gibiydi. yenibosnadan bildiriyorum fena sallandik. hepimize gecmis olsun...",kartal gagasi,26.09.2019 15:14,https://eksisozluk.com/entry/95828955,1,istanbul,bahcelievler,yenibosna,5,
bakirkoy'den cok fena hissedilmistir.,doblin izbarco,26.09.2019 14:09,https://eksisozluk.com/entry/95825324,1,istanbul,bakirkoy,,3,
kultur universitesinde fena hissedildi.,ferhatbahadir7,26.09.2019 14:13,https://eksisozluk.com/entry/95825807,1,istanbul,bakirkoy,atakoy,2,
"bakirkoy adliye tarafi herkes sokakta, bina ve araclarda hasar yok, yarali yok",sozluk imami,26.09.2019 14:17,https://eksisozluk.com/entry/95826104,1,istanbul,bakirkoy,,5,
atakoy de felaket vurdu. binalar catirdadi.,sezgi,26.09.2019 14:18,https://eksisozluk.com/entry/95826213,1,istanbul,bakirkoy,atakoy,3,
bakirkoy'de binayi terketmemize neden olan deprem.,asitlisidik,26.09.2019 14:23,https://eksisozluk.com/entry/95826545,1,istanbul,bakirkoy,,5,
florya tarafini asiri salladi,btnyrdkl,26.09.2019 14:28,https://eksisozluk.com/entry/95826825,1,istanbul,bakirkoy,florya,2,
"bakirkoy birinci kattaki ofisimizde dururken deprem olmaya basladi. aklimdan cenin pozisyonu, merdivenler tehlikeli, devrilecek mobilyalardan uzak durmak gibi seyler saniyelik gecti sonra sikerim dedim kosa kosa binadan ciktim.",zortan,26.09.2019 14:38 ~ 14:43,https://eksisozluk.com/entry/95827322,1,istanbul,bakirkoy,,2,
ta bandirma'dan hissedilmistir. gecmis olsun.,kompela teorisyeni,26.09.2019 14:10,https://eksisozluk.com/entry/95825461,1,balikesir,bandirma,,2,
kitaplarimi dusuren deprem <bkz: basaksehir > 99 depremi aklima geldi hemen bakirkoy'de birebir yasamistim.,ruoja,26.09.2019 14:12 ~ 21:06,https://eksisozluk.com/entry/95825599,1,istanbul,basaksehir,,5,
besiktastan hissedildi,marvenerel,26.09.2019 14:10,https://eksisozluk.com/entry/95825391,1,istanbul,besiktas,,2,
an itibari ile gayrettepe'de cok fena salladi. su artcilar basladigindan beri ilk kez hissettim.,songoku89,26.09.2019 14:10,https://eksisozluk.com/entry/95825425,1,istanbul,besiktas,gayrettepe,2,
besiktas'ta fena sallandik.,yanlizligianla,26.09.2019 14:11,https://eksisozluk.com/entry/95825501,1,istanbul,besiktas,,2,
gecmis olsun. etiler’de fena sallandik.,nihrire,26.09.2019 14:11,https://eksisozluk.com/entry/95825519,1,istanbul,besiktas,etiler,2,
istanbul'dan gayrettepeden hissedilen deprem. son darbe guzel salladi.,sdfghj,26.09.2019 14:11,https://eksisozluk.com/entry/95825561,1,istanbul,besiktas,gayrettepe,2,
fene sallayan deprem. levent'te gokdelende olmamiza ragmen odumuz koptu. ve bir kere anladik ki ne yaparsak yapalim hicbir tedbirimiz yok.,normalbiadam,26.09.2019 14:11,https://eksisozluk.com/entry/95825567,1,istanbul,besiktas,levent,2,
"bogazici'nde yakalandim ve sinifta hissettik sarsintiyi, tum kampus bahceye cikti. o derece siddetli bir depremdi yani. kalp krizi gecirtecek cinstendi. telefonlar kitlendi.",yunusutaro,26.09.2019 14:12,https://eksisozluk.com/entry/95825621,1,istanbul,besiktas,bebek,5,
etiler'de aklimiz cikti. fena vurdu alttan.,koyun can derdinde,26.09.2019 14:12,https://eksisozluk.com/entry/95825674,1,istanbul,besiktas,etiler,2,
"ortakoy’den bildiriyorum, hala titriyorum anasini bacisini gelmisini gecmisini sikeyim. evin duvarlari gitti geldi.",tortusuz,26.09.2019 14:13,https://eksisozluk.com/entry/95825791,1,istanbul,besiktas,ortakoy,3,
etiler’de ilk defa bu kadar sallanti hissettim.cok korkunctu.umarim herkes iyidir.,louboutinlover,26.09.2019 14:15,https://eksisozluk.com/entry/95825951,1,istanbul,besiktas,etiler,2,
telefonlari kitleyen depremdir efendim 1. katta calistigim restoranda fritoz gidip gidip gelmistir. yer besiktas arnavutkoy.,gastronomi,26.09.2019 14:16,https://eksisozluk.com/entry/95825995,1,istanbul,besiktas,arnavutkoy,3,
ortakoyden bildiriyorum saglam salladi panik atak tuttu carpinti tavan,cem26,26.09.2019 14:17,https://eksisozluk.com/entry/95826076,1,istanbul,besiktas,ortakoy,2,
"normalde balmumcudan 3 civarlarini pek hissetmeyiz ama 5-6 saniye cok siddetliydi. dedim bu kesin buyuk, nitekim 5,8 herkese gecmis olsun. izmir'den de saglam hissedilmis.",iriminage,26.09.2019 14:18,https://eksisozluk.com/entry/95826176,1,istanbul,besiktas,balmumcu,2,
yan binadaki vakifbank ile networking yapmamiza sebep olan deprem. lokasyon: levent <bkz: hizmet bagimlisi >,urast,26.09.2019 14:18,https://eksisozluk.com/entry/95826220,1,istanbul,besiktas,levent,5,
besikas sahilinde fena hissedilmistir. beklenen buyuk istanbul depremine karsi ciddi onlemler alinmasi gerektigini umarim herkes bilhassa da yetkililer tekrar hatirlar.,two steps from hell,26.09.2019 14:19,https://eksisozluk.com/entry/95826265,1,istanbul,besiktas,,2,
"ortakoy'de milleti sokaga dokmustur. bir an icin, galiba bu sefer gerceklesiyor dedirtmistir.",arkada simsek,26.09.2019 14:24,https://eksisozluk.com/entry/95826574,1,istanbul,besiktas,ortakoy,5,
"fena salladi yalniz, tum levent disarida suan. insanlar plazalardan akin akin ciktilar.",leodragon,26.09.2019 14:26,https://eksisozluk.com/entry/95826696,1,istanbul,besiktas,levent,5,
istanbul levent plazalar bolgesinde calistigim binayi birak yan binalarin camlarinin titremesini bile gorebildigimiz bir depremdi. yururken one dogru hamle yapip nasil geriye dogru savruldum lan derken deprem oldugunu anladim. ayrica buyukdere caddesindn bolca ambulans gecmesiyle korkutandir.,i am busy cant you see,26.09.2019 14:28,https://eksisozluk.com/entry/95826824,1,istanbul,besiktas,levent,4,
haftaya bir buyugu daha gelecektir. edit: biraz once yine sallamistir besiktastan hissedildi 23:21,osmoz,26.09.2019 14:38 ~ 23:24,https://eksisozluk.com/entry/95827328,1,istanbul,besiktas,,2,
