Entry,User,EntryDates,EntryLinks,e_feel,e_city,e_town,e_neighborhood,e_intensity,e_guess
havaalanındaydım japon'lar refleks olarak masaların altına girdi. bizim türkler ikna olmak için sallanan lamba arıyor .,metroda otobus bekleyen adam,30.11.2018 08:42,https://eksisozluk.com/entry/83843853,1,istanbul,arnavutkoy,,2,
avcılar'dan hissedilmiştir.,greatkingrat,30.11.2018 05:42,https://eksisozluk.com/entry/83842190,1,istanbul,avcilar,,2,
avcılarda sanki alt komşunun üst tarafa balyozla vuruyormuşçasına hisler yaşatacak şekilde kendini hissettiren deprem.,mxqos,30.11.2018 12:21,https://eksisozluk.com/entry/83849787,1,istanbul,avcilar,,3,
bakırköy de sahile yakın evimde kahvaltı yaparken 10 saniye sallayan depremdir. fakat öyle aman aman sallamadı. yine de öncü depremse yarra yering yakın zamanda.,zortan,30.11.2018 05:44,https://eksisozluk.com/entry/83842235,1,istanbul,bakirkoy,,2,
beşiktaş’tan hissettiğim deprem. red dead redemption 2 oynarken oyunu durdurmama sebep oldu hatta.. kısaydı ama hissettirdi,tabii ki ben hakliyim,30.11.2018 05:58,https://eksisozluk.com/entry/83842435,1,istanbul,besiktas,,2,
"uykusuz kaldığım bu saatte televizyon izlerken, mini komidinden çok ufak bir gacırtı sesi geldi, ki kulaklarım da hassastır. acaba tahta kurusumu hayırdır deyip bir sallantı hissetmesem de bir sözlüğe bakayım dedim. meğerse gerçekten deprem olmuş. anlaşılan hiç uyuyamayacağız. beykoz’dan da hissedildi.",federiko cunti,30.11.2018 05:56,https://eksisozluk.com/entry/83842412,1,istanbul,beykoz,,3,
"çınarcık'a çok yakın bir yerden yazıyorum. yatakta uzanık halde fotoğraflara bakarken önce ufak bir alttan yukarı vuruş ( daha o an dedim deprem), sonra bir es verdi sonra da çatırtılarla ilk vurduğundan çok daha güçlü salladı, hassiktir diyip çıktım yataktan. fakat birkaç saniyede sustu. sallarken yürümeye çalışsan dengeyi kaybettirir, öyle salladı. bina sıfır, kat3, zangır zangır sesler, komple binanın sallanışını falan hissettim. sonrasında hala ayaktayım ve 05:36dan bu yana doğadan gelen gürüldeme seslerini duymaktayım. gök gürlemesi gibi sanki ama çıtırtılı değil, tok ve çok bass'lı depderinden gelen böyle subwoofer vurması gibi sesler duyuyorum. böyle sanki kalın sesli bir erkek diyaframdan ""heeııımmmmm"" diyor gibi bir ses. bak yazarken bile tüylerim ürperiyor. zaten 2 sene önce de yine aynı bölgede bir akşam saati asfaltın üzerinde ayakta dururken böyle bir gürüldeme duydum ve ayaklarımın altında kamçılanan kırbacın dalgasının ilerleyişini resmen hissettim yani ayaklarımın altından birşey geçti ve etraf sallanmaya başlamıştı. aynı o günkü gürüldemeler işte duyuluyor şu aralar. allah korusun.",ben80lerden,30.11.2018 06:44,https://eksisozluk.com/entry/83842737,1,yalova,cinarcik,,4,
"hayatımda ilk defa gittiğim yalova'da, çınarcıktaki star avm'de montaj yaparken hissettiğim deprem. bir de gece mesaisi için 150 km yol gelmiştim amk. yalova halkı kusura bakmasın, evden cenabet çıkmışım, galiba sebebi bendim depremin.",radiozavod,30.11.2018 06:44,https://eksisozluk.com/entry/83842741,1,yalova,cinarcik,,2,
esenler'de hissedilmistir.,karabalta,30.11.2018 05:41,https://eksisozluk.com/entry/83842142,1,istanbul,esenler,,2,
bir sarsıntıyla uyandım çok kısa sürdü sonra kalktım rasathanenin sitesine falan baktım bir şey göremeyince rüyaydı demek ki dedim ve yattım. gerçeği öğrenmem buraya bakmamla oldu. hepimize geçmiş olsun. not:eyüpspor,goodbyeleningoodbyelenin,30.11.2018 05:52,https://eksisozluk.com/entry/83842370,1,istanbul,eyup,,2,
