Entry,User,EntryDates,EntryLinks,e_feel,e_city,e_town,e_neighborhood,e_intensity,e_guess
atasehirde ciddi salladi. yalniz deprem aninda dis fircalamak kadar kotu bisi yokmus. deprem oluyo diye icerdekileri uyarmaya calisirken doke saca salyalari salona ulastim yarisini da yutmus bi sekilde.,literally dead,08.06.2012 00:02,https://eksisozluk.com/entry/28896614,1,istanbul,atasehir,,3,
atasehir de fena hissettirdi. gece gece korkutmustur.,mirasdegilalinteri,08.06.2012 00:03,https://eksisozluk.com/entry/28896637,1,istanbul,atasehir,,2,
"avcilarda hissedilen depremdir.dun kiz arkadasima bu aralar deprem olabilir demistim,su an kendimi kahin ilan ettim ayni zamanda.",asfsafsg,08.06.2012 00:10,https://eksisozluk.com/entry/28896790,1,istanbul,avcilar,,2,
bagcilar'da ninni soyler gibi gelmistir.,de beers,07.06.2012 23:59,https://eksisozluk.com/entry/28896563,1,istanbul,bagcilar,,2,
bahcelievler'de de usul usul sallamistir.,cok yanlis bi tercih,07.06.2012 23:57,https://eksisozluk.com/entry/28896541,1,istanbul,bahcelievler,,2,
bahcelievlerde baya bi hissetmistir. deprem mi oluyor lan dedikten bi 10 sn sonra bile devam etti diyebilirim.,metehan01,07.06.2012 23:59,https://eksisozluk.com/entry/28896571,1,istanbul,bahcelievler,,2,
monitorumun sallanmasiyla noluyoruz laa diyerek kendime getirmistir. tzameti bakirkoy'den bildirdi.,tzameti,07.06.2012 23:57,https://eksisozluk.com/entry/28896537,1,istanbul,bakirkoy,,3,
bandirma'da essekler gibi hissedilmistir. adeta onumdeki monitor gitti geldi.,bizdik,08.06.2012 00:07,https://eksisozluk.com/entry/28896693,1,balikesir,bandirma,,3,
"basaksehir besik gibiydi, asiri deprem fobisi midir nedir iliklerime kadar hissettim. ve bayagi bi uzun surdu.",azizliktenafarozedilmismutluinek,08.06.2012 00:11,https://eksisozluk.com/entry/28896803,1,istanbul,basaksehir,,2,
bayrampasa'da bi tik atmistir. 1 saniye falan surdu.,goril bas,08.06.2012 00:02,https://eksisozluk.com/entry/28896615,1,istanbul,bayrampasa,,1,
"maslakta ranzayi sallamis, oda arkadasi sanilmistir. urktum. -meleba bu benim oda arkadasim deprem. o degil de yine deprem baslamadan baslik acilmis. marsmelov adina biri nasil oldugunu anlatsin.",pshasha,08.06.2012 00:00 ~ 00:13,https://eksisozluk.com/entry/28896583,1,istanbul,besiktas,levent,3,
"bana haftalar sonra sigara icirtmistir, etiler'de sallan sallan.",rojovivo,08.06.2012 00:03,https://eksisozluk.com/entry/28896645,1,istanbul,besiktas,etiler,2,
gayrettepe'de lamba ve yer sallandi,dreamer,07.06.2012 23:56,https://eksisozluk.com/entry/28896523,1,istanbul,besiktas,gayrettepe,3,
gayrettepe'de alttan alttan vurarak hissettirdi kendisini...,akinlardacocuklargibisenolanbininciatli,08.06.2012 00:00,https://eksisozluk.com/entry/28896593,1,istanbul,besiktas,gayrettepe,2,
taksimde bingil bingil oynatmistir.,lgofkronos,07.06.2012 23:56,https://eksisozluk.com/entry/28896527,1,istanbul,beyoglu,taksim,2,
buyukcekmece'de yusuflari oynatmistir.,hokage,08.06.2012 00:09,https://eksisozluk.com/entry/28896782,1,istanbul,buyukcekmece,,2,
catalca'yi 10-15 saniye sallamistir.,mevcut57,07.06.2012 23:58,https://eksisozluk.com/entry/28896543,1,istanbul,catalca,,2,
cerkezkoy'de 12 kasim 1999 duzce depremi gibi dongusel hareketle 10-15 saniye kadar sallamistir.,malachi constant,08.06.2012 00:09,https://eksisozluk.com/entry/28896770,1,tekirdag,cerkezkoy,,2,
balikesir altinoluk'ta kendisini kisa sureli ancak saglam hissetiren deprem.,susam krokan,08.06.2012 00:07,https://eksisozluk.com/entry/28896706,1,balikesir,edremit,altinoluk,2,
sikinti yok arkadaslar esenler' in karabayir mahallesini de sallamis olan depremdir.,mozsoylar,08.06.2012 00:03,https://eksisozluk.com/entry/28896633,1,istanbul,esenler,karabayir,2,
gebzeden hissedilmistir,unusuall,07.06.2012 23:57,https://eksisozluk.com/entry/28896533,1,kocaeli,gebze,,2,
"kadikoy acibademde fena korkutmustur. ama sallama gibi diil de boyle alttan cok sert bi sekilde vurma gibiydi. kafama cekic yemis gibi oldum. oyun oynuyodum konsantrasyonumu bozdu namussuz, tirstim lan..",zormusbe,08.06.2012 00:24,https://eksisozluk.com/entry/28897042,1,istanbul,kadikoy,acibadem,2,
kadikoy'de insanlari disari cikaran deprem. iyi sallandi.,ermanpac,08.06.2012 00:50,https://eksisozluk.com/entry/28897501,1,istanbul,kadikoy,,3,
balikesir merkezde kapilardan birinden gelen cizirti ve sonrasinda bir gumburtuyle hissettiren deprem. 1-2 saniye olabilir...,sagliginiz icin,08.06.2012 00:23,https://eksisozluk.com/entry/28897034,1,balikesir,karesi,,4,
kartal 'da yaklasik 2 sn. hissedilmis ve cok da sallamamis olan deprem.,histerik adam,08.06.2012 01:29,https://eksisozluk.com/entry/28898013,1,istanbul,kartal,,2,
kucukcekmecede de hissedilmistir ama fazla abartacak bir sarsinti degildi sanki. 3-4 saniye ancak surdu.,fayfim,08.06.2012 00:02,https://eksisozluk.com/entry/28896617,1,istanbul,kucukcekmece,,2,
kucukcekmece'de hafiften sallamistir 15 saniye kadar surdugune inanmaktayim ayrica kandilli'nin sitesi ve eksi sozluk kitlenmistir. kandilli neyse de sana ne oluyor eksi?,hademe,08.06.2012 00:08,https://eksisozluk.com/entry/28896746,1,istanbul,kucukcekmece,,2,
kucukyali'yi besik gibi sallamistir.,canon in d,08.06.2012 00:00,https://eksisozluk.com/entry/28896594,1,istanbul,maltepe,kucukyali,2,
kucukyali'da hissettigim deprem. evde sadece ben hissettim ve soyledim ama kimse umursamadi. dipten bir baski degil de yandan yandan sallamistir. gecmis olsun.,eeb,08.06.2012 01:15,https://eksisozluk.com/entry/28897826,1,istanbul,maltepe,kucukyali,2,
tekirdag merkezden bildiriyorum. maksimum 5 saniye surdu ama koltuktan atmaya kalkti.,vaktiyle iyi biriydi,08.06.2012 00:20,https://eksisozluk.com/entry/28896981,1,tekirdag,merkez,suleymanpasa,3,
kurtkoyde de bende klasik fenalasiyor muyum ulan seklinde mini zelzele tadinda hissedilmistir. deprem oldugunu ancak evdeki sarkac tarzi nesnelerden ve eksiye girerek teyit edebiliyorum. masallah hic esnek yapmamis muteahhit bizim binayi.,iron,08.06.2012 00:07,https://eksisozluk.com/entry/28896717,1,istanbul,pendik,kurtkoy,1,
atasehirde de hissedilmistir. yani oyle olmali. bizim ev yenidoganda. biz hissettik. onlar da seyetmis olmali. bilmiyorum.,trixx,08.06.2012 00:12,https://eksisozluk.com/entry/28896836,1,istanbul,sancaktepe,yenidogan,2,
sariyeri de hafiften sallamistir.,overrated,08.06.2012 00:00,https://eksisozluk.com/entry/28896596,1,istanbul,sariyer,,2,
sariyer/bahcekoy'de de hissedilmistir. kuvvetli vurdu zira. ucarak yan odaya yavrumun yanina gittim. misildiyordu. kendin icin kaygilanmamak halini bi kere daha yasadim.,pofik,08.06.2012 00:28,https://eksisozluk.com/entry/28897117,1,istanbul,sariyer,bahcekoy,2,
silivriden de hissedilmistir. kimseyi inandiramiyorum. iyi ki varsin sozluk.,corcolos,08.06.2012 00:00,https://eksisozluk.com/entry/28896592,1,istanbul,silivri,,2,
tobe estaf. sisli'den de hissedilmistir!,shelobayuvaarayanhayvansever,07.06.2012 23:59,https://eksisozluk.com/entry/28896572,1,istanbul,sisli,,2,
sandalyede yayilirken ani bir sekilde gotume vuran titresimle korkuttu mubarek. en basta osurasim geldi sansam da devaminda deprem oldugunu farketmek zor olmadi. nitekim kurtulus'ta hafiften gotleri bir dalgalandirmistir.,barkopasa,08.06.2012 00:03,https://eksisozluk.com/entry/28896636,1,istanbul,sisli,kurtulus,2,
biraz sallandik ama ne oldugunu tam anlayamadim esentepe'den.,yoda,07.06.2012 23:56,https://eksisozluk.com/entry/28896524,1,istanbul,sultangazi,esentepe,2,
hala salliyor..,otopsicocugu,07.06.2012 23:55,https://eksisozluk.com/entry/28896495,,,,,,
baya sallandik an itibariyle.,exitus,07.06.2012 23:55,https://eksisozluk.com/entry/28896502,,,,,,
hala salliyor bitmedi mubarek! edit: lan eskiden kapiya pencereye kacardik teknolojinin insanlari soktugu hale bakar misiniz? iste belgeler !,zibidigibi,07.06.2012 23:56 ~ 08.06.2012 00:10,https://eksisozluk.com/entry/28896511,,,,,,
cok fena salliyor fulyayi,remember remember the fifth of november,07.06.2012 23:56,https://eksisozluk.com/entry/28896512,,,,,,
baya baya sallandi kurtkoy.,pez,07.06.2012 23:56,https://eksisozluk.com/entry/28896517,,,,,,
"an itibariyle urkutendir, allah  beterinden saklasin",eazydick,07.06.2012 23:56,https://eksisozluk.com/entry/28896519,,,,,,
"bos anima mi geldi nedir, feci korkutmustur...",heecnormal,07.06.2012 23:57,https://eksisozluk.com/entry/28896534,,,,,,
yaklasik bi bes saniye boyunca salladi. gecmis olsun.,risko,07.06.2012 23:57,https://eksisozluk.com/entry/28896539,,,,,,
"merkezi istanbul mudur bilemem, ancak uzun zamandir ilk defa bu kadar sallayan depremdir.",skybreak,07.06.2012 23:58,https://eksisozluk.com/entry/28896545,,,,,,
"5-6 saniye surmustur, tatli tatli sallamistir",fizico,07.06.2012 23:58,https://eksisozluk.com/entry/28896546,,,,,,
balikesirden de hissedilmistir..,bluevlinder,07.06.2012 23:58,https://eksisozluk.com/entry/28896553,1,balikesir,,,2,
canakkale'den bildigin 5'lik deprem gibi hissedildi.,becerenberk,07.06.2012 23:58,https://eksisozluk.com/entry/28896559,1,canakkale,,,2,
tekirdag da hissedilmis yunanistan olabilir,karoyedili,07.06.2012 23:58,https://eksisozluk.com/entry/28896561,1,tekirdag,,,2,
urkuttu gece gece baya.,sohan,07.06.2012 23:59,https://eksisozluk.com/entry/28896562,,,,,,
tahminimce merkez ussu kutahya olmayandir.,ayem dygs,07.06.2012 23:59,https://eksisozluk.com/entry/28896565,,,,,,
"besiktas, abbasaga da zerre hissedilmemis, sikimizde olmamistir..",vital,07.06.2012 23:59,https://eksisozluk.com/entry/28896566,,,,,,
internet baglantimin gecikmesi yuksek oldugu icin hala hissedemedigim deprem. millet entry'ler duzmus be. lanet olsun ttnet! ek: saka maka cidden hissetmedim lan ne kadar ayiyim.,unownt,07.06.2012 23:59 ~ 08.06.2012 00:10,https://eksisozluk.com/entry/28896577,,,,,,
