Entry,User,EntryDates,EntryLinks,e_feel,e_city,e_town,e_neighborhood,e_intensity,e_guess
aliagada da hissedilen deprem.,frapan geyik,08.08.2019 11:41,https://eksisozluk.com/entry/93656964,1,izmir,aliaga,,2,
ayvaliktan hissedilmistir.,megrimegri,08.08.2019 11:48,https://eksisozluk.com/entry/93657395,1,balikesir,ayvalik,,2,
"ayvalik'i da sallayan deprem. herkes aa uu deprem filan diyor hissetmedim bos bos bakiyorum. hemen kandilli'ye baktim bi sey yok, sozluge girdim 50 entry akdjsj ciddi sismik gotlusunuz.",pentagram,08.08.2019 11:52,https://eksisozluk.com/entry/93657579,1,balikesir,ayvalik,,2,
korkunc salladi balcovada,pok,08.08.2019 11:42,https://eksisozluk.com/entry/93656994,1,izmir,balcova,,2,
bayraklida malum is merkezlerinin birinde binayi 2 dk boyunca besik gibi sallamistir. 4.8 siddetinde merkez ussu seferihisar. hepimize gecmis olsun.,jujuenter,08.08.2019 11:47,https://eksisozluk.com/entry/93657359,1,izmir,bayrakli,,2,
ilk defa bir asansorun icinde yakalandigim deprem. asansor icinde hepimizi sendeletecek kadar sarsti. lokasyon; bayrakli.,aptalsey,08.08.2019 11:54,https://eksisozluk.com/entry/93657664,1,izmir,bayrakli,,2,
bodrum'da da guzelce sallamistir.,knary,08.08.2019 11:42,https://eksisozluk.com/entry/93657008,1,mugla,bodrum,,2,
bodrum'da bile hissedilmistir,angut sipsakkesergezer,08.08.2019 11:46,https://eksisozluk.com/entry/93657273,1,mugla,bodrum,,2,
bodrum-gumusluk hafif hoplatti.,feca,08.08.2019 11:50,https://eksisozluk.com/entry/93657496,1,mugla,bodrum,gumusluk,2,
"bornova sallandi hem de cok fena, uzun zamandir boyle olmamisti.",dusunuyorum oyleyse yazarim,08.08.2019 11:41,https://eksisozluk.com/entry/93656982,1,izmir,bornova,,2,
bornova'da hissettirdi kendisini edit: ikinciye buca'da yakalandim,crausers,08.08.2019 11:42 ~ 14:29,https://eksisozluk.com/entry/93657015,1,izmir,bornova,,2,
fena vurmustur. bornova ege kampusten hissedildi.,sp3ciali5tt,08.08.2019 11:42 ~ 12:54,https://eksisozluk.com/entry/93657020,1,izmir,bornova,,2,
"bornova'da derinden ama tatti tatli sallandiran deprem. hala sallandigimi hissediyorum, urkucu.",ntr,08.08.2019 11:42,https://eksisozluk.com/entry/93657062,1,izmir,bornova,,2,
