Entry,User,EntryDates,EntryLinks,e_feel,e_city,e_town,e_neighborhood,e_intensity,e_guess
cok fena sallamis depremdir. icerenkoy.,croneec,08.01.2013 16:18,https://eksisozluk.com/entry/31648642,1,istanbul,atasehir,icerenkoy,3,
az once olan bir seydir. atasehir'den hissedildigine gore siddetli olabilir.,masum keci,08.01.2013 16:18,https://eksisozluk.com/entry/31648660,1,istanbul,atasehir,,2,
icerenkoyde 3 bucuk attiran deprem.,serene dream,08.01.2013 16:19,https://eksisozluk.com/entry/31648726,1,istanbul,atasehir,icerenkoy,2,
atasehir de hissedilmistir. really!,uncountable,08.01.2013 16:19,https://eksisozluk.com/entry/31648742,1,istanbul,atasehir,,2,
istanbul atasehir'de sallamistir. hem izmir'i hem istanbul'u sallamis. umariz baska bir yerde yuksek siddetli bir deprem degildir bu karda kista.,awlmi,08.01.2013 16:20,https://eksisozluk.com/entry/31648755,1,istanbul,atasehir,,2,
avcilarda avize sallatmistir.,ikinci afo donemi,08.01.2013 16:18,https://eksisozluk.com/entry/31648670,1,istanbul,avcilar,,3,
az once avcilar 'da besik gibi sallamistir.,tanzer,08.01.2013 16:19,https://eksisozluk.com/entry/31648702,1,istanbul,avcilar,,3,
istanbul avcilar'da kardesimi sicarken yakalamis depremdir... baya uzun surdu ama...,from neocaesarea,08.01.2013 16:19 ~ 16:20,https://eksisozluk.com/entry/31648729,1,istanbul,avcilar,,2,
avcilar 'da uzun uzun sallayip ev ahalisini sicirtmis olan deprem.,j0k3r,08.01.2013 16:20,https://eksisozluk.com/entry/31648789,1,istanbul,avcilar,,2,
kirklareli babaeski'yi de sallamistir.,loucaufield,08.01.2013 16:22,https://eksisozluk.com/entry/31648869,1,kirklareli,babaeski,,2,
gunesli'de bildigin koskoca bina sallandi.,sky,08.01.2013 16:21,https://eksisozluk.com/entry/31648809,1,istanbul,bagcilar,gunesli,3,
istanbul bahcelievlerde de hissedilmistir,hebea,08.01.2013 16:18,https://eksisozluk.com/entry/31648657,1,istanbul,bahcelievler,,2,
cok saglam sallamistir. sirinevler'de ofiste yayil gibi gitik geldik baya. ofiste diyalog su sekilde gelismistir: -deprem mi oldu? -evet ben de hissettim. -yok be abi biz hissetmedik. bunun uzerine siddet artar herkese kapak olur. uzun da surdu meret..,yiktim perdeyi eyledim viran,08.01.2013 16:34,https://eksisozluk.com/entry/31649206,1,istanbul,bahcelievler,sirinevler,3,
bakirkoy'den cok guclu bir sekilde hissedilmistir.,kogan,08.01.2013 16:19,https://eksisozluk.com/entry/31648730,1,istanbul,bakirkoy,,3,
yesilkoy'de 4.2 <16. kat faktoruyle 6.2> hissedilmistir orta gelir tuzagi iste...,cypher,08.01.2013 16:36,https://eksisozluk.com/entry/31649251,1,istanbul,bakirkoy,yesilkoy,2,4.2
