Links,Flags,NoPages
https://eksisozluk.com/26-eylul-2019-istanbul-depremi--6191375,True,289
https://eksisozluk.com/24-eylul-2019-istanbul-depremi--6189374,True,88
https://eksisozluk.com/10-ekim-2019-yalova-depremi--6208576,True,69
https://eksisozluk.com/12-haziran-2017-izmir-depremi--5388936,True,65
https://eksisozluk.com/19-mayis-2011-simav-depremi--2814519,True,53
https://eksisozluk.com/10-aralik-2019-balikesir-depremi--6277350,True,52
https://eksisozluk.com/25-agustos-2019-ankara-depremi--6155192,True,43
https://eksisozluk.com/20-subat-2019-canakkale-depremi--5947040,True,39
https://eksisozluk.com/20-agustos-2019-ankara-depremi--6148327,True,37
https://eksisozluk.com/8-agustos-2019-izmir-depremi--6135297,True,37
https://eksisozluk.com/8-ocak-2013-ege-denizi-depremi--3673799,True,35
https://eksisozluk.com/25-haziran-2016-yalova-depremi--5137587,True,33
https://eksisozluk.com/30-kasim-2018-yalova-depremi--5861331,True,32
https://eksisozluk.com/25-ocak-2019-izmir-depremi--5919561,True,31
https://eksisozluk.com/16-kasim-2015-istanbul-depremi--4966334,True,28
https://eksisozluk.com/20-aralik-2018-yalova-depremi--5881852,True,28
https://eksisozluk.com/17-haziran-2017-izmir-depremi--5392358,True,23
https://eksisozluk.com/6-subat-2017-canakkale-depremi--5296414,True,22
https://eksisozluk.com/7-haziran-2012-tekirdag-depremi--3418720,True,21
https://eksisozluk.com/15-ekim-2016-istanbul-depremi--5208242,True,17
https://eksisozluk.com/29-eylul-2019-yalova-depremi--6194788,True,17
https://eksisozluk.com/10-haziran-2012-mugla-depremi--3424065,True,16
https://eksisozluk.com/26-eylul-2019-istanbul-ikinci-depremi--6192272,True,16
https://eksisozluk.com/19-ekim-2012-istanbul-depremi--3587062,True,14
https://eksisozluk.com/17-ekim-2016-izmir-depremi--5209348,True,13
https://eksisozluk.com/21-ekim-2005-izmir-depremi--1392794,True,13
https://eksisozluk.com/27-aralik-2007-ankara-depremi--1802293,True,13
https://eksisozluk.com/17-ekim-2005-izmir-depremi--1389937,True,12
https://eksisozluk.com/22-haziran-2017-izmir-depremi--5395870,True,12
https://eksisozluk.com/11-ekim-2019-yalova-depremi--6229032,True,11
https://eksisozluk.com/12-haziran-2019-ankara-depremi--6069007,True,11
https://eksisozluk.com/17-aralik-2015-ankara-depremi--4991829,True,11
https://eksisozluk.com/25-aralik-2017-izmir-depremi--5531941,True,11
https://eksisozluk.com/27-ocak-2019-izmir-depremi--5920725,True,11
https://eksisozluk.com/10-kasim-2019-ankara-depremi--6242408,True,10
https://eksisozluk.com/12-subat-2017-canakkale-depremi--5300810,True,10
https://eksisozluk.com/13-agustos-2015-yalova-depremi--4884642,True,10
https://eksisozluk.com/14-haziran-2019-istanbul-depremi--6072134,True,10
https://eksisozluk.com/17-temmuz-2016-istanbul-depremi--5151348,True,10
https://eksisozluk.com/19-temmuz-2014-izmir-depremi--4476651,True,10
https://eksisozluk.com/20-ekim-2006-balikesir-depremi--1609354,True,10
https://eksisozluk.com/26-temmuz-2018-izmir-depremi--5734615,True,10
https://eksisozluk.com/23-haziran-2016-istanbul-depremi--5136214,True,9
https://eksisozluk.com/27-mayis-2019-ankara-depremi--6052693,True,9
https://eksisozluk.com/5-mart-2019-istanbul-depremi--5959996,True,9
https://eksisozluk.com/5-subat-2014-istanbul-depremi--4225482,True,9
https://eksisozluk.com/15-subat-2019-istanbul-depremi--5941325,True,8
https://eksisozluk.com/22-kasim-2014-istanbul-depremi--4606718,True,8
https://eksisozluk.com/27-nisan-2009-tekirdag-depremi--2119699,True,8
https://eksisozluk.com/30-nisan-2010-ankara-depremi--2398213,True,8
https://eksisozluk.com/5-haziran-2016-izmir-depremi--5124385,True,8
https://eksisozluk.com/6-temmuz-2015-izmir-depremi--4845387,True,8
https://eksisozluk.com/1-mayis-2012-izmir-depremi--3359811,True,7
https://eksisozluk.com/10-eylul-2015-izmir-depremi--4909115,True,7
https://eksisozluk.com/12-mayis-2015-ankara-depremi--4780479,True,7
https://eksisozluk.com/15-ocak-2017-canakkale-depremi--5278969,True,7
https://eksisozluk.com/5-aralik-2011-izmir-depremi--3164495,True,7
https://eksisozluk.com/19-subat-2010-ankara-depremi--2333393,True,6
https://eksisozluk.com/20-aralik-2007-ankara-depremi--1797409,True,6
https://eksisozluk.com/20-subat-2012-izmir-depremi--3268916,True,6
https://eksisozluk.com/23-nisan-2018-ankara-depremi--5629639,True,6
https://eksisozluk.com/24-eylul-2016-istanbul-depremi--5194924,True,6
https://eksisozluk.com/24-temmuz-2015-canakkale-depremi--4863919,True,6
https://eksisozluk.com/27-ekim-2019-istanbul-depremi--6227352,True,6
https://eksisozluk.com/4-agustos-2014-yalova-depremi--4494725,True,6
https://eksisozluk.com/6-ocak-2017-ankara-depremi--5271337,True,6
https://eksisozluk.com/1-mart-2017-canakkale-depremi--5311793,True,5
https://eksisozluk.com/10-temmuz-2008-balikesir-depremi--1920480,True,5
https://eksisozluk.com/2-mayis-2019-izmir-depremi--6024873,True,5
https://eksisozluk.com/21-ekim-2014-izmir-depremi--4580024,True,5
https://eksisozluk.com/22-ocak-2019-mugla-depremi--5916186,True,5
https://eksisozluk.com/26-mayis-2013-izmir-depremi--3846719,True,5
https://eksisozluk.com/27-eylul-2016-aydin-depremi--5197226,True,5
https://eksisozluk.com/28-haziran-2011-simav-depremi--2894207,True,5
https://eksisozluk.com/3-mayis-2005-ankara-depremi--1258734,True,5
https://eksisozluk.com/4-agustos-2019-izmir-depremi--6131210,True,5
https://eksisozluk.com/5-ocak-2019-istanbul-depremi--5897328,True,5
https://eksisozluk.com/9-ocak-2018-izmir-depremi--5543426,True,5
https://eksisozluk.com/10-kasim-2014-istanbul-depremi--4598823,True,4
https://eksisozluk.com/11-ekim-2014-izmir-depremi--4570585,True,4
https://eksisozluk.com/12-kasim-2006-ankara-depremi--1617666,True,4
https://eksisozluk.com/12-mart-2018-izmir-depremi--5591691,True,4
https://eksisozluk.com/14-kasim-2017-izmir-depremi--5498197,True,4
https://eksisozluk.com/15-mart-2008-ankara-depremi--1860480,True,4
https://eksisozluk.com/22-kasim-2017-mugla-depremi--5505458,True,4
https://eksisozluk.com/25-kasim-2017-mugla-depremi--5507175,True,4
https://eksisozluk.com/27-aralik-2011-izmir-depremi--3195491,True,4
https://eksisozluk.com/27-nisan-2012-kutahya-depremi--3352453,True,4
https://eksisozluk.com/28-ekim-2018-izmir-depremi--5828667,True,4
https://eksisozluk.com/28-haziran-2019-ankara-depremi--6089363,True,4
https://eksisozluk.com/29-haziran-2015-ankara-depremi--4838266,True,4
https://eksisozluk.com/1-subat-2016-izmir-depremi--5029999,True,3
https://eksisozluk.com/10-haziran-2016-istanbul-depremi--5127284,True,3
https://eksisozluk.com/10-ocak-2015-izmir-depremi--4657942,True,3
https://eksisozluk.com/12-agustos-2010-balikesir-depremi--2487833,True,3
https://eksisozluk.com/17-kasim-2015-istanbul-depremi--4966769,True,3
https://eksisozluk.com/17-subat-2009-simav-depremi--2065462,True,3
https://eksisozluk.com/18-temmuz-2014-izmir-depremi--4474539,True,3
https://eksisozluk.com/18-temmuz-2016-izmir-depremi--5152847,True,3
https://eksisozluk.com/20-haziran-2009-izmir-depremi--2147401,True,3
https://eksisozluk.com/20-temmuz-2014-izmir-depremi--4477128,True,3
https://eksisozluk.com/23-ekim-2015-izmir-depremi--4945803,True,3
https://eksisozluk.com/23-temmuz-2017-canakkale-depremi--5418229,True,3
https://eksisozluk.com/26-temmuz-2012-tekirdag-depremi--3487624,True,3
https://eksisozluk.com/30-agustos-2019-ege-denizi-depremi--6161278,True,3
https://eksisozluk.com/31-ocak-2008-ankara-depremi--1828345,True,3
https://eksisozluk.com/4-aralik-2014-izmir-depremi--4621251,True,3
https://eksisozluk.com/7-eylul-2018-izmir-depremi--5778464,True,3
https://eksisozluk.com/7-haziran-2008-istanbul-depremi--1904579,True,3
https://eksisozluk.com/1-agustos-2005-ankara-depremi--1323608,True,2
https://eksisozluk.com/1-ekim-2019-istanbul-depremi--6193917,True,2
https://eksisozluk.com/10-agustos-2019-izmir-depremi--6135307,True,2
https://eksisozluk.com/10-eylul-2018-mugla-depremi--5781745,True,2
https://eksisozluk.com/11-temmuz-2019-yalova-depremi--6105070,True,2
https://eksisozluk.com/15-ekim-2014-izmir-depremi--4575368,True,2
https://eksisozluk.com/16-agustos-2012-izmir-depremi--3513878,True,2
https://eksisozluk.com/16-eylul-2019-izmir-depremi--6181822,True,2
https://eksisozluk.com/16-nisan-2012-simav-depremi--3337311,True,2
https://eksisozluk.com/17-haziran-2017-ege-depremi--5392277,True,2
https://eksisozluk.com/17-mayis-2014-izmir-depremi--4389165,True,2
https://eksisozluk.com/19-ocak-2009-izmir-depremi--2038513,True,2
https://eksisozluk.com/2-mart-2010-simav-depremi--2345417,True,2
https://eksisozluk.com/2-mayis-2012-izmir-depremi--3360600,True,2
https://eksisozluk.com/23-eylul-2008-ankara-depremi--1955037,True,2
https://eksisozluk.com/23-subat-2015-balikesir-depremi--4704409,True,2
https://eksisozluk.com/25-subat-2018-izmir-depremi--5578725,True,2
https://eksisozluk.com/26-ekim-2018-izmir-depremi--5826776,True,2
https://eksisozluk.com/29-aralik-2013-izmir-depremi--4171913,True,2
https://eksisozluk.com/29-nisan-2019-izmir-depremi--6022673,True,2
https://eksisozluk.com/29-ocak-2005-izmir-depremi--1174474,True,2
https://eksisozluk.com/3-eylul-2019-izmir-depremi--6165355,True,2
https://eksisozluk.com/3-mayis-2012-izmir-depremi--3362028,True,2
