city,town,district,neighborhood
gumushane,torul,merkezkoyler,karsiyaka mah (dedeli koyu)
mus,varto,merkezkoyler,haksever koyu
mersin,gulnar,merkez,cukurkonak mah
siirt,merkez,siirt,veysel karani mah
giresun,yaglidere,merkezkoyler,tuglacik mah (uctepe koyu)
manisa,soma,merkez,catalcam mah
isparta,keciborlu,merkezkoyler,toki mah
giresun,espiye,merkezkoyler,merkez mah (sogukpinar koyu)
bolu,gerede,merkezkoyler,yayla mah (enseliler koyu)
bolu,kibriscik,merkezkoyler,sinnecik mah (kizilcaoren koyu)
sanliurfa,akcakale,merkez,yukari cukurca mah
yalova,armutlu,merkez,bayir mah
sivas,zara,merkezkoyler,molla suleyman mah (beypinari koyu)
sanliurfa,haliliye,baglarbasi,payamli mah
ankara,kahramankazan,kazan,yazibeyli mah
kastamonu,kure,merkez,saman mah
diyarbakir,lice,merkez,siginak mah
kastamonu,cide,merkezkoyler,cakmakci mah (camdibi koyu)
yozgat,yerkoy,merkezkoyler,poyraz koyu
aydin,incirliova,merkez,zafer mah
kirikkale,celebi,merkezkoyler,karabucak koyu
sinop,gerze,merkezkoyler,imamli mah (sarimsak koyu)
afyonkarahisar,sultandagi,merkezkoyler,yenikarabag koyu
bolu,mudurnu,merkezkoyler,kahyalar mah (timaraktas koyu)
artvin,arhavi,merkezkoyler,buyuk mah (derecik koyu)
hakkari,semdinli,merkezkoyler,sarica mah (kayalar koyu)
gaziantep,oguzeli,merkez,kecili mah
ankara,kizilcahamam,merkez,kizilcakoy mah
aksaray,agacoren,merkez,zafer mah
samsun,terme,merkez,akcay mah
ordu,altinordu,duz mahalle,aziziye mah
nigde,merkez,sungurbey,sirali mah
bartin,merkez,kozcagiz,olcekoglu mah (tasmaci koyu)
sirnak,uludere,merkezkoyler,ortakoy koyu
bolu,merkez,merkezkoyler,merkez mah (yayladinlar koyu)
kilis,merkez,merkezkoyler,dolek koyu
sinop,dikmen,merkezkoyler,katirci mah (yukaricekmez koyu)
adiyaman,besni,cakirhuyuk,gonderme mah (konuklu koyu)
bolu,merkez,merkezkoyler,emen mah (mesciler koyu)
kutahya,merkez,borekciler,borekciler mah
giresun,alucra,merkezkoyler,kirazdibi mah (demirozu koyu)
sivas,zara,merkezkoyler,akyazi koyu
usak,merkez,merkezkoyler,karlik koyu
kastamonu,kure,merkezkoyler,merkez mah (karaman koyu)
bingol,merkez,merkezkoyler,asagi mah (bilaloglu koyu)
sanliurfa,halfeti,merkez,argac mah
kastamonu,devrekani,merkezkoyler,cakiroglu mah (pinarozu koyu)
kastamonu,cide,merkezkoyler,saricam mah (senkoy koyu)
konya,doganhisar,merkez,destigin mah
bursa,mudanya,merkez,aydinpinar mah
isparta,sarkikaraagac,merkezkoyler,salur koyu
sanliurfa,akcakale,merkez,akcakoy mah
gaziantep,islahiye,merkez,ortulu mah
sivas,ulas,merkez,yesilyurt mah
adiyaman,celikhan,merkezkoyler,inonu mah (pinarbasi koyu)
duzce,cumayeri,merkezkoyler,imriz mah (hamascik koyu)
isparta,yalvac,merkezkoyler,yukari mah (sucullu koyu)
sirnak,cizre,merkezkoyler,varlik koyu
konya,karapinar,merkez,kazanhuyugu mah
bolu,dortdivan,merkezkoyler,cardak koyu
konya,kulu,merkez,dogutepe mah
sinop,ayancik,merkezkoyler,kapandibi mah (omerduz koyu)
duzce,cumayeri,merkezkoyler,igdir koyu
tokat,turhal,merkezkoyler,kuzalan koyu
mus,merkez,merkezkoyler,askar mah (kosk koyu)
corum,merkez,merkezkoyler,borsunlu mah (morsumbul koyu)
malatya,arapgir,merkez,zohrap mah
kars,arpacay,merkezkoyler,gaziler mah (kockoyu koyu)
sivas,merkez,merkez-koyler,karagomlek koyu
antalya,demre,merkez,buyukkum mah
mersin,akdeniz,baris,baris mah
sivas,susehri,merkezkoyler,selimler mah (camili koyu)
giresun,tirebolu,merkezkoyler,camiyani mah (harkkoy koyu)
elazig,merkez,merkezkoyler,vartinik mah (kushane koyu)
mardin,derik,merkez,dag mah
gumushane,merkez,merkezkoyler,karsiyaka mah (dibekli koyu)
kayseri,yesilhisar,merkez,kovali mah
