topicID,Mw,Av Mw Guess,No of Guess
2814519,5.7,4.3,2
3418720,5.1,4.5,1
3673799,5.7,6.5,3
4966334,3.9,4.4,4
5137587,4.1,4.4,6
5208242,4.9,4.5,6
5296414,5.3,0,0
5296414-2,5.1,0,0
5388936,6.2,5.6,9
5392358,4.6,4.5,1
5392358-2,5.2,5.2,9
5861331,4,4.5,2
5881852,4.4,4.3,2
5919561,4.2,4.6,13
5947040,5,4.3,5
6135297,4.6,4.5,16
6148327,3.2,4.6,7
6155192,3.5,3.9,5
6189374,4.5,4.4,9
6191375,5.6,6,1
6208576,4,4.5,15
6208576-2,3.1,0,0
6208576-3,3.3,0,0
6208576-4,3.7,4.5,2
6277350,4.6,3.9,10
6277350-2,4.3,4.5,1
6277350-3,4,5.5,1
