Entry,User,EntryDates,EntryLinks
"ön bilgi: evet sallanırken yazdım. balıkesir dolaylarında saat: 21:14'te başlayıp sabaha kadar devam eden depremler serisidir. ilk deprem istanbul, bursa, izmir, manisa, çanakkale ve tekirdağ gibi geniş bir alanda hissedilmiştir. arka arkaya 4 kere hissedilir büyüklükle sallamış olup 11 aralık sabah saat 06:30'a kadar yine balıkesir merkezli 1.0 ile 3.0 büyüklük arasında 60 deprem daha olmuştur. neyse ki can kaybı yok. geçmiş olsun. 1. saat: 23:14 merkez üssü: balıkesir - akçaköy derinlik: 7.7 km büyüklük: 5.0 2. saat: 23:24 merkez üssü: balıkesir - bayat derinlik: 9.8 km büyüklük: 4.5 3. saat: 23:27 merkez üssü: balıkesir - kuşkaya derinlik: 5.0 büyüklük: 3.1 4. saat: 23:46 merkez üssü: balıkesir - bayat derinlik: 7.8 büyüklük: 4.3 kaynak",aynen aynen bence de,10.12.2019 23:15 ~ 11.12.2019 07:27,https://eksisozluk.com/entry/98942165
hala sallanıyoruz,acimadiki,10.12.2019 23:15,https://eksisozluk.com/entry/98942174
izmir'de fena sallayan deprem. umuyorum can ve mal kaybı yoktur. edit : burada sismik olmakla ilgili bir takım espriler yapmıştım ama depremde ciddi travmalar yaşayan bir yazar arkadaştan haklı bir eleştiri aldım bu konuda bu yüzden kaldırdım bunları.,dahili meddah,10.12.2019 23:15 ~ 11.12.2019 08:54,https://eksisozluk.com/entry/98942185
bucada fena sallamıştır edit: üstteki yazar arkadaşın notunu okuyunca yazdığım entrye yeniden baktım. art niyetle yazmamış da olsam bu konuda espri yapmanın herhangi bir hoş tarafı yok maalesef. depremden etkilenenlerden özür diliyor ve geçmiş olsun diyorum.,doktor moreau,10.12.2019 23:15 ~ 11.12.2019 17:15,https://eksisozluk.com/entry/98942186
"@1 sallanırken yazmış. izmir için çıtır bir sallantı yaratan deprem. 2,8 diyelim.",ferrari terbiyecisi,10.12.2019 23:15 ~ 23:16,https://eksisozluk.com/entry/98942188
"oldu be! üst edit; - kandilli rasathanesi depremin 23:14 'de balıkesir merkezli geliştiğini açıklamış, derinliğini 5 km, ml büyüklüğünü de 4,9 olarak ölçmüştür. - depremin büyüklüğü 4,5 olarak güncellenmiştir. kaynak . - kandilli durmuyor, bu sefer 10 dk arayla 2 deprem kaydını paylaşıyor, ilki 5, ikincisi 4,5. * işsizlikte zirveyi paylaşmak da varmış nasipte. * umarım kimsenin canı yanmamıştır.",kor zabit,10.12.2019 23:15 ~ 23:36,https://eksisozluk.com/entry/98942192
an itibari ile sallamıştır. edit: olum olmadan önce hissettim ne ara açtınız başlığı? tek medyum ben sanıyordum kendimi aq. sizin sismit götleriniz yüzünden medyumluk mesleği tarih oldu ulan! *,excelsior was here,10.12.2019 23:15 ~ 23:17,https://eksisozluk.com/entry/98942194
baya uzun sürdü. bornova. edit: merkez balıkesirmiş. 4.9 büyüklük.,lemmy killmaster,10.12.2019 23:15 ~ 23:22,https://eksisozluk.com/entry/98942203
"az önce 2 saniye sallayandır, kandilli rasathanesine göre ege denizi açıklarında 3.5 şiddetinde meydana gelmiştir. edit: black mirror dizisi kesinlikle gerçek olacak abi. baksana daha deprem olmadan deprem başlığı açıyoruz, pc başındaydım benden bile hızlı davranmış arkadaş. edit2: başlık başa. edit3: başlık düzeltildi ve düzeltildikten sonra benim üzerimden gitmiş oldu. allah sonumuzu hayreylesin.",yuri kasparov,10.12.2019 23:15 ~ 23:38,https://eksisozluk.com/entry/98942206
şu an oldu. edit: başlığı açayım derken açılmış bile. sallarken yazdım halbuki.,bazooka,10.12.2019 23:15 ~ 23:20,https://eksisozluk.com/entry/98942218
(bkz: 10 aralık 2019 bursa depremi ) başlığına taşınabilir,acimadiki,10.12.2019 23:15,https://eksisozluk.com/entry/98942221
bursa'da hissedilmiştir.,ayfonunusatanbilge,10.12.2019 23:15,https://eksisozluk.com/entry/98942228
çok ciddi salladı. düzenleme: anın heyecanıyla yazmışım. ciddiden ziyade uzun sürdü. hafif hafif gitgeller yaptı.,henrymorgan92,10.12.2019 23:15 ~ 23:17,https://eksisozluk.com/entry/98942229
oldu bitti bile.,supertrump,10.12.2019 23:15,https://eksisozluk.com/entry/98942230
sismik götlülerden merhaba,melancohly,10.12.2019 23:15,https://eksisozluk.com/entry/98942235
tuvalette klozete git gel yaptım aq,ne nick i ak,10.12.2019 23:15,https://eksisozluk.com/entry/98942238
istanbuldan hissedilmiştir.,neverlose,10.12.2019 23:15,https://eksisozluk.com/entry/98942246
ah be gene ilk başlık açan olamadım.,merhabahocam,10.12.2019 23:15,https://eksisozluk.com/entry/98942247
bunu hissetmiş olmamam gerekirdi. (bkz: istanbul ),angelozi,10.12.2019 23:15 ~ 23:36,https://eksisozluk.com/entry/98942252
canakkale merkezde guzel salladi.,siyah pardesulu adam,10.12.2019 23:15,https://eksisozluk.com/entry/98942253
tertemiz sallamıştır,hacker amca,10.12.2019 23:16,https://eksisozluk.com/entry/98942258
"yuh. ben açayım demiştim. bu ne hız. efsane salladı. 5.3 diyorum. edito: 4.9’muş, yaklaşmışım. bildim sayılır. büdüto: bırak ilk entryi yazma başarısını, üç ayrı birincinin ikisini koltuğundan eden,üç ayrı başlığı birleştirtip, beni iki sayfa ileriye atan depremdir. saygılar şelale!",tsayir,10.12.2019 23:16 ~ 23:29,https://eksisozluk.com/entry/98942259
oldu ve bitti.,beter mi,10.12.2019 23:16,https://eksisozluk.com/entry/98942261
tabu oynarken meydana gelen küçük bir deprem,tukenmez kalemi tuketen adam,10.12.2019 23:16,https://eksisozluk.com/entry/98942262
selam çakıp gitmiştir.,selamerhaba,10.12.2019 23:16,https://eksisozluk.com/entry/98942263
aliağa iyi sallandı. inşallah kimseye bir şey olmamıştır.,motorsuzmotorcu,10.12.2019 23:16 ~ 23:17,https://eksisozluk.com/entry/98942264
yuh sallanirken girdim yine yetisemedim,riskhayattir,10.12.2019 23:16 ~ 23:19,https://eksisozluk.com/entry/98942265
yine hatırlattı bazı şeyleri,maraba kuyumcu,10.12.2019 23:16,https://eksisozluk.com/entry/98942267
4sn tekirdağ'da hafif hissedildi. balıkesir merkezde 4.9 olmus.,seksensakiz,10.12.2019 23:16 ~ 23:24,https://eksisozluk.com/entry/98942268
"sallandık. yavaş yavaş başladı, hafifçe arttı, biraz tırstırdı. sismograf götler bildirdi.",the pretty reckless,10.12.2019 23:16,https://eksisozluk.com/entry/98942269
"2,5 yıl sonra ilk defa deprem hissettim. gerçekleşeli henüz 1 dakika bile olmamış deprem. edit: 35140'dan hissedilmiş deprem.",yfc,10.12.2019 23:16 ~ 23:24,https://eksisozluk.com/entry/98942273
