Entry,User,EntryDates,EntryLinks
sallamıştır.,henrymorgan92,10.10.2019 19:52,https://eksisozluk.com/entry/96388769
kartalda sallandik hafiften,icantpickaname,10.10.2019 19:52,https://eksisozluk.com/entry/96388770
yer küre intikam istiyor. edit: arkadaşlar aldığım istihbarata göre büyük bir deprem geliyomuş bugun herkes gece uyumayıp okulun bahçesinde basketbol oynasın pls.,iknowaghost,10.10.2019 19:52 ~ 20:21,https://eksisozluk.com/entry/96388771
yuh diyorum fena salladı,frayer clep,10.10.2019 19:52,https://eksisozluk.com/entry/96388775
ulan sallanırken mi yazdın. maltepede fena sallamıştır. korkuttu bu sefer. edit : an itibari ile yine sallamıştır.,gunalan,10.10.2019 19:53 ~ 20:06,https://eksisozluk.com/entry/96388781
ne ara açtınız başlığı daha deprem bitmedi. 4.2 diyorum. edit: afad 4.0 marmara denizi diyor. edit2: kandilli’ye göre 4.1 yalova açıkları. 50km mesafeden iyi tahmin yapmışım.,catch the arrow,10.10.2019 19:53 ~ 20:12,https://eksisozluk.com/entry/96388783
haarp'i açtılar.,mutercimbey,10.10.2019 19:53 ~ 19:59,https://eksisozluk.com/entry/96388788
yuh lan entry girelim diye girdik 9 kişi önceden yazmış,emrah firarda,10.10.2019 19:53 ~ 19:54,https://eksisozluk.com/entry/96388789
ufak ufak sallamaya devam etmektedir. edit: yalova merkezli ve 3.8 büyüklüğünde. geçmiş olsun. edit2: 20:10 itibari ile ilkine göre daha küçük bir deprem daha olmuştur. 3.4 civarı.,dumurzade,10.10.2019 19:53 ~ 20:18,https://eksisozluk.com/entry/96388795
çok hızlısınız. yalnız memleketin haberi yok depremden. kandilliye de haber verelim.,siyahkotlu,10.10.2019 19:53 ~ 19:54,https://eksisozluk.com/entry/96388799
yalova’dan hissedilmiştir.,ilavetullah,10.10.2019 19:53,https://eksisozluk.com/entry/96388804
çok fenaydı,herseyiistiyoruz,10.10.2019 19:53,https://eksisozluk.com/entry/96388807
yatakta hopladim o neydi oyle,im yes perfecto,10.10.2019 19:53,https://eksisozluk.com/entry/96388810
iyi salladı. banko 5 üstü. not : gebze,idealist sizofren,10.10.2019 19:53,https://eksisozluk.com/entry/96388811
salladı bi kaç saniye.,pro,10.10.2019 19:53,https://eksisozluk.com/entry/96388813
kartalda iyi sallandık.,garcus,10.10.2019 19:53,https://eksisozluk.com/entry/96388814
"bu sefer beklediğimden yavaş açılmıştır başlığı. normalde depremden 1 dakka önce açılırdı, bu sefer deprem anında açılmış.",eoamt,10.10.2019 19:53 ~ 19:55,https://eksisozluk.com/entry/96388820
ne ara hissettik de o kadar yazı doldu buraya...,malpighi cisimcigi,10.10.2019 19:53,https://eksisozluk.com/entry/96388821
fena salladı yatak sallandı,drift34,10.10.2019 19:53,https://eksisozluk.com/entry/96388822
kocaeli derince hoplattı,vassel,10.10.2019 19:53,https://eksisozluk.com/entry/96388823
yeter amk ya ruh hastası oldum bu depremler yüzünden,hiperbolik paraboloid,10.10.2019 19:53,https://eksisozluk.com/entry/96388824
oturduğum kanepede hiçbir şekilde hissetmediğim deprem. hissedenlere geçmiş olsun.,hemengelmesimdigel,10.10.2019 19:53,https://eksisozluk.com/entry/96388825
olmuştur.,1.1001010111001E+038,10.10.2019 19:53,https://eksisozluk.com/entry/96388827
yine depremden önce başlığı gelmiş. kartalda sarstı.,duramayabilen,10.10.2019 19:53,https://eksisozluk.com/entry/96388829
sallanırken başlık açan sözlük yazarlarıyla şaşırtmamıştır. * ben hissetmedim.,kutsaljartiyer,10.10.2019 19:53,https://eksisozluk.com/entry/96388830
kartal iyi salladı,sarhos mutlu elit,10.10.2019 19:53,https://eksisozluk.com/entry/96388831
