Entry,User,EntryDates,EntryLinks
"sallandık! fena! deprem sırasında yapılması gerekenler (hasar var mı diyen oldu. hayır yok. bina ve çevremiz sağlam. zaten hasarlık bir deprem değildi, korkutacak bir seviyede idi sadece. (bu kendi görüşüm tabi)) medeniyet in entrysinden alıntı. henüz izin almadım ama teşekkür ederim :) https://i.hizliresim.com/gwkna0.png edit: ilk sözlü bilgiye göre midilli 6.3 https://i.hizliresim.com/kwjakj.jpg edit: kıçımda alıcı var sanırım. o korkuya rağmen nasıl yazdım onu da bilemedim. salda köyü muhtarı ile konuşuyordum. telefonu da adamın yüzüne kapadım! neyse adam haberlerden anlar abartmadığımı :) bu arada başlık midilli olarak düzeltilse güzel olur. artçıları çok merak ediyorum. kaç artı oldu ne aralıkla... ilk edit sonu. muhtemelen manisa'dır ama ben izmir merkez (hatay) kayaların (!) üstünde oturan birisi olarak bile (1. kat üstelik) bu şiddetli sarsıntıyı hissettim doğrusu. boun'dan henüz veri yok ki zaten siteye de girilemiyor. çeşitli mesajlara istinaden toplu ilaveler: dort ogeyi anlatir yedi gokten soz eder 6.4 yazıyor https://www.emsc-csem.org/earthquake/world/ --- dogushowbiz bence şunu koyarak insanları bilinçlendirebiliriz entyye. depremde yapılması gerekenleri herkesin öğrenmesi gerekiyor: (link entry başında) --- kedi tavsan fare pati merhaba. kandilli rasathanesine göre depremin moment büyüklüğü 6.0. yani depremin büyüklüğü 6.0. teknik alıntı: ...bu büyüklük türü, diğerlerine göre en güvenilir olanıdır. bilim dünyasında, eğer bir deprem için moment büyüklüğü hesaplanabilmişse, diğer büyüklük türlerine gerek kalmadığı düşünülür... bu deprem için moment büyüklüğü hesaplanabildi. deprem büyüklüğü olarak 6.0 kullanılmalı. kapanış editi: oldukça korktum çünkü tamam sallanıyoruz dedikten sonra bir türlü bitmeyince korkum arttı doğrusu... uzadıkça ne olacağını bilemez halde endişem arttı. neyse ki bitti. edit: hızla başlık açtık diye de suçlu olduk. zaten bilgisayar başında telefonla konuşuyordum. ne olduğunu anlamaya çalışmak ile korku arasında sözlüğe girip yazdım. adam gelmiş ""yazacağına hasar var mı ölen kalan var mı baksaydın"" diyor. yahu biz buraya yazdıktan 15 dk sonra ilk haberler gelmeye başladı. ben ne yapacaktım? sokak sokak dolaşıp hasar var mı diye mi bakacaktım? anneme babama seslendim. kedilerime baktım korkudan bir yere kaçtılar mı diye.. daha ne yapsaydım? sizin eve mi gelseydim yardıma? boş konuşmayın, olur mu?",ben smyrna,12.06.2017 15:29 ~ 19:05,https://eksisozluk.com/entry/68786702
"az evvel urlada ciddi salladi... ıatanbul ve düzce depremlerini şans eseri yaşamadan yırtmış biri olarak ilk kez depremi sağlam hissettim, umarim cana bir şey gelmemiştir. edit; lan tek katli binadan kaçarken başlık açtım ama önden iki kişi yazmış magmada mı yaşıyonuz bu ne hız... edit: 6,2 izmir karaburun",gogdabor,12.06.2017 15:30 ~ 15:46,https://eksisozluk.com/entry/68786708
bursa'da olmakta. eğer merkez üssü bursa değil de başka bir ilse kötü sonuçları olmuştur orası adına.,kor zabit,12.06.2017 15:30 ~ 15:32,https://eksisozluk.com/entry/68786710
of of of offff çok berbat salladı. http://prntscr.com/fitv8x herkes şokta tabi http://prntscr.com/fivbm0 şu da bonusu *,depremoldudiyeyazmakicingeldim,12.06.2017 15:30 ~ 17:34,https://eksisozluk.com/entry/68786711
bu sefer başka türlü geliyorrrr!,sonnenuntergang,12.06.2017 15:30,https://eksisozluk.com/entry/68786720
uzun süredir bu kadar hissetmemiştik,fenasi kerim,12.06.2017 15:30,https://eksisozluk.com/entry/68786726
buca'dan fazlasıyla hissedilmiş depremdir. edit: 6.3 şiddetinde olmuştur.,onurdemir,12.06.2017 15:30 ~ 15:49,https://eksisozluk.com/entry/68786730
an itibariyle istanbul 30.katta evde fena hissedilmektedir. laptop kapağını kapattı. en geleneksel deprem tespit yöntemimiz avize de pozitif sonuç veriyor. ek: deprem hissedildiği ilk an akla gelen o 'beklenen istanbul depremi mi başlıyor yoksa' düşüncesi....,emre islekk,12.06.2017 15:30 ~ 16:45,https://eksisozluk.com/entry/68786734
"masamda oturmuş bişiler yazıyordum. bir anda müzik değişince yeni baslayan şarkıyla beraber masadaki orkidenin headbang'a kalktığını görüp ""ulan ayağımı amma sallıyorum"" dedim. sonra o esnada komşunun çekiç seslerine yordum bunu ama headbang kesilmiyordu çiçekte... ""lan!!"" dedim lambaya baktım o da swing yapıyor. bana da ellerimi açıp allahümme salli okumak kaldı. iman 6.3 summer edisyon başarıyla güncellendi bünyemizde. tekirdağ'dan selam ederim.",icemanr,12.06.2017 15:30 ~ 16:59,https://eksisozluk.com/entry/68786738
"şişli'den hissedilmiştir. kurban olduğum allah'ım ne olur öncü falan olmasın. hepi topu bir ayım daha kaldı istanbul'da, sağ salim siktir olup gideyim şu şehirden. amin. edit: ateistspor.",smete,12.06.2017 15:30 ~ 15:33,https://eksisozluk.com/entry/68786739
