Entry,User,EntryDates,EntryLinks
"az önce oldu galiba. edit: http://www.cumhuriyet.com.tr/…da_da_hissedildi.html edit2: arkadaş, istanbul'da yaşıyorum ve depremi doğal olarak istanbul'da hissettim. fena da sallamadı ve doğal olarak istanbul'un bir yerlerinde oldu sandım ve başlığı istanbul diye açtım. zaten olduktan 10 sn sonra falan açtım. o anda ne bileyim depremin karadeniz'in kandıra açıklarında olduğunu. başlık ona uygun bir şekilde düzeltilebilir.",habemus kakam,15.10.2016 11:19 ~ 14:21,https://eksisozluk.com/entry/63499522
sallandık mı?,applefanboy,15.10.2016 11:19,https://eksisozluk.com/entry/63499523
"az önce hissedilen. salladı hafiften. izmit, 5.2 gibi hissediyorum. * edit: doğru çıktı ya la.",mesaj at,15.10.2016 11:19 ~ 11:46,https://eksisozluk.com/entry/63499525
az önce yaşanmıştır. yaklaşık 4 saniye kadar sürdü. edit: kandilli rasathanesi tarafından şiddeti 4.9 olarak açıklandı. merkez üssü karadeniz.,medeniyet,15.10.2016 11:19 ~ 11:48,https://eksisozluk.com/entry/63499527
an itibariyle sallamıştır.,bahiskolik,15.10.2016 11:20,https://eksisozluk.com/entry/63499529
deprem üssü karedeniz olan 5 büyüklüğünde deprem. deprem üssü istanbul'un daha çok kuzeyinde ve karadeniz sahillerine varan geniş coğrafyada yaşandığını açıklıyor: http://depremizle.com/…z---------------------?lksel,tolginho,15.10.2016 11:20 ~ 11:35,https://eksisozluk.com/entry/63499531
oldu oldu,sam spade,15.10.2016 11:20,https://eksisozluk.com/entry/63499533
beylikdüzü'nden hissedilmemiştir.,kerevizyon,15.10.2016 11:20,https://eksisozluk.com/entry/63499541
bakırköy'de hissettim. bayağı salladı.,for whom the bell tolls,15.10.2016 11:20,https://eksisozluk.com/entry/63499542
az once sallandik marmara'da 4.3 filan galiba umarim sonrasi gelmez edit: karadeniz civari da olabilir edit2: evet karadeniz cikti. simdilik 5.2 deniliyor.,yazdiklarimin hepsi hayal urunudur,15.10.2016 11:20 ~ 11:32,https://eksisozluk.com/entry/63499543
neydi lan o ödüm bokuma karisti. edit: beylikdüzünden hissedilen depremdir.,pinositoz cebi,15.10.2016 11:20 ~ 11:23,https://eksisozluk.com/entry/63499544
(bkz: deprem oluyorken entry girmek ),faraton,15.10.2016 11:20,https://eksisozluk.com/entry/63499547
sanırsam bursa'da da hissettiğim doğa olayı,concerta,15.10.2016 11:20,https://eksisozluk.com/entry/63499550
zonguldakta deli gibi sallandım ben şahsen. ortalarımızda bir yerde olmuş olabilir.,fokelator,15.10.2016 11:21,https://eksisozluk.com/entry/63499553
"istanbul / atasehir'den hissedilmistir. oldukca uzun surdu. depremler neden hep cumartesi oluyor diye dusundurmedi degil. duzen: espri yapmayani dovuyorlar galiba, herkeste bir komiklik, bir saka... db'ye girme umudu nelere kadir.",fakyoras,15.10.2016 11:21 ~ 11:28,https://eksisozluk.com/entry/63499555
hafiften sallandık sanki dedirten deprem.,seyrulsefer,15.10.2016 11:21,https://eksisozluk.com/entry/63499557
göktürk'te de hissedilmiştir... ama tatlı tatlı salladı...,zamazingonun tam ortasi amazing,15.10.2016 11:21,https://eksisozluk.com/entry/63499560
"en az 7-8 saniye sürmüştür. 4,7 gibi olabilir diye sallayacağım.",cok bilmis olmayan avukat,15.10.2016 11:21 ~ 11:22,https://eksisozluk.com/entry/63499562
beşiktaş'ı da salladı,kavimler gocunde evi yagmalanan adam,15.10.2016 11:21,https://eksisozluk.com/entry/63499566
demekki gerçekten olmuştur. hissettiğim anda önce ev halkına sordum sonra buraya girdim.,platoniclover,15.10.2016 11:21,https://eksisozluk.com/entry/63499567
4'üncü levet'te kalbimi hoplatacak şekilde hissettirmiştir. aman allah korusun beterinden.,basucumdamuzik,15.10.2016 11:21 ~ 11:22,https://eksisozluk.com/entry/63499569
güzel salladı.,notworker,15.10.2016 11:21,https://eksisozluk.com/entry/63499570
(bkz: titremek ),neseli ispanak,15.10.2016 11:21,https://eksisozluk.com/entry/63499572
ne ara başlık açtınız lan? 15 saniye önce olmuştur.,kopekli ekmek,15.10.2016 11:21,https://eksisozluk.com/entry/63499573
oldu evet. biz de hissettik.,huysuzluk sirinesi,15.10.2016 11:21,https://eksisozluk.com/entry/63499575
kastamonu inebolu'dan bile hissedilmiştir. umarım ciddi bir durum yoktur.,karincayiyen,15.10.2016 11:21,https://eksisozluk.com/entry/63499576
beylikdüzü'nde hissedilen depremdir,new orleans muhaciri,15.10.2016 11:21,https://eksisozluk.com/entry/63499579
hafif hafif ama oldukça uzun süren bi deprem oldu.. merkez üssü neresi çıkacak bakalım..,take care dream on,15.10.2016 11:21,https://eksisozluk.com/entry/63499580
en önce sismik sensörlü götler hissetmiştir.,aziz zixxxer,15.10.2016 11:21,https://eksisozluk.com/entry/63499583
florya semtini iyi sallamış deprem.,optimist vs pesimist,15.10.2016 11:21,https://eksisozluk.com/entry/63499585
acıbadem civarında çok hafif hissetmiş olduğum depremdir.,gd man,15.10.2016 11:21,https://eksisozluk.com/entry/63499586
zonguldak'ta da hissedilmiştir,crvena zvezda,15.10.2016 11:21,https://eksisozluk.com/entry/63499588
beylikduzu'nde hissedilmistir. uzun surmedi ama salladi. korkuyorum. bu sehrin her seyinden korkuyorum.,haciz mahallinde tango,15.10.2016 11:22,https://eksisozluk.com/entry/63499589
normalde istanbul bile sayılmayacak olan beylikdüzü'nde de yoğun bir şekilde hissedilmiştir.,housemdninbastonu,15.10.2016 11:22,https://eksisozluk.com/entry/63499592
