Entry,User,EntryDates,EntryLinks
salladı gibi,kaplumbagaj,16.11.2015 17:46,https://eksisozluk.com/entry/56291265
"sallamıştır. yaklaşık 6-7 saniye sürdü. korktuk!... iyidir böyle depremler. enerjiyi alsın. sonra birden olmasın. edit: herkes semt yazıyor bakırköy, yeşilköy, yeşilyurt, florya, avcılar, bahçeşehir taraflarında 2 duble atıp geyik yapcak veya memleketi kurtaracak adam/madam var mı? * edit 2: ulan bir kişi gel içelim demedi. allah belanızı vermesin.",post tenebras lux,16.11.2015 17:46 ~ 20:58,https://eksisozluk.com/entry/56291266
an itibari ile salladı.,uzun sacli kel cocuk,16.11.2015 17:46,https://eksisozluk.com/entry/56291271
kadıköyde sallamıştır. artçılar devam etmekte.,vadrigar,16.11.2015 17:46 ~ 17:47,https://eksisozluk.com/entry/56291274
salladı valla,nnazuzu,16.11.2015 17:46,https://eksisozluk.com/entry/56291279
levent'te birazcık salladı.,gogu delen adam,16.11.2015 17:46,https://eksisozluk.com/entry/56291284
oyoy 10 saniye falan surmustu.,arcano,16.11.2015 17:46 ~ 18:27,https://eksisozluk.com/entry/56291285
kadıköy'ü salladı.,atesikus,16.11.2015 17:46,https://eksisozluk.com/entry/56291288
(bkz: vaziyet alın buralar sallanacak ),naughtyfisherman,16.11.2015 17:46 ~ 17:49,https://eksisozluk.com/entry/56291290
güneşli'den hissedilmiştir. kısa sürmüştür. umarım bitmiştir.,pan from sirius,16.11.2015 17:46,https://eksisozluk.com/entry/56291292
balmumcu'da hissedilmiştir.,tirizettin,16.11.2015 17:47,https://eksisozluk.com/entry/56291302
gebze'de sallamıştır.,theogonie,16.11.2015 17:47,https://eksisozluk.com/entry/56291303
üsküdar'da hissetmediğim ama tuzla'da hissedilmiş deprem. edit: çamlıca,galove,16.11.2015 17:47 ~ 17:51,https://eksisozluk.com/entry/56291306
titretmiştir.,usestripy,16.11.2015 17:47,https://eksisozluk.com/entry/56291307
yine hatırlattı kendini... allah beterinden saklasın.,gehry,16.11.2015 17:47,https://eksisozluk.com/entry/56291308
ne yazılmış be. alttan alttan vuran depremdir.,hanhan,16.11.2015 17:47,https://eksisozluk.com/entry/56291320
korkutan deprem. kısa ama iyi salladı.,tkzkn,16.11.2015 17:47 ~ 17:48,https://eksisozluk.com/entry/56291323
göktürk check! tahminim 4.1,zamazingonun tam ortasi amazing,16.11.2015 17:47 ~ 17:49,https://eksisozluk.com/entry/56291327
kadıköy' ü hafifçe ve hızlı bir şekilde sarstı.,keepthefaith,16.11.2015 17:47,https://eksisozluk.com/entry/56291336
"yine bilgisayar başında yakalamıştır, beklemedeyim.",eyyorlamam,16.11.2015 17:47,https://eksisozluk.com/entry/56291339
ataşehir'i de sağlam salladı,genuine,16.11.2015 17:47,https://eksisozluk.com/entry/56291342
bakırköyden fena hissedilmiştir,elma sekeri,16.11.2015 17:47,https://eksisozluk.com/entry/56291347
sariyer'den de hissedildi.,missmilkshakie,16.11.2015 17:48,https://eksisozluk.com/entry/56291351
ataşehir check,wormjam,16.11.2015 17:48,https://eksisozluk.com/entry/56291353
sıçırttı.,eski solcu,16.11.2015 17:48,https://eksisozluk.com/entry/56291354
güzel salladı.,fairs,16.11.2015 17:48,https://eksisozluk.com/entry/56291355
ben daha sallanırken sözlükte başlığına denk geldiğim deprem.,nabercanki,16.11.2015 17:48,https://eksisozluk.com/entry/56291357
fatih'i ittirmiştir,ebruli ulan,16.11.2015 17:48,https://eksisozluk.com/entry/56291360
salladı. alttan bi vurdu. baş dönmesi gibi geldi. sözlüğe bakılıp doğrulandı. esenler/bayrampaşa. 3.9 gibi düşünüyorum.,discodisco,16.11.2015 17:48 ~ 17:55,https://eksisozluk.com/entry/56291364
kasımla aralığı karıştırtacak kadar korkutmuş heralde.,horoz tavuk 200luk,16.11.2015 17:48,https://eksisozluk.com/entry/56291369
yeşilköy'de hafif salladı.,kendicoplugundeotenhoroz,16.11.2015 17:48,https://eksisozluk.com/entry/56291373
birilerinin aklını alan deprem.,o ne ki la oyle,16.11.2015 17:48,https://eksisozluk.com/entry/56291376
titretti valla.,canercop,16.11.2015 17:48,https://eksisozluk.com/entry/56291377
daha şimdi oldu lan?! (bkz: depremden hızlısınız amk ),yurusenai,16.11.2015 17:48,https://eksisozluk.com/entry/56291380
"bağcılar güneşli'de de hissedilmiştir. tek seferlik vur-geç stilinde, tahmini 5,2 şiddetinde depremdir. plaza yusuf yusufff! not: salladım, tutsun lan.",koluncumuofele,16.11.2015 17:48,https://eksisozluk.com/entry/56291387
gelecekten bildirilen deprem. öyle bir sallamıştır ki zamanın ekseni de kaymış belli ki.,reavelyn,16.11.2015 17:48,https://eksisozluk.com/entry/56291392
yesilkoy'de baya sallandik. japon calisma arkadasim ciglik atti. biraz ironic oldu ama.,yoroshiku,16.11.2015 17:48,https://eksisozluk.com/entry/56291393
maltepe'de hissetmediğim deprem.,yikilmazhadi,16.11.2015 17:48,https://eksisozluk.com/entry/56291396
beylikdüzün'den katıldığım depremdir.,bagcivan,16.11.2015 17:48,https://eksisozluk.com/entry/56291398
4 saniye boyunca 4 duble rakı içmiş etkisi yaratan bir sallama yaptı.,belgian waffle,16.11.2015 17:48,https://eksisozluk.com/entry/56291400
"oldu bitti, paralel paralel sallandık.",eskizamanmartisi,16.11.2015 17:48,https://eksisozluk.com/entry/56291402
an itibari ile yeşilköy de hissedildi. 5-6 saniye sürdü. geçmiş olsun herkese,laturchiapiubella,16.11.2015 17:48,https://eksisozluk.com/entry/56291408
keşkül titretmesi tadında 3-4 saniye hissettik.,sleeping husband,16.11.2015 17:49 ~ 17:49,https://eksisozluk.com/entry/56291412
"halkalidan da hissedildi, alttan alttan vurdu.",yazdiklarimin hepsi hayal urunudur,16.11.2015 17:49,https://eksisozluk.com/entry/56291413
şiddeti 4.6 civarıdır.,eski solcu,16.11.2015 17:49,https://eksisozluk.com/entry/56291414
oturduğum yerde iyi ileri geri götürmüştür beni.,rushyapansniper,16.11.2015 17:49,https://eksisozluk.com/entry/56291416
deprem oldugu gibi eksiye mi kostunuz lan bu nasıl bir hızdır,spartacus7,16.11.2015 17:49,https://eksisozluk.com/entry/56291429
güngörende fena sallandık.,alinbaba,16.11.2015 17:49,https://eksisozluk.com/entry/56291430
halkalıyı iyi sallamıştır.,muz cumhuriyeti vatandasi,16.11.2015 17:49,https://eksisozluk.com/entry/56291433
türkiye'de işsizlik çok büyük bir sorun,kavimler gocunde evi yagmalanan adam,16.11.2015 17:49,https://eksisozluk.com/entry/56291435
merter'e de selam çakmış depremdir.,argoios,16.11.2015 17:49,https://eksisozluk.com/entry/56291438
şişli'de hafiften hissettirmiştir.,j000ker,16.11.2015 17:49,https://eksisozluk.com/entry/56291439
(bkz: acele işe şeytan karışır ),tadalet,16.11.2015 17:49,https://eksisozluk.com/entry/56291441
