Entry,User,EntryDates,EntryLinks
sallıyor... edit : bana yüklenmeyin lan ben izmir'deyim başlık ondan böyle. edit 2: düzeltilmiş. umarım can ve mal kaybı yoktur. hepimize geçmiş olsun. http://earthquake.usgs.gov/…w/quakes/usc0003j4a.php,onuruno,19.05.2011 23:15 ~ 23:43,https://eksisozluk.com/entry/23590039
an itibariyle sallayan deprem. counter oynarken oldu.,galove,19.05.2011 23:16 ~ 23:16,https://eksisozluk.com/entry/23590047
acayip salladı turgutlu'da. hala da sallanıyoruz. edit: arkadaşlar mesajlar için sağolsun ama durduk haliyle.,sir yes sir,19.05.2011 23:16 ~ 23:38,https://eksisozluk.com/entry/23590053
istanbul da sallandı...,ustaserdar,19.05.2011 23:16,https://eksisozluk.com/entry/23590054
keşkül gibi titretmiştir.,juduras,19.05.2011 23:16 ~ 23:17,https://eksisozluk.com/entry/23590055
ümraniye'de de hissedilmiş olan deprem,wagner love,19.05.2011 23:16 ~ 23:17,https://eksisozluk.com/entry/23590057
"istanbulda da hissedilmemişse eğer, bir adet de istanbulda olmakta aynından..",gaydiriguppakcemile,19.05.2011 23:16,https://eksisozluk.com/entry/23590070
istanbul maltepeden dehşet hissedilmekte.,girl in a coma,19.05.2011 23:16,https://eksisozluk.com/entry/23590071
an itibarı ile istanbul 'da acıbadem 'i sallamıştır...,metal revolution,19.05.2011 23:16 ~ 20.05.2011 00:58,https://eksisozluk.com/entry/23590072
hala oluyor. oha lan izmir de bile hissedilmiş başlık türkiye depremi olarak değişmeli.,kapi,19.05.2011 23:16 ~ 23:19,https://eksisozluk.com/entry/23590076
tekirdağ da sallanıyor,karoyedili,19.05.2011 23:16,https://eksisozluk.com/entry/23590080
beni de sallayan deprem ama istanbul'dayım.,sebnamy,19.05.2011 23:16,https://eksisozluk.com/entry/23590087
bakırköyden hissedilmiştir.,deady,19.05.2011 23:16,https://eksisozluk.com/entry/23590088
pis salladı kadıköy'de... panik yok. geçti.,otopsicocugu,19.05.2011 23:16 ~ 23:17,https://eksisozluk.com/entry/23590090
istanbul'u bile salladı. küçükçekmece'de çok fena yerimizden oynadık,g man,19.05.2011 23:16,https://eksisozluk.com/entry/23590100
manisa alaşehirde şu an hala sallıyor.,fotarkh,19.05.2011 23:16,https://eksisozluk.com/entry/23590104
bornova civarında acayip hissedilmiştir. tırstık.,meritamoon,19.05.2011 23:16,https://eksisozluk.com/entry/23590106
çerkezköy ü de sallamıştır.,sinnocence,19.05.2011 23:16,https://eksisozluk.com/entry/23590113
baya baya sallayan depremdir. merkez üssü izmir değilse orayı düşünmek istemiyorum.,astaroth,19.05.2011 23:16,https://eksisozluk.com/entry/23590115
gayrettepe'den baya bi hissedilmiştir. uzun da sürdü yaw,venus,19.05.2011 23:16,https://eksisozluk.com/entry/23590116
karşıyaka sahilinde tam anlamıyla altıma sıçırtmıştır. tuvalete gidiyorum.,ne bekledik be birader,19.05.2011 23:16,https://eksisozluk.com/entry/23590117
"ilk hissettiğim deprem olmuştur.. ""istanbul-üsküdar""",boom,19.05.2011 23:17,https://eksisozluk.com/entry/23590122
fena bi deprem. çok pis tırstık lan izmir karşıyakada.,sahikalar destani,19.05.2011 23:17,https://eksisozluk.com/entry/23590128
4.levent civarında 5sn. kadar süren deprem,vincenzo,19.05.2011 23:17,https://eksisozluk.com/entry/23590131
"pis sallayan deprem. istanbulda da hissedildiğine göre, bir yerlerde felaket olmuş olabilir.",beyteper canavari,19.05.2011 23:17,https://eksisozluk.com/entry/23590138
iyi salladı. geçmiş olsun hepimize.,protest,19.05.2011 23:17,https://eksisozluk.com/entry/23590141
taksim'i de etkilemiş deprem.,night fury,19.05.2011 23:17,https://eksisozluk.com/entry/23590147
"4,5 dan büyük bir deprem oldu muhtemelen.",bengrimm,19.05.2011 23:17,https://eksisozluk.com/entry/23590148
fena sallayan deprem. merkez üssü neresi acep? umarım yakın bi yerdir. uzak bi yerse kötü şeyler olmuş olabilir.,8128,19.05.2011 23:17 ~ 23:19,https://eksisozluk.com/entry/23590152
şişli'den hissedilmiştir.,thugster,19.05.2011 23:17,https://eksisozluk.com/entry/23590153
kocaeli beşik gibi sallandi.,bu ne amina koyim ya,19.05.2011 23:17 ~ 23:34,https://eksisozluk.com/entry/23590163
2 kere sağlam sallamış deprem 3 gelirse dışarı,karoyedili,19.05.2011 23:17,https://eksisozluk.com/entry/23590164
