Entry,User,EntryDates,EntryLinks
an itibari ile olan. altındağ tarafında çok rahat 5-6 saniye salladı tahmini 5 şiddetinde olabilir. ekşisözlük sismik göt ağı sundu. edit:mamak merkezli 3.4 büyüklüğünde bir depremmiş. edit 2: saat 22.11 de kazan merkezli 3.5 büyüklüğünde bir deprem daha olmuş.,atina karsi gelen kovboy,20.08.2019 05:08 ~ 22:42,https://eksisozluk.com/entry/94179451
uykudan uyandırdı. fena salladı. 3.4 şiddetinde mamak merkezli imiş kaynak edit: aynı günde (kazan merkezli 3.5 büyüklüğünde) 2. deprem. hayırlar olsun yahu.,jellenmis balik,20.08.2019 05:08 ~ 22:56,https://eksisozluk.com/entry/94179453
hafif salladı gece 5 an itibariyle. tahmini 4-5 şiddeti gibi. ankara'da bayadır deprem olmuyordu unutmuştuk yüreğim hopladı.,berkayjan,20.08.2019 05:08 ~ 05:12,https://eksisozluk.com/entry/94179456
mamak tarafı bina hoplamıştır. tahmini 5.0 edit : merkez üssü mamak 3.4 yüzeye yakınmış.,ebu cahil,20.08.2019 05:09 ~ 05:20,https://eksisozluk.com/entry/94179459
"yatakta titretmiştir. edit: 5-6 saniye salladı yazan var, abartmayın amk. 5-6 saniye sallasa amına kordu gibi sanki.",adina da derler,20.08.2019 05:09 ~ 05:13,https://eksisozluk.com/entry/94179461
salladı. üzerinden beş dakika geçti. hiçbir yerde yazmıyor hala. ne kandilli ne de diğer siteler,camus hocam cay koy da icelim,20.08.2019 05:09 ~ 05:13,https://eksisozluk.com/entry/94179462
hafif sarstı lokasyon ankara/keçiören,nigtcall,20.08.2019 05:09,https://eksisozluk.com/entry/94179463
az önce hissedilen. umarım herkes iyidir. geçmiş olsun herkese.,ben oldum cinayet,20.08.2019 05:09 ~ 05:11,https://eksisozluk.com/entry/94179465
elimi ayagim titredi zaten elektrikler kesik mal gibi yatakta kivrildim kaldim,shadow queen,20.08.2019 05:09,https://eksisozluk.com/entry/94179466
uykuda hissettirdi kendini ama kısa sürdü cok şükür.,insanlarkendinibilebilseydi,20.08.2019 05:09,https://eksisozluk.com/entry/94179468
2-3 saniye sürmesine rağmen güzel sallayan deprem olmuştur.,archibruck,20.08.2019 05:09,https://eksisozluk.com/entry/94179469
"o nasıl bir sallama, ilk defa böyle oldu",ayaktakisessizadam,20.08.2019 05:09,https://eksisozluk.com/entry/94179471
gazi mahallesinde uykudan uyandıran depremdir.,fraustranger,20.08.2019 05:09,https://eksisozluk.com/entry/94179472
fena salladı.,panterussss,20.08.2019 05:10,https://eksisozluk.com/entry/94179473
"fena uyandırdı, iyi korkuttu.",aryan,20.08.2019 05:10,https://eksisozluk.com/entry/94179474
ilginçtir bende hissettim. başlık var diye yazıyorum. çayyolu’nda da hissedilmiştir.,yuksekpromil,20.08.2019 05:10,https://eksisozluk.com/entry/94179475
5.07 5.08 civarı uykudan uyandıran hadise.,rocky ballboa,20.08.2019 05:10 ~ 05:46,https://eksisozluk.com/entry/94179477
dikmen/akpınar'da hissetmediğim zelzele. götümüz de büyük halbuki...,gunde 3 litre kola icen adam,20.08.2019 05:10,https://eksisozluk.com/entry/94179483
vallahi uzun sürmedi sma sağlam salladı,haci bakkal,20.08.2019 05:10,https://eksisozluk.com/entry/94179486
"yatağı başka birisi salladı zannettirdikten sonra bana noldu lan dedirtti az evvel, garip",gandalfdiyentirbuson,20.08.2019 05:10,https://eksisozluk.com/entry/94179489
abv! bilgisayar başında kulaklıkla hayvan gibi yüksek sesle müzik dinliyordum arkamdan biri sarsıyor sandım çüş! korkunç olan evde yalnızdım.,kubitoo,20.08.2019 05:10 ~ 07:56,https://eksisozluk.com/entry/94179490
