Entry,User,EntryDates,EntryLinks
az önce salladı. lokasyon bakırköy. merkez üssü yalova büyüklüğü 4.5 link edit: arkadaşlar mesaj yağmuruna tutmayın artık. evet itiraf ediyorum götümde sismograf var.,calgonun duzeltemedigi camasir makinasi,20.12.2018 09:35 ~ 11:07,https://eksisozluk.com/entry/84575569
"evet sallanıyoruz, konum caddebostan. edit: ulan sallanırken yazdım ne ara başlık açtınız. edit2: merkez üssü çınarcıkmış, çınarcıkta yaşayan babamı aradım dünyadan haberi yok, ""uyuyorum ben iyi geceler"" dedi kapattı telefonu, adamın sülalesi rahat.",harika avci,20.12.2018 09:35 ~ 10:27,https://eksisozluk.com/entry/84575574
"umarım hasar yoktur hiçbir yerde. kış günü, çok ürkütücü oldu bu. https://www.emsc-csem.org/…earthquake.php?id=733710 merkez üssü yalova olarak görünüyor.",pixtur,20.12.2018 09:35 ~ 09:46,https://eksisozluk.com/entry/84575575
sallamıştır. edit: merkezi yalova sınırları içerisinde ama bursa'dan taş atarsın merkez üssüne. o derece yakın yani.,pterotaktil,20.12.2018 09:35 ~ 09:49,https://eksisozluk.com/entry/84575579
an itibarıyla duran deprem,masum keci,20.12.2018 09:35,https://eksisozluk.com/entry/84575580
"kısa ve sert bir şekilde fena sallamış depremdir. umarım daha büyüğü olmaz. 4,5 yalova (bkz: deprem başlıklarında alay eden tipler ) sizin ben ağzınıza sıçayım. deprem saati : 09:35 1. entry 09:35 başlık açılır : sallamıştır. 2. entry 09:35 sallamıştır / edit : ne ara başlık açtınız lan? 3. entry 09:35 fena sallamıştır / edit : götünde sismograf mı var? 4. entry 09:35 hissedilen deprem / edit : daha deprem bitmeden başlık açılmış. 5. entry 09:35 sallanıyoruz / edit : ekşi sözlük deprem öncesi uyarı sistemi. 6. entry 09:35 x yerde hissedilen deprem / edit : nasıl bir işsizsiniz la? aslında hepiniz aynısınız. 09:35-09:36 saat aralığında bu başlığa girilen entry sayısı 51.",eksimtrack,20.12.2018 09:35 ~ 13:10,https://eksisozluk.com/entry/84575583
sağlam vurdu prefabrik duvarları titredi ataşehir'den bildiriyorum.,byzantium,20.12.2018 09:35 ~ 09:37,https://eksisozluk.com/entry/84575584
"baya salladı şimdi 4,5 civarı bir şiddeti vardı afad boşuna sismograf kullanıyor beni alsa ya işe",muratduygu,20.12.2018 09:35 ~ 09:45,https://eksisozluk.com/entry/84575591
"oğlum nasıl bir işsizsiniz lan ?? başlık açıldığında daha deprem bitmemişti, oha !!",cerkez prens,20.12.2018 09:35 ~ 14:02,https://eksisozluk.com/entry/84575595
çıtırdan sallayan,gunesfeb,20.12.2018 09:35,https://eksisozluk.com/entry/84575596
an itibariyle korkuttu. yer: hava meydan komutanlığı edit: nöbetimde vukuat yoktur komutanım :),caya seker atanin amk,20.12.2018 09:35 ~ 09:42,https://eksisozluk.com/entry/84575597
sarsmıştır.,edeb ya hu ya edeb,20.12.2018 09:35,https://eksisozluk.com/entry/84575598
küçükçekmece'de fena vurdu.,gizy,20.12.2018 09:35,https://eksisozluk.com/entry/84575602
üç buçuk attırmıştır,bi permatik iki de ekmek,20.12.2018 09:35,https://eksisozluk.com/entry/84575603
korkuttu.,evrilemeyen homo sapien,20.12.2018 09:35,https://eksisozluk.com/entry/84575605
ben sallanırken açılan başlık.,ozmencoskun,20.12.2018 09:35,https://eksisozluk.com/entry/84575609
bu ne hız. sarsıntı bitmeden başlık açmak.,naughtyfisherman,20.12.2018 09:35,https://eksisozluk.com/entry/84575610
deprem devam ederken açılan başlık,papiloz,20.12.2018 09:35,https://eksisozluk.com/entry/84575612
fena salladı. ilk başta bir vurdu. biraz durdu ve salladı. son 20 günde esenköy'deki ikinci 4.0+ deprem oldu bununla birlikte. 2018.11.30 05:36:34 40.5912 28.9770 6.9 -.- 4.3 4.0 esenkoy-cınarcık (yalova) revıze01 2018.12.20 09:34:24 40.6035 28.9715 5.4 -.- 4.5 4.4 esenkoy-cınarcık (yalova) ilksel,sertori,20.12.2018 09:35 ~ 09:55,https://eksisozluk.com/entry/84575614
bursa’da da fena hissedilmiştir,the game changer,20.12.2018 09:35,https://eksisozluk.com/entry/84575617
güzel sallamıştır.,klitoristantinapolis,20.12.2018 09:35,https://eksisozluk.com/entry/84575621
gebze'de hissedilendir.,umur samazdi,20.12.2018 09:36,https://eksisozluk.com/entry/84575626
ufak bi sallandım koltukta otururken hemen sözlüğe koştum. doğruymuş. edit: konum küçükçekmece.,yikilmazhadi,20.12.2018 09:36 ~ 09:42,https://eksisozluk.com/entry/84575628
(bkz: depremden önce entry girme başarısı ),hasenat,20.12.2018 09:36,https://eksisozluk.com/entry/84575629
merkezi bursa olmayan deprem ama iyi salladı.,banbana,20.12.2018 09:36,https://eksisozluk.com/entry/84575631
demin istanbulu sağlam salladı.,ingilicceren,20.12.2018 09:36,https://eksisozluk.com/entry/84575636
140journos kentsel dönüşüm belgeselinde inşaatçı dayı ‘hiç bir şirkete güvenmeyin hepsi malzemeden çalıyor.’ derken gerçekleşen depremdir. ürküttü.,haydi gel leninle ol,20.12.2018 09:36 ~ 09:39,https://eksisozluk.com/entry/84575637
istanbul maltepe'den hissedilmiştir,import eksi,20.12.2018 09:36,https://eksisozluk.com/entry/84575638
"allaha rahmet eylesin, ahmet mete ışıkara'nin rasathane muduru olmadigi bir donemde olmus depreme deprem demem ben.",aloha martini,20.12.2018 09:36 ~ 09:44,https://eksisozluk.com/entry/84575644
hızlı ve öfkeli,emrereyiz,20.12.2018 09:36,https://eksisozluk.com/entry/84575647
"yuh. 3 saniye oldu, başlık açılmış. evet olmuş. kan şekerim düşmemiş. zincirlikuyuda hissedilendir.",iriminage,20.12.2018 09:36,https://eksisozluk.com/entry/84575650
bursada uykudan uyandiran depremdir,demeler,20.12.2018 09:36,https://eksisozluk.com/entry/84575651
geliyor yaklaşmakta olan...,modeonline,20.12.2018 09:36,https://eksisozluk.com/entry/84575653
hissedilmiştir.,geceleri ucan pirasa,20.12.2018 09:36,https://eksisozluk.com/entry/84575654
"ilk defa bir depremi yusuflayarak baya bi hissettim, hazır değilmişim",itinkalemi,20.12.2018 09:36,https://eksisozluk.com/entry/84575655
ukumdan uyandirdi.,albert dumont,20.12.2018 09:36,https://eksisozluk.com/entry/84575663
"geliyor, gelecek olan",diablo77,20.12.2018 09:36,https://eksisozluk.com/entry/84575668
çok feci sallamıştır bi 7 sn baya salladı korkutandır,valar morghuliis,20.12.2018 09:36,https://eksisozluk.com/entry/84575669
lan deprem olsa da entry girsek diye mi bekliyorsunuz amk,serserious,20.12.2018 09:36,https://eksisozluk.com/entry/84575670
(bkz: bu sefer güldürmedi ),ancient aliens hair guy,20.12.2018 09:36,https://eksisozluk.com/entry/84575674
sallandık net hissettim cok net hissetim cok yatakta uzanırken,capicino,20.12.2018 09:36 ~ 09:39,https://eksisozluk.com/entry/84575677
deprem olurken başlık açılan tek yer burasıdır herhalde. allah korusun büyük bir deprem olduğunda başlık açacağım diye ölüp gideceksiniz. herkese geçmiş olsun.,addictedtomelody,20.12.2018 09:36 ~ 09:45,https://eksisozluk.com/entry/84575679
yine sallandık çok korkuyorum,hilkar,20.12.2018 09:36,https://eksisozluk.com/entry/84575684
hemen nasıl yalova?,copilus,20.12.2018 09:36,https://eksisozluk.com/entry/84575689
sağlam sallayan depremdir. başım mı dönüyor emin olamadım ama yılların deprem dedektörü olarak sallandığıma emin oldum.,zeplin7,20.12.2018 09:36,https://eksisozluk.com/entry/84575696
mudanya da siddetli hissedilmis ve uykudan uyandirmistir,larrylaurels,20.12.2018 09:37,https://eksisozluk.com/entry/84575710
korkutmuştur.,eretna,20.12.2018 09:37,https://eksisozluk.com/entry/84575711
mikailden mi bilgi alıp başlık açıyorsunuz anlamıyorum ki. 1 dakika bile olmadı gerçekleşeli.,bartemius crouch,20.12.2018 09:37,https://eksisozluk.com/entry/84575712
ümraniyede çok hafif sallandık. ofisin yarısı hissetti yarısı hissetmedi.,rightfulhelm,20.12.2018 09:37,https://eksisozluk.com/entry/84575718
çalıştığım yerin yan binasında koca koca tekstil makineleri olduğundan dolayı ben o kadar alıştım ki sarsılmaya artık deprem mi değil mi karar veremiyorum. ama baya sallamış anlaşılan.,bluebeach,20.12.2018 09:37,https://eksisozluk.com/entry/84575733
başlığı en önce açmak uğruna ölümü göze alabilecek yazar listesi yapmamı olanaklı kılmış depremdir. edit: kandilli'ye göre pek çok deprem var: tarih saat enlem(n) boylam(e) derinlik(km) md ml mw yer çözüm niteliği ---------- -------- -------- ------- ---------- ------------ -------------- -------------- 2018.12.20 11:01:54 40.6333 28.8890 12.8 -.- 1.8 -.- esenkoy-cınarcık (yalova) ilksel 2018.12.20 10:57:10 40.2980 30.4513 13.5 -.- 1.5 -.- derelı-golpazarı (bılecık) ilksel 2018.12.20 10:46:42 40.6282 28.9692 6.8 -.- 1.7 -.- esenkoy-cınarcık (yalova) ilksel 2018.12.20 10:30:27 40.5880 29.0093 3.2 -.- 1.6 -.- senkoy-cınarcık (yalova) ilksel 2018.12.20 10:28:34 40.5282 28.8647 3.4 -.- 1.2 -.- mecıdıye-armutlu (yalova) ilksel 2018.12.20 10:13:28 40.5818 29.0197 3.2 -.- 1.5 -.- senkoy-cınarcık (yalova) ilksel 2018.12.20 10:10:45 40.6118 28.9718 5.3 -.- 2.4 -.- esenkoy-cınarcık (yalova) ilksel 2018.12.20 09:50:26 40.5700 29.0183 12.1 -.- 1.9 -.- senkoy-cınarcık (yalova) ilksel 2018.12.20 09:47:25 40.5955 28.9648 5.3 -.- 2.3 2.2 esenkoy-cınarcık (yalova) ilksel 2018.12.20 09:34:24 40.6035 28.9715 5.4 -.- 4.5 4.4 esenkoy-cınarcık (yalova) ilksel,freudun hayaleti,20.12.2018 09:37 ~ 11:40,https://eksisozluk.com/entry/84575736
uyandırdı,forbici,20.12.2018 09:37 ~ 09:38,https://eksisozluk.com/entry/84575737
an itibari ile sefaköy tarafına doğru ilerleyen zelzele. buradan da geçti,bilgedenferrarialanadam,20.12.2018 09:37 ~ 09:38,https://eksisozluk.com/entry/84575740
sözlük haber ajansındaki hıza hayranım. sallanmışız dediler. baktım doğruymuş.,cerag,20.12.2018 09:37,https://eksisozluk.com/entry/84575741
çilekeş - yok dinliyordum son ses. kendimi kaptırdım sanıyorum. meğer deprem olmuş.,pottersville,20.12.2018 09:37,https://eksisozluk.com/entry/84575742
kozyatağı'ndan hissedilen depremdir.,ikitekeryedinota,20.12.2018 09:37,https://eksisozluk.com/entry/84575744
ofiste masayı sert sallamış depremdir. yer: davutpaşa,ilgisiz mahlukat,20.12.2018 09:37,https://eksisozluk.com/entry/84575747
cok cok hafif oldu lamba bile sallanmadi,ony,20.12.2018 09:37,https://eksisozluk.com/entry/84575749
hala sallanıyoruz ne ara başlık açıldı? tarzı sorulara cevap olarak 17 ağustos depremini uyanık olarak yaşayan biri olarak bir tecrübemi paylaşmak istiyorum. zira deprem her yerde aynı anda hissedilmediği bilgisini o zaman acı br şekilde örendim. güzel bir film izliyourum. baş rolünde michael madsen oynuyordu. filmden sonra saat 03 haberlerini izler yatarım diyordum ki evin ışıkları yumulup yumulup açılmaya başladı. böyle 20-30 saniye kadar devam etti. sonra avize sanki üstten aşağı birden bir kaç santim bırakılmış gibi inceden bir şırrrrr sesi çıkardı. sonrasında sağa sola sert ve uzun sallantılar oldu. aşşağı yukarı depremin 30. saniyesi ve sonra sı yerden çok büyük bir gürültü geldi. her neyse o elektiriğin gidip gelme sebebi yerin sanki su gibi dalgalanarak merkedzen dışarı doğru hareket etmesi. bu sebep ile depremi oldu yere daha yakın olanlar 30-40 saniye kadar önce hissederler.,tanju hawk,20.12.2018 09:37 ~ 09:56,https://eksisozluk.com/entry/84575753
"""fena salladı"" şurada hissedildi filan yazmayınca sikmiyorlar kardeşim. giriyoruz iki bilgi alalım diye, yine komiklikler şakalar. bravo en komik sizsiniz.",taratorr,20.12.2018 09:38,https://eksisozluk.com/entry/84575755
taş ocakları patlaması ile karıştırdığım fakat rasathane sitesine girince gördüğüm depremdir. panik atak durumuna sahip birisi için iki katı kötü.,fakat muzeyyen bu derin bir tu,20.12.2018 09:38,https://eksisozluk.com/entry/84575760
"yaklaşık iki dakika önce sandalyemi hafifçe oynatan, baş dönmesiyle karıştırdığım deprem. (bkz: birlikte iyi salladık )",aktar,20.12.2018 09:38 ~ 09:39,https://eksisozluk.com/entry/84575761
