Entry,User,EntryDates,EntryLinks
"su an olmakta olan. edit büdüt: canımı tehlikeye atmak pahasına, deprem olurken bu entry'i yazdığıma göre, bir kaç kelam edelim. beklenen büyük istanbul depremi bir gerçek arkadaşlar, eninde sonunda gerçekleşecek. yüzyıllar önce olan depremler incelendiğinde, istanbul'da büyük bir deprem olmadan önce her zaman marmara'nın güneyinde depremler olmuştur. yakın zamanda gerçekleşen ve bu paterne uyan bir deprem var elimizde; (bkz: 17 ağustos 1999 ) bu sebeple, deprem gerçeği ile yaşamayı kabul edip, depreme hazırlıklı olmalıyız. bunun da en basit yolu, depreme dayanıklı olan ve mümkünse yeni binalarda oturmak. neden yeni bina diyecek olursanız, ali ağaoğlu 'nun kendisi daha önce itiraf etmi- pardon cevaplamış; ""1970'li yıllarda istanbul'un anadolu yakasında yapılan yapıların büyük bir kısmına inşaat malzemesini ben sattım. kumları marmara denizi'nden demirleri hurdadan çektik. o zamanın şartlarında en iyi malzeme buydu. sadece biz değil tüm firmalar aynı şeyi yapıyordu."" http://www.hurriyet.com.tr/…rten-itiraflar-12313392",souffles,24.09.2019 11:00 ~ 12:05,https://eksisozluk.com/entry/95741016
bakırköy'de hissedilmiştir. oturduğum yerde gittim geldim. kandilli'nin sitesine göre sılıvrı acıkları-ıstanbul (marmara denızı) büyüklük 4.7 link silivri açıklarında yarım saat arayla meydana gelen ikinci deprem bu. ilki saat 10:30'da 3.1 büyüklüğünde olmuş. edit: 11:00'deki deprem haricinde 11 tane daha deprem meydana geldi; 2019.09.24 13:23:08 40.8755 28.2217 9.3 -.- 2.8 -.- sılıvrı acıkları-ıstanbul (marmara denızı) maps 2019.09.24 13:11:07 40.8888 28.2080 5.3 -.- 2.7 -.- marmara denızı ilksel maps 2019.09.24 12:59:17 40.8595 28.2680 8.0 -.- 2.0 -.- sılıvrı acıkları-ıstanbul (marmara denızı) ilksel maps 2019.09.24 12:43:56 41.2120 28.9097 0.0 -.- 0.7 -.- cıftalan-eyup (ıstanbul) ilksel maps 2019.09.24 12:16:45 40.8685 28.2495 17.9 -.- 2.0 -.- sılıvrı acıkları-ıstanbul (marmara denızı) ilksel maps 2019.09.24 12:04:08 40.8747 28.2213 14.8 -.- 1.9 -.- sılıvrı acıkları-ıstanbul (marmara denızı) ilksel 2019.09.24 12:00:57 40.8713 28.2515 14.9 -.- 2.0 -.- sılıvrı acıkları-ıstanbul (marmara denızı) ilksel 2019.09.24 11:57:22 40.8732 28.2280 11.8 -.- 3.4 3.1 sılıvrı acıkları-ıstanbul (marmara denızı) 2019.09.24 11:32:51 40.8573 28.2660 8.8 -.- 2.0 -.- sılıvrı acıkları-ıstanbul (marmara denızı) ilksel 2019.09.24 11:27:06 40.8648 28.2723 8.5 -.- 2.4 -.- sılıvrı acıkları-ıstanbul (marmara denızı) ilksel 2019.09.24 11:12:19 40.9180 28.3725 17.5 -.- 1.7 -.- marmara denızı ilksel,calgonun duzeltemedigi camasir makinasi,24.09.2019 11:01 ~ 14:15,https://eksisozluk.com/entry/95741021
wow iyi sallamıştır. rastgele bilgisel editi: barnum etkisi,fakirozgun,24.09.2019 11:01 ~ 11:24,https://eksisozluk.com/entry/95741022
üsküdar'da sallamıştır.,galove,24.09.2019 11:01 ~ 11:01,https://eksisozluk.com/entry/95741025
iki kere gümletti.,siktir et gitsin derim ben,24.09.2019 11:01,https://eksisozluk.com/entry/95741029
az önce fena sallamış olan deprem.,johannes gotunberk,24.09.2019 11:01,https://eksisozluk.com/entry/95741033
fena hissettirmiştir.,medeniyet,24.09.2019 11:01,https://eksisozluk.com/entry/95741034
an itibari ile olmustur ve sismik gotlu eksiciler hemen hissetmistir. silivri aciklarinda son gunlerde surekli olmaktadir ve bu gun yarim saat ara ile degeri artarak buyumustur. allah beterinden korusundur. konum: kucukcekmece edit: duzenleme,x1k,24.09.2019 11:01 ~ 11:17,https://eksisozluk.com/entry/95741035
felaket sallamıştır.,cekikgozlubiri,24.09.2019 11:01,https://eksisozluk.com/entry/95741038
"sandalyem bir an titredi ama anlamadım. ya uzakta oldu, ya az hissedildi. şimdiden geçmiş olsun",petrucci41,24.09.2019 11:01,https://eksisozluk.com/entry/95741039
sallandı. bahçelievler.,alt4y,24.09.2019 11:01,https://eksisozluk.com/entry/95741040
sanki bir sallandık gibi oldu. bakalım ne çıkacak,gereksiz hayaller,24.09.2019 11:01,https://eksisozluk.com/entry/95741042
salladı.,gurabba,24.09.2019 11:01,https://eksisozluk.com/entry/95741043
alttan alttan,ye ke ke kimon yeke yeke,24.09.2019 11:01,https://eksisozluk.com/entry/95741048
fena salladı,there are too many yobaz,24.09.2019 11:01,https://eksisozluk.com/entry/95741049
hala sallıyor..,ingilicceren,24.09.2019 11:01,https://eksisozluk.com/entry/95741050
fenaydı,applefanboy,24.09.2019 11:01,https://eksisozluk.com/entry/95741051
bi salladı bıraktı.,panayot papadopulos,24.09.2019 11:01,https://eksisozluk.com/entry/95741052
saniyelik olmuştur.,chris dorner,24.09.2019 11:01,https://eksisozluk.com/entry/95741055
az önce çok sağlam sallamış olan deprem.,cvdr95,24.09.2019 11:01,https://eksisozluk.com/entry/95741058
korkutmuştur.,corrado18,24.09.2019 11:01,https://eksisozluk.com/entry/95741059
yaa bu neydi şimdi? edit: anksiyetemi tavan yaptıran depremdir.,angelozi,24.09.2019 11:01 ~ 15:52,https://eksisozluk.com/entry/95741060
"fena sallayan depremdir, başlığı saniyesinde açılmıştır. 5 dakikada 25 sayfa entry girilmiş. ben yazarken sadece 5-6 entry vardı gönderene kadar 3 sayfa olmuş oha.",neden ben de yazar olmayayim,24.09.2019 11:01 ~ 11:07,https://eksisozluk.com/entry/95741062
sallandık,lacreitos,24.09.2019 11:01,https://eksisozluk.com/entry/95741064
ikitelli'de de hissedilmiştir.,megabyte,24.09.2019 11:01,https://eksisozluk.com/entry/95741065
an itibari ile kurtköyde fena sallamıştır.,kraldan cok kralci,24.09.2019 11:01,https://eksisozluk.com/entry/95741066
yumruk yemiş gibi salladı. bir anda çok şiddetli.,searos,24.09.2019 11:01,https://eksisozluk.com/entry/95741067
hahaha evet hissettim,aklimagelmiy,24.09.2019 11:01,https://eksisozluk.com/entry/95741068
4 kez sağa sola salladı konum silivri. prof.dr. mehmet sinam özeren’in ntv’de yaptığı açıklamalarıyla fayın yerinin endişe verici olduğunu söyledi.,athelstankestane,24.09.2019 11:01 ~ 11:58,https://eksisozluk.com/entry/95741069
tam şuan hissettiğim deprem (bkz: avcılar ),astorshia,24.09.2019 11:01 ~ 11:02,https://eksisozluk.com/entry/95741072
sıçırttı.,eski solcu,24.09.2019 11:01,https://eksisozluk.com/entry/95741073
iyi salladı.,accexx,24.09.2019 11:01,https://eksisozluk.com/entry/95741075
