Entry,User,EntryDates,EntryLinks
kurtköyü hafif sallamıştır. devamını okuyayım editi: konuyla ilgili bilgilenmek için lütfen (bkz: #27683473 ) son bilgi gelmiştir (kandilli): 2016.06.25 08:40:11 40.7032 29.2147 6.8 -.- 4.4 -.- yalova acıkları (marmara denızı) ilksel (bkz: #61359059 ) yalovadaki arkadaşlar için geçmiş olsun. başlığın aslı için: (bkz: 25 haziran 2016 yalova depremi ) istanbul'dan da hissedilmiştir. ek not: sanırım 15 dakika önce kırılan şu fay kırılmaya devam etmiştir (kaynak kandilli): 2016.06.25 08:30:52 40.7100 29.2000 9.0 -.- 3.0 -.- marmara denızı (dogu) revıze03 (2016.06.25 08:30:52) edit: başlık (bkz: 25 haziran 2016 istanbul depremi )başlığından taşınmıştır. son edit: saat 01:10 itibari ile hat kırılmaya devam etmektedir. bugünkü hareketlilik şu şekilde: 2016.06.25 08:30:52 40.7100 29.2000 9.0 -.- 3.0 -.- marmara denızı (dogu) revıze04 (2016.06.25 08:30:52) 2016.06.25 08:40:11 40.7032 29.2147 6.8 -.- 4.4 -.- yalova acıkları (marmara denızı) ilksel 2016.06.25 20:10:09 40.7048 29.2225 5.9 -.- 2.2 -.- yalova acıkları (marmara denızı) ilksel 2016.06.25 23:30:25 40.7067 29.2177 5.3 -.- 3.2 3.3 yalova acıkları (marmara denızı) revıze01 (2016.06.25 23:30:25) 2016.06.25 23:46:38 40.7165 29.2215 10.3 -.- 2.4 -.- yalova acıkları (marmara denızı) ilksel harita: https://drive.google.com/…t6pwufm8yhlva&usp=sharing hakkımızda hayırlısı,h a y,25.06.2016 08:41 ~ 26.06.2016 01:28,https://eksisozluk.com/entry/61358780
biraz önce gerçekleşmiştir. tırstırdı. edit: istanbul.,siir okuyan cocugun sakiz olmus tukurugu,25.06.2016 08:41 ~ 08:41,https://eksisozluk.com/entry/61358781
"az once oldu edit: el ayaga karistigindan baslik yanlis oldu, modlarin dikkatine edit2: kartal sahilde beni sandalyeden dusurecekti neredeyse",attacante,25.06.2016 08:41 ~ 13:05,https://eksisozluk.com/entry/61358782
az önce olmustur. maltepe'de gayet siddetli hissedilmistir. ödü boka karıştırmıştır.,kocgiri,25.06.2016 08:41 ~ 08:55,https://eksisozluk.com/entry/61358785
bir anda ne olduğunu anlamadan yoklayıp geçmiş olan deprem.,yemekseverkisi,25.06.2016 08:41,https://eksisozluk.com/entry/61358789
ataşehir de hafiften hoplatmıştır,uc bucuktan dort,25.06.2016 08:41,https://eksisozluk.com/entry/61358790
istanbul kağıthane'de hissedilmistir. bir saat önce marmara'da 3.0 büyüklüğünde başka bir deprem daha olmuş: http://depremizle.com/…3-25.06.2016-marmara-denizi- (-dogu- edit: 4.4 büyüklüğündedir: http://depremizle.com/…ara-denizi-)----------?lksel,tolginho,25.06.2016 08:41 ~ 08:51,https://eksisozluk.com/entry/61358791
pendik kurtkoyu de sallamistir.,b w n s p,25.06.2016 08:41,https://eksisozluk.com/entry/61358793
iyi salladı uykudan uyandırdı,elarabasinisatanbilge,25.06.2016 08:41,https://eksisozluk.com/entry/61358795
bir kere sallamış kısacık depremdir. ben ataköy'de öyle hissettim ama galiba şu an ayaklarım tutmuyor.,gri balikcil,25.06.2016 08:41 ~ 08:43,https://eksisozluk.com/entry/61358799
sislide uyandirmistir.,mali mubasir,25.06.2016 08:42,https://eksisozluk.com/entry/61358800
yine sallandik.,molekulernesne,25.06.2016 08:42,https://eksisozluk.com/entry/61358801
titretmiştir. bu arada bu ne başlık hızı arkadaş.,filipis,25.06.2016 08:42,https://eksisozluk.com/entry/61358802
atasehir'i iyi salladi. uykudan uyandirdi.,fakyoras,25.06.2016 08:42,https://eksisozluk.com/entry/61358804
90 sene sonra olması beklenmektedir... edit: başlık taşınınca anlamı kalmayan giri. taşınmadan önceki hali: (bkz: 25 haziran 2106 istanbul depremi ),h a y,25.06.2016 08:42 ~ 12:31,https://eksisozluk.com/entry/61358805
maltepe'de uykudan fırlatmıştır.,jetpacks was yes,25.06.2016 08:42,https://eksisozluk.com/entry/61358808
99 depreminden sonra ilk kez net bir şekilde bir depremi hissettim. sakin olalım.,abdnkckylvc,25.06.2016 08:42,https://eksisozluk.com/entry/61358809
modada pis salladı.,kiri,25.06.2016 08:42,https://eksisozluk.com/entry/61358810
ölü gibi uyuyan beni bile uyandırmıştır.,mutlubulutlar,25.06.2016 08:42,https://eksisozluk.com/entry/61358813
yalova'da beşik gibi sallamistir. allahım sen koru yarabbim,jcarmelita,25.06.2016 08:42,https://eksisozluk.com/entry/61358814
sariyer tarafinda bir saniye iyi vurup gecmistir.,vakit geldi,25.06.2016 08:42 ~ 08:46,https://eksisozluk.com/entry/61358815
3-4 saniye boyunca sallayan deprem. tahminim 4.4 marmara denizi.,ebeninamialisami,25.06.2016 08:42,https://eksisozluk.com/entry/61358818
90 senesi vardır.,cenk22,25.06.2016 08:42,https://eksisozluk.com/entry/61358822
"bu sefer cidden kötü sallamıştır. öyle ki, annemi çığlık attırmıştır. edit: kandilli marmara denizinde ve 3.0 büyüklüğünde olduğunu söylüyor. biz daha büyük hissettik halbusi.",le wild girl appears,25.06.2016 08:42 ~ 08:44,https://eksisozluk.com/entry/61358823
2 saniye sallamıştır. ama iyi sallamıştır.,old fashion,25.06.2016 08:42,https://eksisozluk.com/entry/61358824
üsküdar'da güzel hissedilmiştir. arka arkaya olan bu depremler acaba büyüğünün habercisi mi diye düşündürmektedir.,winston smith bizi gozetliyor,25.06.2016 08:42,https://eksisozluk.com/entry/61358825
yalovadan da hissedilmistir. sağlam salladı.,tombul salam,25.06.2016 08:42,https://eksisozluk.com/entry/61358827
fulya'da yatağı beşik gibi sallamıştır.,sektersengetsen,25.06.2016 08:43,https://eksisozluk.com/entry/61358831
"pendik'te hissedildi, hangi fay kırıldı olm halkalı'dan pendik'e her yerde hissedilmiş",upsskirt,25.06.2016 08:43 ~ 08:44,https://eksisozluk.com/entry/61358837
2 sn felan surdu. yokladi resmen,yzaydn,25.06.2016 08:43,https://eksisozluk.com/entry/61358838
beşiktaş ı da bi sallamıştır.,crazy player,25.06.2016 08:43,https://eksisozluk.com/entry/61358839
"tam misafir kaldıgım evde, daha da kimse kalkmadı diye salak salak yatak keyfi yaparken, deprem olsa naparım diye icimden geçirdigimde olmuştur, yatağı iyi sallamıştır. düşünceme sıçayım.",marianne faithfull,25.06.2016 08:43,https://eksisozluk.com/entry/61358840
