Entry,User,EntryDates,EntryLinks
"hala sallanıyoruz. edit: https://twitter.com/…tatus/1088896042127507457?s=21 menemen-ızmır 25.01.2019, 23:20:34 tsi büyüklük: 4.3 derinlik: 16.2 km #kandilli edit2: https://twitter.com/…tatus/1088898057796837379?s=21 #deprem revize yahsellı-menemen (ızmır) 25.01.2019, 23:20:34 tsi büyüklük: 4.5, derinlik: 15.0 km @2 rasathaneden doğru bilmiş tebrikler :)",emrekrkrt,25.01.2019 23:21 ~ 23:40,https://eksisozluk.com/entry/85937127
urla'da hissedilendir,nescafe3in1,25.01.2019 23:21,https://eksisozluk.com/entry/85937137
4.5 şiddetinde götüm sallandı.,alucardot,25.01.2019 23:21,https://eksisozluk.com/entry/85937139
fena salladı. 10 saniye kadar sürdü. lokasyon: üçyol,burakberdem,25.01.2019 23:21 ~ 23:23,https://eksisozluk.com/entry/85937142
manisa’yı sallayan deprem,heheevetevet,25.01.2019 23:21,https://eksisozluk.com/entry/85937143
iyi vurmuştur.,kamajikaciya,25.01.2019 23:21,https://eksisozluk.com/entry/85937164
an itibariyle gerçekleşen deprem.,i am not noob,25.01.2019 23:21,https://eksisozluk.com/entry/85937165
aan itibariyle 15 saniye süreyle 4 şiddetinde sallamış deprem. korkuttu.,minnoklokumcuk,25.01.2019 23:21,https://eksisozluk.com/entry/85937176
güzelyalıdan hissedilendir,donizzet,25.01.2019 23:21,https://eksisozluk.com/entry/85937179
salladı az,solskjaer,25.01.2019 23:21,https://eksisozluk.com/entry/85937180
salladı. baya iyi gibiydi. aheste aheste salladı.,shimmyshimmyshimmy,25.01.2019 23:21,https://eksisozluk.com/entry/85937182
yerimden zıpladım nasıl bir sallanmaktır,ulumeo,25.01.2019 23:21,https://eksisozluk.com/entry/85937185
alttan vurdu bornova,mllm,25.01.2019 23:21,https://eksisozluk.com/entry/85937186
fena salladı,wakiza,25.01.2019 23:21,https://eksisozluk.com/entry/85937189
alttan alttan iyi salladı.,mystyc,25.01.2019 23:21,https://eksisozluk.com/entry/85937204
"bornova'da birkaç saniye sallamıştır. tahmini 3.9 gibi. edit: gök gürlemesi, yıldırım, deprem, şiddetli yağmur nerde yaşıyoruz mordor'da mı?",sg510x,25.01.2019 23:21 ~ 23:24,https://eksisozluk.com/entry/85937206
sağlam vurmuştur az önce. hayatımda gördüğüm en gürültülü depremdi amk elim ayağım titriyor halen. edit: menemen 4.4 şiddeti. bu kadar gürültülü ve şiddetli hissetmemizin sebebi götümüzün dibinde olmasıymış. koca kure çiğli'den bildirdi.,koca kure,25.01.2019 23:21 ~ 23:49,https://eksisozluk.com/entry/85937208
an itibariyle 15 saniye süreyle 4 şiddetinde sallamış deprem. korkuttu.,minnoklokumcuk,25.01.2019 23:21,https://eksisozluk.com/entry/85937209
deprem anında başlığı açılan deprem. edit: ben yazana kadar 18 entry yazılmış bile. hep bu anı mı bekliyoruz nedirasdfgj,dahianlamindakideayriyazilir,25.01.2019 23:21 ~ 23:23,https://eksisozluk.com/entry/85937210
aniden vurdu.,izmirlibambam,25.01.2019 23:21,https://eksisozluk.com/entry/85937212
çok fena salladı korktuk. edit: 4.3 gölmarmara(manisa),hicbirisi,25.01.2019 23:21 ~ 23:49,https://eksisozluk.com/entry/85937213
daha depremden once baslik acmaya calisip yetisemedigim depremdir. guzel sallamistir.,ascabo,25.01.2019 23:21 ~ 23:23,https://eksisozluk.com/entry/85937214
az ama güzel salladı. not: mavisehir/karşıyaka,brovito,25.01.2019 23:21 ~ 26.01.2019 09:18,https://eksisozluk.com/entry/85937215
hissettiğim depremdir. hafiften yokladı sanki.,false pretension,25.01.2019 23:21,https://eksisozluk.com/entry/85937217
8-10 saniye sağlam sallayan depremdir.,yenilenpehlivan,25.01.2019 23:22,https://eksisozluk.com/entry/85937220
dehşet sallayandır. valla yağmur yağmasa dışarı kaçacağız şimdi. dışarsı da nuh tufanı gibi.,andromeda galaxy,25.01.2019 23:22 ~ 23:22,https://eksisozluk.com/entry/85937221
balcova'da dolaplari konusturmustur.,kolombre,25.01.2019 23:22,https://eksisozluk.com/entry/85937222
hassas yerinde sismograf olanların şehridir izmir. tebrikler bro.,melancohly,25.01.2019 23:22,https://eksisozluk.com/entry/85937223
saglam salladı. beş siddetinden fazladır. edit: bu aralar resmen doğal afetlerler sınanıyoruz. sen koru.,ay dios mio,25.01.2019 23:22 ~ 23:36,https://eksisozluk.com/entry/85937226
az önce sallandık biz de karşıyaka'da.,psychosys,25.01.2019 23:22,https://eksisozluk.com/entry/85937229
karsiyakayi hayvanca sarsti. once uzun uzun ses duydum sonra vurdu gecti. guney-batı yonlu vurdu sanki.,beeyore,25.01.2019 23:22 ~ 23:29,https://eksisozluk.com/entry/85937230
karşıyaka yeni girne'de baya uzun sallamıştır. edit: 4.0'dan aşağı olduğunu sanmıyorum. vurdu vurdu salladı. artçısı da oldu.,29 mayis 1453 gunu hasta olan yeniceri,25.01.2019 23:22 ~ 23:27,https://eksisozluk.com/entry/85937232
sağlam vurmuştur,acad r12 for dos,25.01.2019 23:22,https://eksisozluk.com/entry/85937233
olum biz canımızın derdindeyken siz başlık derdindemisiniz lan. derlerdi de inanmazdim kıçından kandilli rasathaneliler sizi. aynı zamanda çaresizce gülüyorum. sinirim bozuldu amk. bu ne cenabet bir akşam.disarda yer yarılacak neredeyse yarında mesai var. bizim şirket durmak yok yola devam modunda.,lakayitciddi,25.01.2019 23:22 ~ 23:34,https://eksisozluk.com/entry/85937236
"4,4 menemen.. salonda uyuyakalmıştım. uyandırdı.",core i,25.01.2019 23:22 ~ 23:27,https://eksisozluk.com/entry/85937237
efsane depremdi.,korteksimtendonlarimabaglandi,25.01.2019 23:22,https://eksisozluk.com/entry/85937246
bornova’da da bir miktar sallandık.,gokten dusen elmanin icindeki kurt,25.01.2019 23:22,https://eksisozluk.com/entry/85937247
ama iyi sallayan depremdi,corelandor,25.01.2019 23:22,https://eksisozluk.com/entry/85937249
durdu sanırım. önce alttan vurdu.,asidi kocaya kacan kola baba,25.01.2019 23:22,https://eksisozluk.com/entry/85937254
az önce esentepeden çok şiddetli hissedildi.,legolasingozleri,25.01.2019 23:22 ~ 23:30,https://eksisozluk.com/entry/85937255
"aliağada da hissedilmiş ve 3,5 attırmış deprem. başlığı ne çabuk açtın allahsız...",frapan geyik,25.01.2019 23:22,https://eksisozluk.com/entry/85937258
"3, 4 saniye de tansiyon fırlattı başlığı açan titrerken klavyeye nasıl bastın",how i met cimilli iboo,25.01.2019 23:22 ~ 23:24,https://eksisozluk.com/entry/85937259
bakalim kacinci sayfada olacak mesajım. suserleri korkutan depremdir. edit : 1 dk içinde 3. aayfada buldum kendimi.,ungamunga,25.01.2019 23:22 ~ 23:24,https://eksisozluk.com/entry/85937262
ulan hangi ara yazısınız daha yeni salladı aq,manyak ananas,25.01.2019 23:22,https://eksisozluk.com/entry/85937263
(bkz: sismik götler oratoryosu ),habarbey,25.01.2019 23:22,https://eksisozluk.com/entry/85937268
tek vuruş ama çok sağlamdı. not: 16. kat,il monstro,25.01.2019 23:22,https://eksisozluk.com/entry/85937283
korkuttu,code complete,25.01.2019 23:22,https://eksisozluk.com/entry/85937284
çok sağlam sallamıştır. ben hissettiğime göre en az 6.0 şiddetinde olması muhtemel.,rahatina duskun adam,25.01.2019 23:22 ~ 23:23,https://eksisozluk.com/entry/85937290
cok ciddi salladi gercekten.,la celestina,25.01.2019 23:22,https://eksisozluk.com/entry/85937293
