Entry,User,EntryDates,EntryLinks
istanbul bahcelievlerden hissettim sanki pek izmir depremi gibi degil.,neredennereye,06.02.2017 06:54,https://eksisozluk.com/entry/66113387
çanakkalede epey hissedilmiştir,etorfin,06.02.2017 06:54,https://eksisozluk.com/entry/66113388
misil misil uyuyodum amk bu ne yaa,tafforeau,06.02.2017 06:54,https://eksisozluk.com/entry/66113391
tam 06.52'de çanakkale merkezden de fena hissedilmiştir. ne oluyo a.q. dedim.,grumman,06.02.2017 06:54,https://eksisozluk.com/entry/66113395
bursa'da da hissedilmiştir.,ozenti filozof,06.02.2017 06:55,https://eksisozluk.com/entry/66113399
balikesir edremit'ten de epey hissedilmistir.,katil koyun,06.02.2017 06:55,https://eksisozluk.com/entry/66113400
birkaç saniye önce çok kısa süreli gerçekleşen ve hafif hafif bir beşik sallanması biçiminde kendini hissettiren deprem. sıkıntı. yer: güzelyalı 5.3'müş-ege denizi merkezli,minnoklokumcuk,06.02.2017 06:55 ~ 06:59,https://eksisozluk.com/entry/66113401
bursa'da ölü gibi uyuyan bünyeyi uyandırabilen depremdir. aklım gitti.,s d o,06.02.2017 06:55,https://eksisozluk.com/entry/66113402
edirnede de hissedilmiştir.,mishamoshi,06.02.2017 06:55,https://eksisozluk.com/entry/66113409
bornova'dan da hissedilmiştir. kısa da sürmedi sanki?,calba,06.02.2017 06:55,https://eksisozluk.com/entry/66113411
"izmir, canakkale, bursa, istanbul hissetmis. allah korusun.",the mexican,06.02.2017 06:55,https://eksisozluk.com/entry/66113412
alarmdan önce uyandırmıştır.,mew,06.02.2017 06:55,https://eksisozluk.com/entry/66113413
kirklareli'nde hissedilmistir,pureottomanmetal,06.02.2017 06:55,https://eksisozluk.com/entry/66113414
"çanakkale'den acayip hissedilmiş, beşik gibi sallamıştır. düşünün ki uykumdan uyandırdı.",amator king,06.02.2017 06:56,https://eksisozluk.com/entry/66113420
balıkesir'de ufak bir sallantı yaratan deprem.,olmadi yar,06.02.2017 06:56,https://eksisozluk.com/entry/66113421
istanbul'u da sallamıştır..,black eyed witch,06.02.2017 06:56,https://eksisozluk.com/entry/66113422
izmir mi? tekirdağ'da uykumdan uyandıran deprem oldu.,beatitude,06.02.2017 06:56,https://eksisozluk.com/entry/66113424
izmirde olduğuna emin miyiz dedirtendir. zira yatağım bir 3310 titreşimi yaşadı aynı anlarda.,le wild girl appears,06.02.2017 06:56,https://eksisozluk.com/entry/66113425
"tekirdağ'da da gerçekleşmiş yatağı biri almış eline de savuruyor kadar hissettirmiş deprem. çok korkunçtu lan. cinler musallat oldu sandım amk. o değil de heyecanla annemi kaldırdım, anne deprem oluyo galiba kalk diye. baktı avizeye ""he oluyo"" dedi. e napalım çıkalım mı dışarı dedim telaşla. ""çıkıp da napcan otur"" dedi oturdum ben de. ne güzel ilk hissettiğim depremdeki aksiyon da harikaydı yani!",pinokyo burnu,06.02.2017 06:56 ~ 07:05,https://eksisozluk.com/entry/66113427
"az evvel tekirdağ merkezde de hissedilir biçimde yaşanmıştır, avize falan sallandı.",serkes limanlar,06.02.2017 06:56,https://eksisozluk.com/entry/66113428
istanbul fatih'te yattığım yerden hissettiğm deprem. uzaktan da olsa kendini hatırlattı.,beklesek de ecelleriyle mi olseler,06.02.2017 06:56,https://eksisozluk.com/entry/66113429
"izmir değil ege denizi açıkları, ayvacık depremidir. 5.3 şiddetinde olmuştur. http://www.koeri.boun.edu.tr/scripts/lst8.asp deprem olur olmaz hissedilen ilk büyük şehirden xxx bilmene tarihli deprem diye başlık açılması bitsin artık. hem yanıltıyor hem de can sıkıyor.",laureux,06.02.2017 06:56,https://eksisozluk.com/entry/66113430
"tekirdağ 'da da hissedilmiş, alarmdan önce uyandırmıştır. sana da slm pazartesi.",hep7a,06.02.2017 06:57,https://eksisozluk.com/entry/66113432
bornova'da hissedilmiştir. 5. kattayım güzel sallandım. uzun da sürdü.,katil bezelye,06.02.2017 06:57,https://eksisozluk.com/entry/66113433
"bursadan hissedildi. uykumdan zıplayarak uyandım. şiddeti 5.3, ayvacıknaçıklarında olmuş.",lcnktrp,06.02.2017 06:57,https://eksisozluk.com/entry/66113434
izmir/güzelyalı'dan sağlam hissedilmiştir.,asyamaris,06.02.2017 06:57,https://eksisozluk.com/entry/66113438
hala devam eden artcilari su an evi sallamaktadir,sunbred,06.02.2017 06:57 ~ 06:58,https://eksisozluk.com/entry/66113439
"ıstanbul'da zerre hissetmedigim deprem. bakirkoy, 6.kat",only alcoholica,06.02.2017 06:57 ~ 06:58,https://eksisozluk.com/entry/66113440
"tam köpeğimin her zamanki öküz gibi kaşınmalarına benzer şekilde sallanınca ""sigit lan uykudan uyandırdın"" diye tekmeyi basacakken günahını aldığımı farkettiğim deprem. 7. katta iyi uyandırmıştır.",msc,06.02.2017 06:57,https://eksisozluk.com/entry/66113441
çanakkale baya sallandı ya.,thefunkyhomosapien,06.02.2017 06:58,https://eksisozluk.com/entry/66113443
"olm nası izmir lan istanbul'da sicirtti. yalnız tam alarmla oynuyodum he biraz daha erteliyim diye, tekrar bildim ki en baba alarm göt korkusuymus. uyu hadi şimdi.",aksi kanitlanmadikca cocuktur,06.02.2017 06:58,https://eksisozluk.com/entry/66113445
bornovada uyanık olduğum halde hissetmedim,fullmoon,06.02.2017 06:58,https://eksisozluk.com/entry/66113446
antalya'da bir bok olmamıştır.,cok zekiyim,06.02.2017 06:58,https://eksisozluk.com/entry/66113450
5.3 ege denizi bilgisi kandilli rasathanesi sitesinde var. geçmiş olsun.,yok ol,06.02.2017 06:58,https://eksisozluk.com/entry/66113451
