Entry,User,EntryDates,EntryLinks
hala sallıyor..,otopsicocugu,07.06.2012 23:55,https://eksisozluk.com/entry/28896495
baya sallandık an itibariyle.,exitus,07.06.2012 23:55,https://eksisozluk.com/entry/28896502
hala sallıyor bitmedi mübarek! edit: lan eskiden kapıya pencereye kaçardık teknolojinin insanları soktuğu hale bakar mısınız? işte belgeler !,zibidigibi,07.06.2012 23:56 ~ 08.06.2012 00:10,https://eksisozluk.com/entry/28896511
cok fena salliyor fulyayi,remember remember the fifth of november,07.06.2012 23:56,https://eksisozluk.com/entry/28896512
baya baya sallandı kurtköy.,pez,07.06.2012 23:56,https://eksisozluk.com/entry/28896517
"an itibariyle ürkütendir, allah  beterinden saklasın",eazydick,07.06.2012 23:56,https://eksisozluk.com/entry/28896519
gayrettepe'de lamba ve yer sallandı,dreamer,07.06.2012 23:56,https://eksisozluk.com/entry/28896523
biraz sallandik ama ne oldugunu tam anlayamadim esentepe'den.,yoda,07.06.2012 23:56,https://eksisozluk.com/entry/28896524
taksimde bingil bingil oynatmistir.,lgofkronos,07.06.2012 23:56,https://eksisozluk.com/entry/28896527
gebzeden hissedilmistir,unusuall,07.06.2012 23:57,https://eksisozluk.com/entry/28896533
"boş anıma mı geldi nedir, feci korkutmuştur...",heecnormal,07.06.2012 23:57,https://eksisozluk.com/entry/28896534
monitörümün sallanmasıyla noluyoruz laa diyerek kendime getirmiştir. tzameti bakırköy'den bildirdi.,tzameti,07.06.2012 23:57,https://eksisozluk.com/entry/28896537
yaklasik bi bes saniye boyunca salladi. gecmis olsun.,risko,07.06.2012 23:57,https://eksisozluk.com/entry/28896539
bahçelievler'de de usul usul sallamıştır.,cok yanlis bi tercih,07.06.2012 23:57,https://eksisozluk.com/entry/28896541
çatalca'yı 10-15 saniye sallamıştır.,mevcut57,07.06.2012 23:58,https://eksisozluk.com/entry/28896543
"merkezi istanbul mudur bilemem, ancak uzun zamandır ilk defa bu kadar sallayan depremdir.",skybreak,07.06.2012 23:58,https://eksisozluk.com/entry/28896545
"5-6 saniye sürmüştür, tatlı tatlı sallamıştır",fizico,07.06.2012 23:58,https://eksisozluk.com/entry/28896546
balıkesirden de hissedilmiştir..,bluevlinder,07.06.2012 23:58,https://eksisozluk.com/entry/28896553
çanakkale'den bildiğin 5'lik deprem gibi hissedildi.,becerenberk,07.06.2012 23:58,https://eksisozluk.com/entry/28896559
tekirdağ da hissedilmiş yunanistan olabilir,karoyedili,07.06.2012 23:58,https://eksisozluk.com/entry/28896561
ürküttü gece gece baya.,sohan,07.06.2012 23:59,https://eksisozluk.com/entry/28896562
bağcılar'da ninni söyler gibi gelmiştir.,de beers,07.06.2012 23:59,https://eksisozluk.com/entry/28896563
tahminimce merkez üssü kütahya olmayandır.,ayem dygs,07.06.2012 23:59,https://eksisozluk.com/entry/28896565
"beşiktaş, abbasağa da zerre hissedilmemiş, sikimizde olmamıştır..",vital,07.06.2012 23:59,https://eksisozluk.com/entry/28896566
bahçelievlerde baya bi hissetmiştir. deprem mi oluyor lan dedikten bi 10 sn sonra bile devam etti diyebilirim.,metehan01,07.06.2012 23:59,https://eksisozluk.com/entry/28896571
töbe estaf. şişli'den de hissedilmiştir!,shelobayuvaarayanhayvansever,07.06.2012 23:59,https://eksisozluk.com/entry/28896572
internet bağlantımın gecikmesi yüksek olduğu için hala hissedemediğim deprem. millet entry'ler düzmüş be. lanet olsun ttnet! ek: şaka maka cidden hissetmedim lan ne kadar ayıyım.,unownt,07.06.2012 23:59 ~ 08.06.2012 00:10,https://eksisozluk.com/entry/28896577
edirne de hoplatan depremdir,popomlaoynuom,07.06.2012 23:59,https://eksisozluk.com/entry/28896578
madonna'nın suçudur.,under rug swept,07.06.2012 23:59,https://eksisozluk.com/entry/28896580
içtiğim 2. biranın kafa yaptığını zannettiğim hadisedir.,eksibir,08.06.2012 00:00,https://eksisozluk.com/entry/28896582
"maslakta ranzayı sallamış, oda arkadaşı sanılmıştır. ürktüm. -meleba bu benim oda arkadaşım deprem. o değil de yine deprem başlamadan başlık açılmış. marşmelov adına biri nasıl olduğunu anlatsın.",pshasha,08.06.2012 00:00 ~ 00:13,https://eksisozluk.com/entry/28896583
uzun sürdü sanki. beyler :( edit: tek yazdığım depremin süresiyle alakalı. uzun sürdü gibi geldi. kötüleyecek ne buldunuz anlamak mümkün değil. beyinsiz sürüsü!,bnrak,08.06.2012 00:00 ~ 10:36,https://eksisozluk.com/entry/28896589
silivriden de hissedilmiştir. kimseyi inandıramıyorum. iyi ki varsın sözlük.,corcolos,08.06.2012 00:00,https://eksisozluk.com/entry/28896592
gayrettepe'de alttan alttan vurarak hissettirdi kendisini...,akinlardacocuklargibisenolanbininciatli,08.06.2012 00:00,https://eksisozluk.com/entry/28896593
küçükyalı'yı beşik gibi sallamıştır.,canon in d,08.06.2012 00:00,https://eksisozluk.com/entry/28896594
sarıyeri de hafiften sallamıştır.,overrated,08.06.2012 00:00,https://eksisozluk.com/entry/28896596
uykuya dalmak üzereyken zıplatmıştır.,kutulu,08.06.2012 00:00,https://eksisozluk.com/entry/28896598
çorlu'da titreten yer hareketi.,alpermete,08.06.2012 00:00,https://eksisozluk.com/entry/28896600
çorlu da nasibini almıştır.,writeitright,08.06.2012 00:00,https://eksisozluk.com/entry/28896601
