Entry,User,EntryDates,EntryLinks
"konak eşrefpaşayı feci sallamıştır. ısrar üzerine edit: ilk vurduğunda elektrik, internet gitmediyse izmir'de yıkıcı deprem meprem olmaz akideş. başlığı açtım, radamel falcao garcia başlığını okumaya devam ettim. gel gari insafsız.",turkeytoeu,08.08.2019 11:39 ~ 13:24,https://eksisozluk.com/entry/93656809
"şu an olandır. (bkz: sözlükcülerin en eften püften başarıları ) not:deprem olurken sallana sallana entry girmek de ayrı zevkmiş. not2:ekşi sözlük sismik göt ağı gururla sundu, bir sonraki depremde görüşmek üzere.",monsterball,08.08.2019 11:39 ~ 13:04,https://eksisozluk.com/entry/93656812
şu anda olmakta olan depremdir.,muhabbet 35,08.08.2019 11:39,https://eksisozluk.com/entry/93656816
sallandık,krofosyonel,08.08.2019 11:40,https://eksisozluk.com/entry/93656821
aniden vurdu.,izmirlibambam,08.08.2019 11:40,https://eksisozluk.com/entry/93656822
(bkz: plakalar ağır vergiler altında eziliyordu ) ooff off salladı çok fena. sismik götüme göre 4.2 şiddetinde. edit: adam özelden kaynak sormuş ya...kaynak götüm. edit2: resmi kaynaklara göre 4.8 şiddetindeymiş . merkez üssü seferihisar yakınları.,excelsior was here,08.08.2019 11:40 ~ 11:57,https://eksisozluk.com/entry/93656827
"oooo etkileyiciydi. bu arada dünyanın en rahat kedisiyle yaşıyorum sanırım, şöyle bir kafasını kaldırıp bakındı ve yatmaya devam etti. iyice bana benzedi amk tanım; karşıyaka’dan gayet net hissedilen depremdir.",mcmlxxix,08.08.2019 11:40 ~ 11:52,https://eksisozluk.com/entry/93656831
güzelce sallamış deprem. ürküttü.,minnoklokumcuk,08.08.2019 11:40,https://eksisozluk.com/entry/93656832
urla'da deli gibi hissedilendir,nescafe3in1,08.08.2019 11:40,https://eksisozluk.com/entry/93656833
feci sallandık! edüt: nokta atışı yer haritası -> https://pasteboard.co/irixmv3.jpg,strobist,08.08.2019 11:40 ~ 13:01,https://eksisozluk.com/entry/93656838
daha devam ediyo mk. edit: deprem olduğu anda sözlükte başlık açılmış ve 14 tane entry girilmişti bile. bu nasıl hız kardeşim.,harun123456,08.08.2019 11:40 ~ 11:48,https://eksisozluk.com/entry/93656846
buca'da hissedilen deprem.,orangutmayan,08.08.2019 11:40,https://eksisozluk.com/entry/93656847
ulan ne ara yazdınız,wehatelovewelovebeer,08.08.2019 11:40,https://eksisozluk.com/entry/93656851
fena sallamıştır,paraustunualmayanadam,08.08.2019 11:40,https://eksisozluk.com/entry/93656852
fena vurdu.,naletolsun,08.08.2019 11:40,https://eksisozluk.com/entry/93656853
öyle böyle sallamamıştır.,hayatin olagan akisi,08.08.2019 11:40,https://eksisozluk.com/entry/93656857
halen sallanıyorum aq. yer: kuşadası,turkiyeden bikan pilot,08.08.2019 11:40,https://eksisozluk.com/entry/93656860
acayip salladı pasaportta,bluesponge,08.08.2019 11:40,https://eksisozluk.com/entry/93656861
gaziemir’de fena salladı.,fakir ama mutlu,08.08.2019 11:40,https://eksisozluk.com/entry/93656864
cigli 10 saniye kadar sallandık.,ozelsektormen,08.08.2019 11:40,https://eksisozluk.com/entry/93656869
daha çok earth tremor denebilir. alttan vurdu şimdi.,de payens,08.08.2019 11:40,https://eksisozluk.com/entry/93656870
"fena vurmuştur 4,8 tahmini",dinimiz berghain amin,08.08.2019 11:40,https://eksisozluk.com/entry/93656876
çok kötü sallandık. 4.3 foça tahminim.,pistonasagi,08.08.2019 11:40 ~ 11:42,https://eksisozluk.com/entry/93656880
saniyeler önce hepimizi yerinden fırlattı zor zamanlar zor günler.,hakikat yolcusu,08.08.2019 11:40,https://eksisozluk.com/entry/93656881
bitmedi lan,marilyn manson un makyaji,08.08.2019 11:40,https://eksisozluk.com/entry/93656883
yaklaşık 20 saniye süren depremdir bu sefer odamda da hissedildi,yazamamkiben,08.08.2019 11:40,https://eksisozluk.com/entry/93656887
yaklasik 47 dk. falan surdu sanirim. oha!,the spy in the attic,08.08.2019 11:40,https://eksisozluk.com/entry/93656890
hâlâ ufakça sallamaktaydı bu entry'e başlanırken.,smk,08.08.2019 11:40,https://eksisozluk.com/entry/93656891
karşıyaka iskeleyi de fena halde sallamış depremdir. beşikte gibi salındık azizim.,calba,08.08.2019 11:40,https://eksisozluk.com/entry/93656895
seferihisar fena hissedildi. öyle böyle değil. lan daha yeni oldu nasıl konu açtınız olmadan.,al yeleli arslan,08.08.2019 11:40,https://eksisozluk.com/entry/93656896
gaziemir'de duvara tutunmama sebep olacak kadar hissedilmiştir.,cikileta cikita,08.08.2019 11:41 ~ 11:42,https://eksisozluk.com/entry/93656899
hazır mı bekliyorsunuz amk.,ismaill,08.08.2019 11:41,https://eksisozluk.com/entry/93656900
üf üf üf beşik gibi salladı. konum: alsancak kordon.,karismak istemem ama,08.08.2019 11:41 ~ 11:44,https://eksisozluk.com/entry/93656901
ben duyduğuma göre 4'ten büyüktür.,dedi kuzgun,08.08.2019 11:41,https://eksisozluk.com/entry/93656902
o neydi gızz,iki nolu karamazov,08.08.2019 11:41,https://eksisozluk.com/entry/93656903
deprem sırasında ilk yapılacaklar listesi: 1-) ekşi sözlüğe entry girmek.,virios,08.08.2019 11:41,https://eksisozluk.com/entry/93656905
"çok fena salladı, yıllardır böyle hissettiğim deprem olmamıştı.",epack,08.08.2019 11:41,https://eksisozluk.com/entry/93656906
gümüldür'de fena salladı. ufak bir artçı şok daha geldi bunu yazarken,andjusticeforall95,08.08.2019 11:41,https://eksisozluk.com/entry/93656907
ulan bu ne hız nasıl bir göt var sizde,xorxor benim ulan kim aldi,08.08.2019 11:41,https://eksisozluk.com/entry/93656911
göztepede içe içe sıçtırttı,nitrious,08.08.2019 11:41,https://eksisozluk.com/entry/93656917
göztepe’de fena sallamıştır. 10 saniyeden uzun sürdü.,muz orta yapan topcu,08.08.2019 11:41,https://eksisozluk.com/entry/93656921
sağlam salladı merkez üssü yakınsa 5.7 uzaksa 6.5,uyuyankral,08.08.2019 11:41,https://eksisozluk.com/entry/93656923
uykuma geri dönmemi engellemeyecek deprem,depremoldudiyeyazmakicingeldim,08.08.2019 11:41,https://eksisozluk.com/entry/93656927
buca'da fena sallamıştır. 5 saniye kadar sürdü.,brownest,08.08.2019 11:41,https://eksisozluk.com/entry/93656931
