Entry,User,EntryDates,EntryLinks
az önce gerçekleşmiştir. güzel sallamıştır.,spy,08.01.2013 16:17 ~ 16:19,https://eksisozluk.com/entry/31648616
15 saniye süreyle sallanmamıza yol açandır. hissedilişi merkez üssünün izmir olması halinde bile 5'den büyüktür. ancak istanbul ve bursa gibi şehirlerde de hissedilmiş olması merkez üssü endişesi yaratmaktadır. lokasyon : bostanlı/izmir.,carpenoctem,08.01.2013 16:18 ~ 16:31,https://eksisozluk.com/entry/31648619
iyi salladı.,lop lop et olsun,08.01.2013 16:18,https://eksisozluk.com/entry/31648633
alsancak'ta yatay eksende beşik gibi sallamıştır... editleme anı itibasıyla avizeler hala inceden sallanmaktadır.,frankiegoestohollywood,08.01.2013 16:18 ~ 16:19,https://eksisozluk.com/entry/31648637
çok fena sallamış depremdir. içerenköy.,croneec,08.01.2013 16:18,https://eksisozluk.com/entry/31648642
baya baya hala sallanıyor...,spinapubica,08.01.2013 16:18,https://eksisozluk.com/entry/31648643
felaket bir sallantı olmuştur. bir redhack projesi olabilir.,tuyra,08.01.2013 16:18 ~ 16:33,https://eksisozluk.com/entry/31648644
istanbul şişlide hissedilmiştir. noluyo lan,bipolar junction transistor,08.01.2013 16:18,https://eksisozluk.com/entry/31648646
yatağımı kim sallıyo lan dememe neden olan deprem. fena salladı.,efreet sultan,08.01.2013 16:18,https://eksisozluk.com/entry/31648647
çok fena sallamıştır karda kışta naparız daha beterinde bilemem valla.,7 22 100,08.01.2013 16:18,https://eksisozluk.com/entry/31648649
istanbul'da da hissedilmiştir,quatro,08.01.2013 16:18,https://eksisozluk.com/entry/31648651
oha ya.. çiğli de çok salladı. merkez neresi acaba? edit: saros'muş merkez. ucuz atlattık. geçmiş olsun türkiye.,radara selektor yapan ufo,08.01.2013 16:18 ~ 16:47,https://eksisozluk.com/entry/31648654
"oha, saglam salladi galiba istanbulda hissettik lan :\",aksi kanitlanmadikca cocuktur,08.01.2013 16:18,https://eksisozluk.com/entry/31648655
titretmiştir.,suomi,08.01.2013 16:18 ~ 17:13,https://eksisozluk.com/entry/31648656
istanbul bahcelievlerde de hissedilmistir,hebea,08.01.2013 16:18,https://eksisozluk.com/entry/31648657
çok fena salladı. hani dışarda kar yağmasa dışarı çıkaradım o derece kötü salladı.,disconnect to connect,08.01.2013 16:18 ~ 16:19,https://eksisozluk.com/entry/31648658
az önce olan bir şeydir. ataşehir'den hissedildiğine göre şiddetli olabilir.,masum keci,08.01.2013 16:18,https://eksisozluk.com/entry/31648660
30 sn kadar sürmüştür. oha. edit: evet insana içinde bulunulan yılı da unutturmuştur. normal. edit2: işbu entry 8 ocak 2012 saros depremi başlığında idi.,geldiler,08.01.2013 16:18 ~ 16:50,https://eksisozluk.com/entry/31648664
"izmir bornovada altımdaki yataga, yani götüme, keşkül titretmesi yaşatmıştır.",thehunterofthenight,08.01.2013 16:18 ~ 16:27,https://eksisozluk.com/entry/31648666
avcılarda avize sallatmıştır.,ikinci afo donemi,08.01.2013 16:18,https://eksisozluk.com/entry/31648670
maltepeyi baya bir sallamış depremdir...,gonur,08.01.2013 16:18,https://eksisozluk.com/entry/31648671
nasıl deprem lan bu dedirtmiştir. edirne' yi cayır cayır sallamıştır.,yalanci coban,08.01.2013 16:19,https://eksisozluk.com/entry/31648674
maltepe civarlarında hafif siddetli bir sekilde çalıştığım masanın sallanması ile hissedilmiştir.,nekadarekmekokadarkofte,08.01.2013 16:19,https://eksisozluk.com/entry/31648675
az önce vuku bulmuş olan depremdir.,nichola1 h3l,08.01.2013 16:19 ~ 16:19,https://eksisozluk.com/entry/31648678
bölye bi tansiyon düşmesi sandırdı. havalar soğuk hesabı.,green green curly fries,08.01.2013 16:19,https://eksisozluk.com/entry/31648679
6. katta oturan bi insan olarak bana iç çamaşırı değiştirtmiştir.,nukleermalkav,08.01.2013 16:19,https://eksisozluk.com/entry/31648681
"çok fena sallamıştır burayı. umarım yalnızca ben bu kadar hissetmişimdir. bu karda kışta insanlar ne yapar. alınan ilk bilgilere merkez üssü saros körfezi, büyüklük 5.8. şimdi de 6.2 olduğu iddia ediliyor.",a t k,08.01.2013 16:19 ~ 16:29,https://eksisozluk.com/entry/31648682
tam olarak nerede oldu bilmiyorum ama gümülcine 'den de hissedilmiştir.,rakomelo,08.01.2013 16:19,https://eksisozluk.com/entry/31648689
istanbulda hissedilmişse muhtemelen ortalarda bir yerde fena bir deprem olmuştur. eyvah eyvah.,kamajikaciya,08.01.2013 16:19,https://eksisozluk.com/entry/31648693
avizeleri dingildetmiştir... ağır da bunlar biliyon mu... edit: başlık açalım dedik anca 23. entryye yetişebilmişiz... napıyosunuz olm siz... editin editi: başlık taşınınca 46 oldu bir de...,akinlardacocuklargibisenolanbininciatli,08.01.2013 16:19 ~ 16:29,https://eksisozluk.com/entry/31648695
ben de soğuktan titriyorum sandıydım. meğer deprem sallıyormuş ya la =/ hanım: bir doğa olayı.,punkertifo,08.01.2013 16:19,https://eksisozluk.com/entry/31648697
salına salına sinsice yürümeme sebebiyet vermiştir.,baska bir dunya icin,08.01.2013 16:19,https://eksisozluk.com/entry/31648698
deprem üssü belli olmuş deprem: http://depremleri.com/…lgi/51585-08.01.2013-ege-dnz deprem nerelerden hissedilmiş: https://www.facebook.com/depremler ya da https://twitter.com/…inho/status/288652537404461056,tolginho,08.01.2013 16:19 ~ 06.09.2014 13:22,https://eksisozluk.com/entry/31648700
az önce avcılar 'da beşik gibi sallamıştır.,tanzer,08.01.2013 16:19,https://eksisozluk.com/entry/31648702
salladı evet. biraz rengim soldu.,harzem,08.01.2013 16:19,https://eksisozluk.com/entry/31648703
kaynağı henüz belli değil.,nart nesken jake,08.01.2013 16:19,https://eksisozluk.com/entry/31648708
istanbul zeytinburnunda hissedilmiştir. eğer başka bir deprem değil ise.,sadece biraz huzur,08.01.2013 16:19,https://eksisozluk.com/entry/31648714
lüleburgaz'da saglam sallanmıştır.,lutah,08.01.2013 16:19,https://eksisozluk.com/entry/31648722
eskişehir'den hissedilmiştir ya da ben iyi değilim. izmir nedir?,belki de ben burda degilim,08.01.2013 16:19,https://eksisozluk.com/entry/31648723
alttan fena vuran deprem. rahat 4.2 var.,fenerle kimse basa cikamaz,08.01.2013 16:19,https://eksisozluk.com/entry/31648725
icerenkoyde 3 bucuk attiran deprem.,serene dream,08.01.2013 16:19,https://eksisozluk.com/entry/31648726
kahramanlar bölgesini uzun bir süreyle fena sallamıştır. sıkılıyordum zaten atraksiyon oldu.,alud,08.01.2013 16:19,https://eksisozluk.com/entry/31648728
istanbul avcılar'da kardeşimi sıçarken yakalamış depremdir... baya uzun sürdü ama...,from neocaesarea,08.01.2013 16:19 ~ 16:20,https://eksisozluk.com/entry/31648729
bakırköy'den çok güçlü bir şekilde hissedilmiştir.,kogan,08.01.2013 16:19,https://eksisozluk.com/entry/31648730
çanakkale'de dehşet bir şekilde hissedilmiştir. önce alttan vurdu zıplattı ardından vitrindeki camlardan sesler geldi. o derece salladı. elim ayağım titriyo lan!,abree,08.01.2013 16:19,https://eksisozluk.com/entry/31648731
yusuflatmıştır.,angrist,08.01.2013 16:19,https://eksisozluk.com/entry/31648734
merter'den de hissedilmiştir. kafe'de nargile içerken başım mı döndü dedim ama değilmiş. *,kinyas ve kayra 23,08.01.2013 16:19,https://eksisozluk.com/entry/31648735
ataşehir de hissedilmiştir. really!,uncountable,08.01.2013 16:19,https://eksisozluk.com/entry/31648742
kandillinin sitesinin depreme dayaniksiz oldugunu gosteren depremdir. http://www.koeri.boun.edu.tr/scripts/lst6.asp edit: link,xarion,08.01.2013 16:19 ~ 16:22,https://eksisozluk.com/entry/31648748
izmir'de de sallamıştır. muhtemelen ortalarda bir yerde fena bir deprem oldu.,kamajikaciya,08.01.2013 16:20,https://eksisozluk.com/entry/31648753
iyi sallandık sayesinde.,matandberenice,08.01.2013 16:20,https://eksisozluk.com/entry/31648754
istanbul ataşehir'de sallamıştır. hem izmir'i hem istanbul'u sallamış. umarız başka bir yerde yüksek şiddetli bir deprem değildir bu karda kışta.,awlmi,08.01.2013 16:20,https://eksisozluk.com/entry/31648755
fena korkutmuş olan depremdir.,swichawk,08.01.2013 16:20,https://eksisozluk.com/entry/31648760
en az 4.5 şiddetinde olduğunu tahmin ettiğim depremdir.,rusen ali,08.01.2013 16:20,https://eksisozluk.com/entry/31648762
beylikdüzünün amına koyan depremdir. bildiğin sıçırttırdı.,csmatrix,08.01.2013 16:20,https://eksisozluk.com/entry/31648764
edirne'de zemin katta başımı döndürmüştür.,feodal moruk,08.01.2013 16:20,https://eksisozluk.com/entry/31648765
bitmek bilmeyen deprem kac saniyeydi o ya! bornovada gayet fazla hissettirmistir kendini. ben disari cikiyorum odum koptu an itibariyle!,carline,08.01.2013 16:20,https://eksisozluk.com/entry/31648769
ekşi sözlük yazarlarının 2013'e giremediğini gösteren depremdir. kek gibi düştük hepimiz amno!,masum keci,08.01.2013 16:20,https://eksisozluk.com/entry/31648773
diğer illeri bilmiyorum ama izmir alsancak'ta fena halde hissedilen depremdir. ayrıca iş arkadaşlarımdan biri de deprem sırasında 'la ilahe illallah' nidaları ile ortamı baya bi gerdi sağolsun.,pamukprensesioperekuyandiranyamukprens,08.01.2013 16:20 ~ 16:39,https://eksisozluk.com/entry/31648774
bursa'dan da hafifçe hissedilmiş sarsıntı. tırstık.,yurekinmez,08.01.2013 16:20,https://eksisozluk.com/entry/31648775
beylikdüzü'nde kendini güzelce hissettirmiştir.,olabilme ihtimali,08.01.2013 16:20,https://eksisozluk.com/entry/31648780
"kalp atislarinin hizlanmasi ve bir yandan hissetmeye calismak sebebiyle bitip bitmedigini anlamadigimdir. umariz ki beklenen buyuk marmara depreminin habercisi degildir. haftaya 6 ayligina yurt disina cikiyorum, hayatimi sevdiklerimi burada birakicam aklimiz arkada kalmasin olmasin o daha.",spongeworthy,08.01.2013 16:20,https://eksisozluk.com/entry/31648781
"önümdeki masayı kayığa çeviren deprem. ""masa manyaklaştı iyice"" dedim bir an.",samandira,08.01.2013 16:20,https://eksisozluk.com/entry/31648782
"monitörü tutmam gerekecek kadar fena sallamış depremdir. izmir ve bursa'da aynı anda hissetmiş. umarım bir yerlerden, kötü haberler getirmez bu sarsıntı.",pillikedi,08.01.2013 16:20,https://eksisozluk.com/entry/31648785
"masayı elimle tutup durdurmamı gerektirecek kadar sallamış depremdir. fakat yine de tam emin olamamıştım, evdeki 6 kedi de fosur fosur uyuyor, hani bunların iç güdüleri lan?",kadifepanter,08.01.2013 16:20,https://eksisozluk.com/entry/31648788
avcılar 'da uzun uzun sallayıp ev ahalisini sıçırtmış olan deprem.,j0k3r,08.01.2013 16:20,https://eksisozluk.com/entry/31648789
o ney lan! ayaklarımızı korkudan uyuşturdu. koltuğun götümüze hafif masaj yapmasına neden olan deprem. (buca),mceydam,08.01.2013 16:20,https://eksisozluk.com/entry/31648792
"taksim'de de hissedilmiştir. hadi hayırlısı, karda kışta...",kahpe felek,08.01.2013 16:20,https://eksisozluk.com/entry/31648793
"fazla uzun sürdü, korkuttu biraz.",nurtale valinoreva,08.01.2013 16:20,https://eksisozluk.com/entry/31648798
